sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,resnet50,0
1,10,0.0,0.0,0.32,0.32,0.7,0.0,0.49210166931152344,ACC,resnet50,0
1,10,0.0,0.0,0.37,0.37,0.7,0.0,0.49210166931152344,X,resnet50,0
1,10,0.0,0.0,0.38,0.38,0.7,0.0,0.49210166931152344,MAX,resnet50,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.875,T50,resnet50,0
1,10,0.0,0.0,0.34,0.34,0.7,0.0,0.49210166931152344,MS,resnet50,0
1,10,0.0,0.0,0.19,0.19,0.9,0.0,0.8476009368896484,DyS,resnet50,0
1,10,0.0,0.0,0.18,0.18,0.9,0.0,0.8476009368896484,HDy,resnet50,0
1,10,0.0,0.0,0.34,0.34,0.7,0.0,0.49210166931152344,SORD,resnet50,0
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,0
2,10,0.0,0.0,0.19,0.19,0.9,0.0,0.5422000885009766,ACC,resnet50,0
2,10,0.0,0.0,0.5,0.5,0.5,0.0,0.375,X,resnet50,0
2,10,0.0,0.0,0.51,0.51,0.5,0.0,0.3130016326904297,MAX,resnet50,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,0
2,10,0.0,0.0,0.22,0.22,0.7,0.0,0.4927997589111328,MS,resnet50,0
2,10,0.0,0.0,0.3,0.3,0.7,0.0,0.46875,DyS,resnet50,0
2,10,0.0,0.0,0.43,0.43,0.5,0.0,0.43869972229003906,HDy,resnet50,0
2,10,0.0,0.0,0.22,0.22,0.7,0.0,0.4927997589111328,SORD,resnet50,0
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,0
3,10,0.0,0.0,0.19,0.19,0.8,0.0,0.5673999786376953,ACC,resnet50,0
3,10,0.0,0.0,0.37,0.37,0.6,0.0,0.4479999542236328,X,resnet50,0
3,10,0.0,0.0,0.38,0.38,0.6,0.0,0.4479999542236328,MAX,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,0
3,10,0.0,0.0,0.22,0.22,0.7,0.0,0.49579811096191406,MS,resnet50,0
3,10,0.0,0.0,0.11,0.11,0.9,0.0,0.625,DyS,resnet50,0
3,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5673999786376953,HDy,resnet50,0
3,10,0.0,0.0,0.23,0.23,0.7,0.0,0.49579811096191406,SORD,resnet50,0
4,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,0
