sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,30,0.0,0.0,0.03,0.03,0.97,CC,vgg16,0.0
1,30,0.0,0.0,0.02,0.02,1.0,ACC,vgg16,0.0
1,30,0.0,0.0,0.21,0.21,0.8,X,vgg16,0.0
1,30,0.0,0.0,0.08,0.08,0.9,MAX,vgg16,0.0
1,30,0.0,0.0,0.03,0.03,0.97,T50,vgg16,0.0
1,30,0.0,0.0,0.03,0.03,0.97,MS,vgg16,0.0
1,30,0.0,0.0,0.02,0.02,1.0,DyS,vgg16,0.0
1,30,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,0.0
1,30,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,0.0
2,30,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
2,30,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
2,30,0.0,0.0,0.27,0.27,0.73,X,vgg16,0.0
2,30,0.0,0.0,0.14,0.14,0.9,MAX,vgg16,0.0
2,30,0.0,0.0,0.04,0.04,0.97,T50,vgg16,0.0
2,30,0.0,0.0,0.04,0.04,0.97,MS,vgg16,0.0
2,30,0.0,0.0,0.0,0.0,1.0,DyS,vgg16,0.0
2,30,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,0.0
2,30,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,0.0
3,30,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
3,30,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
3,30,0.0,0.0,0.27,0.27,0.73,X,vgg16,0.0
3,30,0.0,0.0,0.14,0.14,0.87,MAX,vgg16,0.0
3,30,0.0,0.0,0.04,0.04,0.97,T50,vgg16,0.0
3,30,0.0,0.0,0.04,0.04,0.97,MS,vgg16,0.0
3,30,0.0,0.0,0.0,0.0,1.0,DyS,vgg16,0.0
3,30,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,0.0
3,30,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,0.0
1,30,0.1,0.1,0.07,0.03,0.97,CC,vgg16,0.0
1,30,0.1,0.1,0.1,0.0,0.93,ACC,vgg16,0.0
1,30,0.1,0.1,0.11,0.01,0.93,X,vgg16,0.0
1,30,0.1,0.1,0.04,0.06,0.93,MAX,vgg16,0.0
