sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,vgg16,0
1,10,0.0,0.0,0.16,0.16,0.8,0.0,0.49289894104003906,ACC,vgg16,0
1,10,0.0,0.0,0.55,0.55,0.5,0.0,0.4498004913330078,X,vgg16,0
1,10,0.0,0.0,0.54,0.54,0.5,0.0,0.4498004913330078,MAX,vgg16,0
1,10,0.0,0.0,0.16,0.16,0.8,0.0,0.49289894104003906,T50,vgg16,0
1,10,0.0,0.0,0.07,0.07,1.0,0.0,0.5170001983642578,MS,vgg16,0
1,10,0.0,0.0,0.17,0.17,0.8,0.0,0.49289894104003906,DyS,vgg16,0
1,10,0.0,0.0,0.14,0.14,0.8,0.0,0.49289894104003906,HDy,vgg16,0
1,10,0.0,0.0,0.23,0.23,0.8,0.0,0.49120140075683594,SORD,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
2,10,0.0,0.0,0.17,0.17,0.9,0.0,0.4763011932373047,X,vgg16,0
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.49289894104003906,MAX,vgg16,0
2,10,0.0,0.0,0.04,0.04,0.9,0.0,0.49289894104003906,T50,vgg16,0
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.49289894104003906,MS,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,0
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.49289894104003906,HDy,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
3,10,0.0,0.0,0.17,0.17,0.8,0.0,0.4703998565673828,X,vgg16,0
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.4831981658935547,MAX,vgg16,0
3,10,0.0,0.0,0.04,0.04,0.9,0.0,0.4831981658935547,T50,vgg16,0
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.4831981658935547,MS,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
4,10,0.0,0.0,0.21,0.21,0.8,0.0,0.46875,X,vgg16,0
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.46875,MAX,vgg16,0
4,10,0.0,0.0,0.04,0.04,0.9,0.0,0.4750995635986328,T50,vgg16,0
4,10,0.0,0.0,0.02,0.02,0.9,0.0,0.4750995635986328,MS,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,vgg16,0
