sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,30,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
1,30,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
1,30,0.0,0.0,0.01,0.01,1.0,X,resnet50,1.0
1,30,0.0,0.0,0.0,0.0,1.0,MAX,resnet50,1.0
1,30,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
1,30,0.0,0.0,0.04,0.04,0.97,MS,resnet50,1.0
1,30,0.0,0.0,0.01,0.01,1.0,DyS,resnet50,1.0
1,30,0.0,0.0,0.01,0.01,1.0,HDy,resnet50,1.0
1,30,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,1.0
2,30,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
2,30,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
2,30,0.0,0.0,0.01,0.01,1.0,X,resnet50,1.0
2,30,0.0,0.0,0.0,0.0,1.0,MAX,resnet50,1.0
2,30,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
2,30,0.0,0.0,0.06,0.06,0.93,MS,resnet50,1.0
2,30,0.0,0.0,0.01,0.01,1.0,DyS,resnet50,1.0
2,30,0.0,0.0,0.01,0.01,1.0,HDy,resnet50,1.0
2,30,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,1.0
3,30,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
3,30,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
3,30,0.0,0.0,0.01,0.01,1.0,X,resnet50,1.0
3,30,0.0,0.0,0.0,0.0,1.0,MAX,resnet50,1.0
3,30,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
3,30,0.0,0.0,0.05,0.05,0.93,MS,resnet50,1.0
3,30,0.0,0.0,0.0,0.0,1.0,DyS,resnet50,1.0
3,30,0.0,0.0,0.01,0.01,1.0,HDy,resnet50,1.0
3,30,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,1.0
1,30,0.1,0.1,0.13,0.03,0.97,CC,resnet50,1.0
1,30,0.1,0.1,0.01,0.09,0.9,ACC,resnet50,1.0
1,30,0.1,0.1,0.09,0.01,1.0,X,resnet50,1.0
1,30,0.1,0.1,0.1,0.0,1.0,MAX,resnet50,1.0
1,30,0.1,0.1,0.0,0.1,0.9,T50,resnet50,1.0
1,30,0.1,0.1,0.07,0.03,0.97,MS,resnet50,1.0
1,30,0.1,0.1,0.04,0.06,0.93,DyS,resnet50,1.0
1,30,0.1,0.1,0.06,0.04,0.97,HDy,resnet50,1.0
1,30,0.1,0.1,0.04,0.06,0.93,SORD,resnet50,1.0
2,30,0.1,0.1,0.13,0.03,0.97,CC,resnet50,1.0
2,30,0.1,0.1,0.01,0.09,0.93,ACC,resnet50,1.0
2,30,0.1,0.1,0.09,0.01,0.97,X,resnet50,1.0
2,30,0.1,0.1,0.1,0.0,1.0,MAX,resnet50,1.0
2,30,0.1,0.1,0.0,0.1,0.9,T50,resnet50,1.0
2,30,0.1,0.1,0.1,0.0,1.0,MS,resnet50,1.0
2,30,0.1,0.1,0.09,0.01,0.97,DyS,resnet50,1.0
2,30,0.1,0.1,0.07,0.03,0.97,HDy,resnet50,1.0
2,30,0.1,0.1,0.1,0.0,1.0,SORD,resnet50,1.0
3,30,0.1,0.1,0.1,0.0,1.0,CC,resnet50,1.0
3,30,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,1.0
3,30,0.1,0.1,0.06,0.04,0.97,X,resnet50,1.0
3,30,0.1,0.1,0.07,0.03,0.97,MAX,resnet50,1.0
3,30,0.1,0.1,0.0,0.1,0.9,T50,resnet50,1.0
3,30,0.1,0.1,0.06,0.04,0.97,MS,resnet50,1.0
3,30,0.1,0.1,0.03,0.07,0.93,DyS,resnet50,1.0
3,30,0.1,0.1,0.03,0.07,0.93,HDy,resnet50,1.0
3,30,0.1,0.1,0.04,0.06,0.93,SORD,resnet50,1.0
1,30,0.2,0.2,0.2,0.0,1.0,CC,resnet50,1.0
1,30,0.2,0.2,0.09,0.11,0.9,ACC,resnet50,1.0
1,30,0.2,0.2,0.2,0.0,1.0,X,resnet50,1.0
1,30,0.2,0.2,0.2,0.0,1.0,MAX,resnet50,1.0
1,30,0.2,0.2,0.07,0.13,0.87,T50,resnet50,1.0
1,30,0.2,0.2,0.11,0.09,0.9,MS,resnet50,1.0
1,30,0.2,0.2,0.14,0.06,0.93,DyS,resnet50,1.0
1,30,0.2,0.2,0.13,0.07,0.93,HDy,resnet50,1.0
1,30,0.2,0.2,0.11,0.09,0.9,SORD,resnet50,1.0
2,30,0.2,0.2,0.2,0.0,1.0,CC,resnet50,1.0
2,30,0.2,0.2,0.09,0.11,0.87,ACC,resnet50,1.0
2,30,0.2,0.2,0.2,0.0,1.0,X,resnet50,1.0
2,30,0.2,0.2,0.2,0.0,1.0,MAX,resnet50,1.0
2,30,0.2,0.2,0.0,0.2,0.8,T50,resnet50,1.0
2,30,0.2,0.2,0.18,0.02,0.97,MS,resnet50,1.0
2,30,0.2,0.2,0.15,0.05,0.93,DyS,resnet50,1.0
2,30,0.2,0.2,0.11,0.09,0.9,HDy,resnet50,1.0
2,30,0.2,0.2,0.16,0.04,0.97,SORD,resnet50,1.0
3,30,0.2,0.2,0.2,0.0,1.0,CC,resnet50,1.0
3,30,0.2,0.2,0.09,0.11,0.9,ACC,resnet50,1.0
3,30,0.2,0.2,0.2,0.0,1.0,X,resnet50,1.0
3,30,0.2,0.2,0.17,0.03,0.97,MAX,resnet50,1.0
3,30,0.2,0.2,0.07,0.13,0.87,T50,resnet50,1.0
3,30,0.2,0.2,0.16,0.04,0.97,MS,resnet50,1.0
3,30,0.2,0.2,0.16,0.04,0.97,DyS,resnet50,1.0
3,30,0.2,0.2,0.15,0.05,0.93,HDy,resnet50,1.0
3,30,0.2,0.2,0.16,0.04,0.97,SORD,resnet50,1.0
1,30,0.3,0.3,0.27,0.03,0.97,CC,resnet50,1.0
1,30,0.3,0.3,0.17,0.13,0.87,ACC,resnet50,1.0
1,30,0.3,0.3,0.26,0.04,0.97,X,resnet50,1.0
1,30,0.3,0.3,0.27,0.03,0.97,MAX,resnet50,1.0
1,30,0.3,0.3,0.07,0.23,0.77,T50,resnet50,1.0
