sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.01,0.01,1.0,0.0,0.48000144958496094,X,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
1,10,0.0,0.0,0.09,0.09,1.0,0.0,0.48000144958496094,MS,resnet50,1
1,10,0.0,0.0,0.02,0.02,1.0,0.0,0.48000144958496094,DyS,resnet50,1
1,10,0.0,0.0,0.03,0.03,1.0,0.0,0.48000144958496094,HDy,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,1
2,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5571994781494141,ACC,resnet50,1
2,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5571994781494141,X,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.53125,MAX,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
2,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5571994781494141,MS,resnet50,1
2,10,0.0,0.0,0.03,0.03,0.9,0.0,0.5571994781494141,DyS,resnet50,1
2,10,0.0,0.0,0.06,0.06,0.9,0.0,0.5571994781494141,HDy,resnet50,1
2,10,0.0,0.0,0.08,0.08,0.9,0.0,0.5571994781494141,SORD,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
3,10,0.0,0.0,0.01,0.01,1.0,0.0,0.4666004180908203,X,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
3,10,0.0,0.0,0.1,0.1,0.9,0.0,0.4658203125,MS,resnet50,1
3,10,0.0,0.0,0.02,0.02,1.0,0.0,0.4666004180908203,DyS,resnet50,1
3,10,0.0,0.0,0.04,0.04,1.0,0.0,0.4666004180908203,HDy,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,1
4,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5442981719970703,ACC,resnet50,1
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,X,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,MAX,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
4,10,0.0,0.0,0.12,0.12,0.8,0.0,0.5389995574951172,MS,resnet50,1
4,10,0.0,0.0,0.03,0.03,0.9,0.0,0.5442981719970703,DyS,resnet50,1
4,10,0.0,0.0,0.05,0.05,0.9,0.0,0.5442981719970703,HDy,resnet50,1
4,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5442981719970703,SORD,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
5,10,0.0,0.0,0.01,0.01,1.0,0.0,0.4642009735107422,X,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
5,10,0.0,0.0,0.05,0.05,1.0,0.0,0.4642009735107422,MS,resnet50,1
5,10,0.0,0.0,0.02,0.02,1.0,0.0,0.4642009735107422,DyS,resnet50,1
5,10,0.0,0.0,0.04,0.04,1.0,0.0,0.4642009735107422,HDy,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
6,10,0.0,0.0,0.01,0.01,0.9,0.0,0.49429893493652344,X,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
6,10,0.0,0.0,0.03,0.03,0.9,0.0,0.49429893493652344,MS,resnet50,1
6,10,0.0,0.0,0.02,0.02,0.9,0.0,0.49429893493652344,DyS,resnet50,1
6,10,0.0,0.0,0.03,0.03,0.9,0.0,0.49429893493652344,HDy,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
7,10,0.0,0.0,0.01,0.01,1.0,0.0,0.4828014373779297,X,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
7,10,0.0,0.0,0.05,0.05,1.0,0.0,0.4828014373779297,MS,resnet50,1
7,10,0.0,0.0,0.02,0.02,1.0,0.0,0.4828014373779297,DyS,resnet50,1
7,10,0.0,0.0,0.03,0.03,1.0,0.0,0.4828014373779297,HDy,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
8,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,ACC,resnet50,1
8,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5571994781494141,X,resnet50,1
8,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,MAX,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
8,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5571994781494141,MS,resnet50,1
8,10,0.0,0.0,0.02,0.02,0.9,0.0,0.5571994781494141,DyS,resnet50,1
8,10,0.0,0.0,0.06,0.06,0.9,0.0,0.5571994781494141,HDy,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,SORD,resnet50,1
9,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,1
9,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5156993865966797,ACC,resnet50,1
9,10,0.0,0.0,0.01,0.01,0.9,0.0,0.5156993865966797,X,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,MAX,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
9,10,0.0,0.0,0.03,0.03,0.9,0.0,0.5156993865966797,MS,resnet50,1
