sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.27,0.27,0.7,0.0,0.6798992156982422,ACC,vgg16,1
1,10,0.0,0.0,0.28,0.28,0.7,0.0,0.6798992156982422,X,vgg16,1
1,10,0.0,0.0,0.28,0.28,0.7,0.0,0.6798992156982422,MAX,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,T50,vgg16,1
1,10,0.0,0.0,0.29,0.29,0.7,0.0,0.6798992156982422,MS,vgg16,1
1,10,0.0,0.0,0.18,0.18,0.8,0.0,0.7157993316650391,DyS,vgg16,1
1,10,0.0,0.0,0.11,0.11,0.9,0.0,0.75,HDy,vgg16,1
1,10,0.0,0.0,0.28,0.28,0.7,0.0,0.6798992156982422,SORD,vgg16,1
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.38,0.38,0.6,0.0,0.6566982269287109,ACC,vgg16,1
2,10,0.0,0.0,0.39,0.39,0.6,0.0,0.6566982269287109,X,vgg16,1
2,10,0.0,0.0,0.39,0.39,0.6,0.0,0.6566982269287109,MAX,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.96875,T50,vgg16,1
2,10,0.0,0.0,0.37,0.37,0.6,0.0,0.6566982269287109,MS,vgg16,1
2,10,0.0,0.0,0.33,0.33,0.6,0.0,0.6566982269287109,DyS,vgg16,1
2,10,0.0,0.0,0.23,0.23,0.7,0.0,0.8146991729736328,HDy,vgg16,1
2,10,0.0,0.0,0.37,0.37,0.6,0.0,0.6566982269287109,SORD,vgg16,1
3,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,vgg16,1
3,10,0.0,0.0,0.27,0.27,0.7,0.0,0.7050991058349609,ACC,vgg16,1
3,10,0.0,0.0,0.28,0.28,0.7,0.0,0.7050991058349609,X,vgg16,1
3,10,0.0,0.0,0.28,0.28,0.7,0.0,0.7050991058349609,MAX,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,T50,vgg16,1
3,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,MS,vgg16,1
3,10,0.0,0.0,0.24,0.24,0.7,0.0,0.7050991058349609,DyS,vgg16,1
3,10,0.0,0.0,0.23,0.23,0.7,0.0,0.7050991058349609,HDy,vgg16,1
3,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,SORD,vgg16,1
4,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,CC,vgg16,1
4,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,ACC,vgg16,1
4,10,0.0,0.0,0.61,0.61,0.3,0.0,0.2293987274169922,X,vgg16,1
4,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,MAX,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,T50,vgg16,1
4,10,0.0,0.0,0.59,0.59,0.5,0.0,0.6186008453369141,MS,vgg16,1
4,10,0.0,0.0,0.48,0.48,0.6,0.0,0.6634006500244141,DyS,vgg16,1
4,10,0.0,0.0,0.41,0.41,0.6,0.0,0.75,HDy,vgg16,1
4,10,0.0,0.0,0.58,0.58,0.5,0.0,0.6186008453369141,SORD,vgg16,1
5,10,0.0,0.0,0.4,0.4,0.6,0.0,0.5,CC,vgg16,1
5,10,0.0,0.0,0.38,0.38,0.7,0.0,0.6242008209228516,ACC,vgg16,1
5,10,0.0,0.0,0.39,0.39,0.7,0.0,0.6242008209228516,X,vgg16,1
5,10,0.0,0.0,0.39,0.39,0.7,0.0,0.6242008209228516,MAX,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.875,T50,vgg16,1
5,10,0.0,0.0,0.39,0.39,0.7,0.0,0.6242008209228516,MS,vgg16,1
5,10,0.0,0.0,0.22,0.22,0.7,0.0,0.6798992156982422,DyS,vgg16,1
5,10,0.0,0.0,0.31,0.31,0.7,0.0,0.6242008209228516,HDy,vgg16,1
5,10,0.0,0.0,0.39,0.39,0.7,0.0,0.6242008209228516,SORD,vgg16,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
6,10,0.0,0.0,0.04,0.04,1.0,0.0,0.47390174865722656,X,vgg16,1
6,10,0.0,0.0,0.04,0.04,1.0,0.0,0.47390174865722656,MAX,vgg16,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,vgg16,1
