sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier
1,30,0.0,0.0,0.0,0.0,1.0,CC
1,30,0.0,0.0,0.0,0.0,1.0,ACC
1,30,0.0,0.0,0.1,0.1,0.9,PCC
1,30,0.0,0.0,0.0,0.0,1.0,PACC
1,30,0.0,0.0,0.16,0.16,0.83,X
1,30,0.0,0.0,0.18,0.18,0.83,MAX
1,30,0.0,0.0,0.0,0.0,1.0,T50
1,30,0.0,0.0,0.03,0.03,0.97,MS
1,30,0.0,0.0,0.0,0.0,1.0,DyS
1,30,0.0,0.0,0.01,0.01,0.97,HDy
1,30,0.0,0.0,0.0,0.0,1.0,SORD
2,30,0.0,0.0,0.0,0.0,1.0,CC
2,30,0.0,0.0,0.0,0.0,1.0,ACC
2,30,0.0,0.0,0.11,0.11,0.9,PCC
2,30,0.0,0.0,0.0,0.0,1.0,PACC
2,30,0.0,0.0,0.16,0.16,0.83,X
2,30,0.0,0.0,0.18,0.18,0.8,MAX
2,30,0.0,0.0,0.0,0.0,1.0,T50
2,30,0.0,0.0,0.03,0.03,0.97,MS
2,30,0.0,0.0,0.0,0.0,1.0,DyS
2,30,0.0,0.0,0.01,0.01,1.0,HDy
2,30,0.0,0.0,0.0,0.0,1.0,SORD
3,30,0.0,0.0,0.0,0.0,1.0,CC
3,30,0.0,0.0,0.0,0.0,1.0,ACC
3,30,0.0,0.0,0.1,0.1,0.9,PCC
3,30,0.0,0.0,0.0,0.0,1.0,PACC
3,30,0.0,0.0,0.16,0.16,0.83,X
3,30,0.0,0.0,0.18,0.18,0.83,MAX
3,30,0.0,0.0,0.0,0.0,1.0,T50
3,30,0.0,0.0,0.03,0.03,0.97,MS
3,30,0.0,0.0,0.0,0.0,1.0,DyS
3,30,0.0,0.0,0.01,0.01,1.0,HDy
3,30,0.0,0.0,0.0,0.0,1.0,SORD
1,30,0.1,0.1,0.07,0.03,0.97,CC
1,30,0.1,0.1,0.07,0.03,0.97,ACC
1,30,0.1,0.1,0.16,0.06,0.93,PCC
1,30,0.1,0.1,0.06,0.04,0.97,PACC
1,30,0.1,0.1,0.03,0.07,0.93,X
1,30,0.1,0.1,0.05,0.05,0.93,MAX
1,30,0.1,0.1,0.07,0.03,0.97,T50
1,30,0.1,0.1,0.06,0.04,0.97,MS
1,30,0.1,0.1,0.06,0.04,0.97,DyS
1,30,0.1,0.1,0.04,0.06,0.93,HDy
1,30,0.1,0.1,0.05,0.05,0.93,SORD
2,30,0.1,0.1,0.07,0.03,0.97,CC
