sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier
1,30,0.0,0.0,0.1,0.1,0.9,CC
1,30,0.0,0.0,0.02,0.02,0.97,ACC
1,30,0.0,0.0,0.51,0.51,0.47,X
1,30,0.0,0.0,0.12,0.12,0.9,MAX
1,30,0.0,0.0,0.02,0.02,0.97,T50
1,30,0.0,0.0,0.12,0.12,0.9,MS
1,30,0.0,0.0,0.03,0.03,0.97,DyS
1,30,0.0,0.0,0.06,0.06,0.93,HDy
1,30,0.0,0.0,0.0,0.0,1.0,SORD
2,30,0.0,0.0,0.1,0.1,0.9,CC
2,30,0.0,0.0,0.02,0.02,0.97,ACC
2,30,0.0,0.0,0.42,0.42,0.57,X
2,30,0.0,0.0,0.12,0.12,0.9,MAX
2,30,0.0,0.0,0.02,0.02,0.97,T50
2,30,0.0,0.0,0.1,0.1,0.9,MS
2,30,0.0,0.0,0.03,0.03,0.97,DyS
2,30,0.0,0.0,0.04,0.04,0.97,HDy
2,30,0.0,0.0,0.0,0.0,1.0,SORD
3,30,0.0,0.0,0.07,0.07,0.93,CC
3,30,0.0,0.0,0.0,0.0,1.0,ACC
3,30,0.0,0.0,0.42,0.42,0.6,X
3,30,0.0,0.0,0.02,0.02,0.97,MAX
3,30,0.0,0.0,0.06,0.06,0.93,T50
3,30,0.0,0.0,0.04,0.04,0.97,MS
3,30,0.0,0.0,0.0,0.0,1.0,DyS
3,30,0.0,0.0,0.0,0.0,1.0,HDy
3,30,0.0,0.0,0.0,0.0,1.0,SORD
1,30,0.1,0.1,0.1,0.0,0.87,CC
1,30,0.1,0.1,0.02,0.08,0.87,ACC
1,30,0.1,0.1,0.34,0.24,0.7,X
1,30,0.1,0.1,0.05,0.05,0.87,MAX
1,30,0.1,0.1,0.02,0.08,0.87,T50
1,30,0.1,0.1,0.05,0.05,0.87,MS
1,30,0.1,0.1,0.03,0.07,0.87,DyS
1,30,0.1,0.1,0.01,0.09,0.87,HDy
1,30,0.1,0.1,0.0,0.1,0.9,SORD
2,30,0.1,0.1,0.13,0.03,0.9,CC
2,30,0.1,0.1,0.1,0.0,0.87,ACC
2,30,0.1,0.1,0.34,0.24,0.7,X
2,30,0.1,0.1,0.05,0.05,0.9,MAX
2,30,0.1,0.1,0.1,0.0,0.87,T50
2,30,0.1,0.1,0.1,0.0,0.87,MS
2,30,0.1,0.1,0.11,0.01,0.87,DyS
2,30,0.1,0.1,0.07,0.03,0.9,HDy
2,30,0.1,0.1,0.0,0.1,0.9,SORD
