sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,50,0.0,0.0,0.04,0.04,0.96,CC,resnet50,0.0
1,50,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,0.0
1,50,0.0,0.0,0.09,0.09,0.92,X,resnet50,0.0
1,50,0.0,0.0,0.08,0.08,0.92,MAX,resnet50,0.0
1,50,0.0,0.0,0.0,0.0,1.0,T50,resnet50,0.0
1,50,0.0,0.0,0.06,0.06,0.94,MS,resnet50,0.0
1,50,0.0,0.0,0.0,0.0,1.0,DyS,resnet50,0.0
1,50,0.0,0.0,0.01,0.01,1.0,HDy,resnet50,0.0
1,50,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,0.0
2,50,0.0,0.0,0.04,0.04,0.96,CC,resnet50,0.0
2,50,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,0.0
2,50,0.0,0.0,0.05,0.05,0.94,X,resnet50,0.0
2,50,0.0,0.0,0.02,0.02,0.98,MAX,resnet50,0.0
2,50,0.0,0.0,0.09,0.09,0.92,T50,resnet50,0.0
2,50,0.0,0.0,0.07,0.07,0.92,MS,resnet50,0.0
2,50,0.0,0.0,0.0,0.0,1.0,DyS,resnet50,0.0
2,50,0.0,0.0,0.01,0.01,1.0,HDy,resnet50,0.0
2,50,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,0.0
3,50,0.0,0.0,0.06,0.06,0.94,CC,resnet50,0.0
3,50,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,0.0
3,50,0.0,0.0,0.09,0.09,0.92,X,resnet50,0.0
3,50,0.0,0.0,0.12,0.12,0.88,MAX,resnet50,0.0
3,50,0.0,0.0,0.09,0.09,0.92,T50,resnet50,0.0
3,50,0.0,0.0,0.06,0.06,0.94,MS,resnet50,0.0
3,50,0.0,0.0,0.0,0.0,1.0,DyS,resnet50,0.0
3,50,0.0,0.0,0.01,0.01,1.0,HDy,resnet50,0.0
3,50,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,0.0
1,50,0.1,0.1,0.08,0.02,0.94,CC,resnet50,0.0
1,50,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,0.0
1,50,0.1,0.1,0.02,0.08,0.88,X,resnet50,0.0
1,50,0.1,0.1,0.02,0.08,0.88,MAX,resnet50,0.0
1,50,0.1,0.1,0.04,0.06,0.9,T50,resnet50,0.0
1,50,0.1,0.1,0.04,0.06,0.9,MS,resnet50,0.0
1,50,0.1,0.1,0.01,0.09,0.9,DyS,resnet50,0.0
1,50,0.1,0.1,0.01,0.09,0.9,HDy,resnet50,0.0
1,50,0.1,0.1,0.0,0.1,0.9,SORD,resnet50,0.0
2,50,0.1,0.1,0.08,0.02,0.94,CC,resnet50,0.0
2,50,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,0.0
2,50,0.1,0.1,0.12,0.02,0.9,X,resnet50,0.0
2,50,0.1,0.1,0.08,0.02,0.94,MAX,resnet50,0.0
2,50,0.1,0.1,0.04,0.06,0.94,T50,resnet50,0.0
2,50,0.1,0.1,0.12,0.02,0.9,MS,resnet50,0.0
2,50,0.1,0.1,0.06,0.04,0.96,DyS,resnet50,0.0
2,50,0.1,0.1,0.04,0.06,0.94,HDy,resnet50,0.0
2,50,0.1,0.1,0.02,0.08,0.92,SORD,resnet50,0.0
3,50,0.1,0.1,0.08,0.02,0.9,CC,resnet50,0.0
3,50,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,0.0
3,50,0.1,0.1,0.09,0.01,0.9,X,resnet50,0.0
3,50,0.1,0.1,0.02,0.08,0.88,MAX,resnet50,0.0
3,50,0.1,0.1,0.04,0.06,0.9,T50,resnet50,0.0
3,50,0.1,0.1,0.04,0.06,0.9,MS,resnet50,0.0
3,50,0.1,0.1,0.01,0.09,0.88,DyS,resnet50,0.0
3,50,0.1,0.1,0.01,0.09,0.88,HDy,resnet50,0.0
3,50,0.1,0.1,0.0,0.1,0.9,SORD,resnet50,0.0
1,50,0.2,0.2,0.16,0.04,0.88,CC,resnet50,0.0
1,50,0.2,0.2,0.14,0.06,0.9,ACC,resnet50,0.0
1,50,0.2,0.2,0.09,0.11,0.88,X,resnet50,0.0
1,50,0.2,0.2,0.15,0.05,0.9,MAX,resnet50,0.0
1,50,0.2,0.2,0.13,0.07,0.88,T50,resnet50,0.0
1,50,0.2,0.2,0.16,0.04,0.88,MS,resnet50,0.0
1,50,0.2,0.2,0.12,0.08,0.88,DyS,resnet50,0.0
1,50,0.2,0.2,0.06,0.14,0.86,HDy,resnet50,0.0
1,50,0.2,0.2,0.13,0.07,0.88,SORD,resnet50,0.0
2,50,0.2,0.2,0.08,0.12,0.88,CC,resnet50,0.0
2,50,0.2,0.2,0.0,0.2,0.8,ACC,resnet50,0.0
2,50,0.2,0.2,0.09,0.11,0.88,X,resnet50,0.0
2,50,0.2,0.2,0.02,0.18,0.82,MAX,resnet50,0.0
2,50,0.2,0.2,0.09,0.11,0.88,T50,resnet50,0.0
2,50,0.2,0.2,0.14,0.06,0.86,MS,resnet50,0.0
2,50,0.2,0.2,0.07,0.13,0.88,DyS,resnet50,0.0
2,50,0.2,0.2,0.05,0.15,0.86,HDy,resnet50,0.0
2,50,0.2,0.2,0.07,0.13,0.88,SORD,resnet50,0.0
3,50,0.2,0.2,0.12,0.08,0.88,CC,resnet50,0.0
3,50,0.2,0.2,0.06,0.14,0.86,ACC,resnet50,0.0
3,50,0.2,0.2,0.16,0.04,0.84,X,resnet50,0.0
3,50,0.2,0.2,0.15,0.05,0.86,MAX,resnet50,0.0
3,50,0.2,0.2,0.09,0.11,0.88,T50,resnet50,0.0
3,50,0.2,0.2,0.15,0.05,0.86,MS,resnet50,0.0
3,50,0.2,0.2,0.12,0.08,0.88,DyS,resnet50,0.0
3,50,0.2,0.2,0.07,0.13,0.88,HDy,resnet50,0.0
3,50,0.2,0.2,0.12,0.08,0.88,SORD,resnet50,0.0
1,50,0.3,0.3,0.2,0.1,0.9,CC,resnet50,0.0
1,50,0.3,0.3,0.22,0.08,0.92,ACC,resnet50,0.0
1,50,0.3,0.3,0.19,0.11,0.88,X,resnet50,0.0
