sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,CC,resnet50,0
1,10,0.0,0.0,0.8,0.8,0.2,0.0,0.25,ACC,resnet50,0
1,10,0.0,0.0,0.51,0.51,0.5,0.0,0.38900184631347656,X,resnet50,0
1,10,0.0,0.0,0.56,0.56,0.5,0.0,0.38900184631347656,MAX,resnet50,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,resnet50,0
1,10,0.0,0.0,0.88,0.88,0.1,0.0,0.2340984344482422,MS,resnet50,0
1,10,0.0,0.0,0.62,0.62,0.3,0.0,0.3025989532470703,DyS,resnet50,0
1,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,HDy,resnet50,0
1,10,0.0,0.0,0.68,0.68,0.3,0.0,0.3025989532470703,SORD,resnet50,0
2,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,resnet50,0
2,10,0.0,0.0,0.41,0.41,0.6,0.0,0.375,ACC,resnet50,0
2,10,0.0,0.0,0.33,0.33,0.6,0.0,0.39119911193847656,X,resnet50,0
2,10,0.0,0.0,0.22,0.22,0.7,0.0,0.5138988494873047,MAX,resnet50,0
2,10,0.0,0.0,0.35,0.35,0.6,0.0,0.39119911193847656,T50,resnet50,0
2,10,0.0,0.0,0.28,0.28,0.7,0.0,0.5138988494873047,MS,resnet50,0
2,10,0.0,0.0,0.23,0.23,0.7,0.0,0.5138988494873047,DyS,resnet50,0
2,10,0.0,0.0,0.28,0.28,0.7,0.0,0.5138988494873047,HDy,resnet50,0
2,10,0.0,0.0,0.17,0.17,0.9,0.0,0.6190013885498047,SORD,resnet50,0
3,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,CC,resnet50,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,ACC,resnet50,0
3,10,0.0,0.0,0.86,0.86,0.1,0.0,0.25369834899902344,X,resnet50,0
3,10,0.0,0.0,0.9,0.9,0.1,0.0,0.25,MAX,resnet50,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,resnet50,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,MS,resnet50,0
3,10,0.0,0.0,0.84,0.84,0.1,0.0,0.25369834899902344,DyS,resnet50,0
3,10,0.0,0.0,0.87,0.87,0.1,0.0,0.25369834899902344,HDy,resnet50,0
3,10,0.0,0.0,0.96,0.96,0.0,0.0,0.2497997283935547,SORD,resnet50,0
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,0
4,10,0.0,0.0,0.22,0.22,0.8,0.0,0.45910072326660156,ACC,resnet50,0
4,10,0.0,0.0,0.33,0.33,0.6,0.0,0.39209938049316406,X,resnet50,0
4,10,0.0,0.0,0.22,0.22,0.8,0.0,0.45910072326660156,MAX,resnet50,0
4,10,0.0,0.0,0.35,0.35,0.6,0.0,0.39209938049316406,T50,resnet50,0
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,MS,resnet50,0
4,10,0.0,0.0,0.13,0.13,0.8,0.0,0.5809993743896484,DyS,resnet50,0
4,10,0.0,0.0,0.22,0.22,0.8,0.0,0.45910072326660156,HDy,resnet50,0
4,10,0.0,0.0,0.14,0.14,0.8,0.0,0.5809993743896484,SORD,resnet50,0
5,10,0.0,0.0,0.4,0.4,0.6,0.0,0.5,CC,resnet50,0
5,10,0.0,0.0,0.61,0.61,0.4,0.0,0.2151012420654297,ACC,resnet50,0
5,10,0.0,0.0,0.33,0.33,0.6,0.0,0.5021991729736328,X,resnet50,0
5,10,0.0,0.0,0.39,0.39,0.6,0.0,0.5021991729736328,MAX,resnet50,0
5,10,0.0,0.0,0.57,0.57,0.5,0.0,0.2800006866455078,T50,resnet50,0
5,10,0.0,0.0,0.67,0.67,0.4,0.0,0.2151012420654297,MS,resnet50,0
5,10,0.0,0.0,0.55,0.55,0.5,0.0,0.2800006866455078,DyS,resnet50,0
5,10,0.0,0.0,0.44,0.44,0.6,0.0,0.3490009307861328,HDy,resnet50,0
5,10,0.0,0.0,0.49,0.49,0.6,0.0,0.3490009307861328,SORD,resnet50,0
6,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,resnet50,0
6,10,0.0,0.0,0.41,0.41,0.6,0.0,0.375,ACC,resnet50,0
6,10,0.0,0.0,0.16,0.16,0.9,0.0,0.6438007354736328,X,resnet50,0
6,10,0.0,0.0,0.22,0.22,0.7,0.0,0.5940990447998047,MAX,resnet50,0
6,10,0.0,0.0,0.57,0.57,0.4,0.0,0.2774982452392578,T50,resnet50,0
6,10,0.0,0.0,0.32,0.32,0.6,0.0,0.38289833068847656,MS,resnet50,0
6,10,0.0,0.0,0.19,0.19,0.9,0.0,0.6438007354736328,DyS,resnet50,0
6,10,0.0,0.0,0.25,0.25,0.7,0.0,0.5940990447998047,HDy,resnet50,0
6,10,0.0,0.0,0.25,0.25,0.7,0.0,0.5940990447998047,SORD,resnet50,0
7,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,CC,resnet50,0
7,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,ACC,resnet50,0
7,10,0.0,0.0,0.68,0.68,0.4,0.0,0.2995014190673828,X,resnet50,0
7,10,0.0,0.0,0.73,0.73,0.3,0.0,0.26600074768066406,MAX,resnet50,0
7,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,resnet50,0
7,10,0.0,0.0,0.88,0.88,0.2,0.0,0.2399005889892578,MS,resnet50,0
7,10,0.0,0.0,0.67,0.67,0.4,0.0,0.2995014190673828,DyS,resnet50,0
7,10,0.0,0.0,0.56,0.56,0.4,0.0,0.5254993438720703,HDy,resnet50,0
7,10,0.0,0.0,0.81,0.81,0.2,0.0,0.2399005889892578,SORD,resnet50,0
8,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,CC,resnet50,0
8,10,0.0,0.0,0.8,0.8,0.2,0.0,0.25,ACC,resnet50,0
8,10,0.0,0.0,0.68,0.68,0.4,0.0,0.2847003936767578,X,resnet50,0
8,10,0.0,0.0,0.73,0.73,0.2,0.0,0.2559986114501953,MAX,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,resnet50,0
8,10,0.0,0.0,0.82,0.82,0.2,0.0,0.24590110778808594,MS,resnet50,0
8,10,0.0,0.0,0.73,0.73,0.2,0.0,0.2559986114501953,DyS,resnet50,0
8,10,0.0,0.0,0.73,0.73,0.2,0.0,0.2559986114501953,HDy,resnet50,0
8,10,0.0,0.0,0.78,0.78,0.2,0.0,0.2559986114501953,SORD,resnet50,0
9,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,resnet50,0
9,10,0.0,0.0,0.41,0.41,0.6,0.0,0.4921875,ACC,resnet50,0
9,10,0.0,0.0,0.51,0.51,0.4,0.0,0.3579998016357422,X,resnet50,0
9,10,0.0,0.0,0.56,0.56,0.4,0.0,0.3579998016357422,MAX,resnet50,0
9,10,0.0,0.0,0.57,0.57,0.4,0.0,0.3579998016357422,T50,resnet50,0
9,10,0.0,0.0,0.56,0.56,0.4,0.0,0.3579998016357422,MS,resnet50,0
9,10,0.0,0.0,0.45,0.45,0.6,0.0,0.48470115661621094,DyS,resnet50,0
9,10,0.0,0.0,0.47,0.47,0.6,0.0,0.48470115661621094,HDy,resnet50,0
9,10,0.0,0.0,0.53,0.53,0.4,0.0,0.3579998016357422,SORD,resnet50,0
10,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,0
10,10,0.0,0.0,0.02,0.02,0.9,0.0,0.5218982696533203,ACC,resnet50,0
10,10,0.0,0.0,0.16,0.16,0.8,0.0,0.4602985382080078,X,resnet50,0
10,10,0.0,0.0,0.05,0.05,0.9,0.0,0.5218982696533203,MAX,resnet50,0
10,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5218982696533203,T50,resnet50,0
10,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5218982696533203,MS,resnet50,0
10,10,0.0,0.0,0.06,0.06,0.9,0.0,0.5218982696533203,DyS,resnet50,0
10,10,0.0,0.0,0.08,0.08,0.9,0.0,0.5218982696533203,HDy,resnet50,0
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,SORD,resnet50,0
1,10,0.05,0.0,0.4,0.4,0.6,0.0,0.5,CC,resnet50,0
1,10,0.05,0.0,0.61,0.61,0.4,0.0,0.4223003387451172,ACC,resnet50,0
1,10,0.05,0.0,0.86,0.86,0.1,0.0,0.1993999481201172,X,resnet50,0
1,10,0.05,0.0,0.9,0.9,0.1,0.0,0.1875,MAX,resnet50,0
1,10,0.05,0.0,0.57,0.57,0.5,0.0,0.45910072326660156,T50,resnet50,0
1,10,0.05,0.0,0.62,0.62,0.4,0.0,0.4223003387451172,MS,resnet50,0
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.125,DyS,resnet50,0
1,10,0.05,0.0,0.96,0.96,0.0,0.0,0.1583995819091797,HDy,resnet50,0
1,10,0.05,0.0,0.58,0.58,0.5,0.0,0.45910072326660156,SORD,resnet50,0
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.5,CC,resnet50,0
2,10,0.05,0.0,0.41,0.41,0.6,0.0,0.3125,ACC,resnet50,0
2,10,0.05,0.0,0.16,0.16,0.8,0.0,0.7284984588623047,X,resnet50,0
2,10,0.05,0.0,0.22,0.22,0.7,0.0,0.6019992828369141,MAX,resnet50,0
2,10,0.05,0.0,0.57,0.57,0.5,0.0,0.3029003143310547,T50,resnet50,0
2,10,0.05,0.0,0.49,0.49,0.6,0.0,0.30520057678222656,MS,resnet50,0
2,10,0.05,0.0,0.37,0.37,0.7,0.0,0.3266010284423828,DyS,resnet50,0
2,10,0.05,0.0,0.36,0.36,0.7,0.0,0.3266010284423828,HDy,resnet50,0
2,10,0.05,0.0,0.36,0.36,0.7,0.0,0.3266010284423828,SORD,resnet50,0
