sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
1,10,0.0,0.0,0.72,0.72,0.2,0.0,0.47049903869628906,X,vgg16,0
1,10,0.0,0.0,0.55,0.55,0.4,0.0,0.4755992889404297,MAX,vgg16,0
1,10,0.0,0.0,0.06,0.06,0.9,0.0,0.4952983856201172,T50,vgg16,0
1,10,0.0,0.0,0.06,0.06,0.9,0.0,0.4952983856201172,MS,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
2,10,0.0,0.0,0.72,0.72,0.2,0.0,0.46759986877441406,X,vgg16,0
2,10,0.0,0.0,0.23,0.23,0.7,0.0,0.48219871520996094,MAX,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
2,10,0.0,0.0,0.23,0.23,0.7,0.0,0.48219871520996094,MS,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
3,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,ACC,vgg16,0
3,10,0.0,0.0,0.17,0.17,0.8,0.0,0.4929981231689453,X,vgg16,0
3,10,0.0,0.0,0.55,0.55,0.5,0.0,0.4778003692626953,MAX,vgg16,0
3,10,0.0,0.0,0.5,0.5,0.5,0.0,0.478515625,T50,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,MS,vgg16,0
3,10,0.0,0.0,0.05,0.05,0.9,0.0,0.5003986358642578,DyS,vgg16,0
3,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5003986358642578,HDy,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,SORD,vgg16,0
4,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,ACC,vgg16,0
4,10,0.0,0.0,0.17,0.17,0.8,0.0,0.49809837341308594,X,vgg16,0
4,10,0.0,0.0,0.23,0.23,0.7,0.0,0.4952983856201172,MAX,vgg16,0
4,10,0.0,0.0,0.06,0.06,1.0,0.0,0.5039005279541016,T50,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,MS,vgg16,0
4,10,0.0,0.0,0.05,0.05,1.0,0.0,0.5039005279541016,DyS,vgg16,0
4,10,0.0,0.0,0.04,0.04,1.0,0.0,0.5039005279541016,HDy,vgg16,0
4,10,0.0,0.0,0.09,0.09,1.0,0.0,0.5039005279541016,SORD,vgg16,0
5,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,vgg16,0
