sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,50,0.0,0.0,0.22,0.22,0.78,CC,resnet50,1.0
1,50,0.0,0.0,0.2,0.2,0.8,ACC,resnet50,1.0
1,50,0.0,0.0,0.2,0.2,0.8,X,resnet50,1.0
1,50,0.0,0.0,0.22,0.22,0.78,MAX,resnet50,1.0
1,50,0.0,0.0,0.15,0.15,0.86,T50,resnet50,1.0
1,50,0.0,0.0,0.22,0.22,0.78,MS,resnet50,1.0
1,50,0.0,0.0,0.19,0.19,0.82,DyS,resnet50,1.0
1,50,0.0,0.0,0.19,0.19,0.82,HDy,resnet50,1.0
1,50,0.0,0.0,0.22,0.22,0.78,SORD,resnet50,1.0
2,50,0.0,0.0,0.1,0.1,0.9,CC,resnet50,1.0
2,50,0.0,0.0,0.07,0.07,0.92,ACC,resnet50,1.0
2,50,0.0,0.0,0.07,0.07,0.92,X,resnet50,1.0
2,50,0.0,0.0,0.11,0.11,0.9,MAX,resnet50,1.0
2,50,0.0,0.0,0.07,0.07,0.92,T50,resnet50,1.0
2,50,0.0,0.0,0.1,0.1,0.9,MS,resnet50,1.0
2,50,0.0,0.0,0.08,0.08,0.92,DyS,resnet50,1.0
2,50,0.0,0.0,0.08,0.08,0.92,HDy,resnet50,1.0
2,50,0.0,0.0,0.11,0.11,0.9,SORD,resnet50,1.0
3,50,0.0,0.0,0.12,0.12,0.88,CC,resnet50,1.0
3,50,0.0,0.0,0.09,0.09,0.92,ACC,resnet50,1.0
3,50,0.0,0.0,0.09,0.09,0.92,X,resnet50,1.0
3,50,0.0,0.0,0.09,0.09,0.92,MAX,resnet50,1.0
3,50,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
3,50,0.0,0.0,0.06,0.06,0.94,MS,resnet50,1.0
3,50,0.0,0.0,0.07,0.07,0.92,DyS,resnet50,1.0
3,50,0.0,0.0,0.02,0.02,0.98,HDy,resnet50,1.0
3,50,0.0,0.0,0.08,0.08,0.92,SORD,resnet50,1.0
1,50,0.1,0.1,0.2,0.1,0.86,CC,resnet50,1.0
1,50,0.1,0.1,0.18,0.08,0.88,ACC,resnet50,1.0
1,50,0.1,0.1,0.18,0.08,0.88,X,resnet50,1.0
1,50,0.1,0.1,0.2,0.1,0.86,MAX,resnet50,1.0
1,50,0.1,0.1,0.07,0.03,0.94,T50,resnet50,1.0
1,50,0.1,0.1,0.18,0.08,0.88,MS,resnet50,1.0
1,50,0.1,0.1,0.17,0.07,0.88,DyS,resnet50,1.0
1,50,0.1,0.1,0.12,0.02,0.9,HDy,resnet50,1.0
1,50,0.1,0.1,0.19,0.09,0.86,SORD,resnet50,1.0
2,50,0.1,0.1,0.26,0.16,0.8,CC,resnet50,1.0
2,50,0.1,0.1,0.24,0.14,0.82,ACC,resnet50,1.0
2,50,0.1,0.1,0.24,0.14,0.82,X,resnet50,1.0
2,50,0.1,0.1,0.31,0.21,0.8,MAX,resnet50,1.0
2,50,0.1,0.1,0.26,0.16,0.8,T50,resnet50,1.0
2,50,0.1,0.1,0.27,0.17,0.82,MS,resnet50,1.0
2,50,0.1,0.1,0.25,0.15,0.82,DyS,resnet50,1.0
2,50,0.1,0.1,0.27,0.17,0.82,HDy,resnet50,1.0
2,50,0.1,0.1,0.27,0.17,0.82,SORD,resnet50,1.0
3,50,0.1,0.1,0.22,0.12,0.8,CC,resnet50,1.0
3,50,0.1,0.1,0.2,0.1,0.82,ACC,resnet50,1.0
3,50,0.1,0.1,0.2,0.1,0.82,X,resnet50,1.0
3,50,0.1,0.1,0.24,0.14,0.82,MAX,resnet50,1.0
3,50,0.1,0.1,0.15,0.05,0.88,T50,resnet50,1.0
3,50,0.1,0.1,0.2,0.1,0.82,MS,resnet50,1.0
3,50,0.1,0.1,0.21,0.11,0.82,DyS,resnet50,1.0
3,50,0.1,0.1,0.2,0.1,0.82,HDy,resnet50,1.0
3,50,0.1,0.1,0.21,0.11,0.82,SORD,resnet50,1.0
1,50,0.2,0.2,0.24,0.04,0.88,CC,resnet50,1.0
1,50,0.2,0.2,0.22,0.02,0.86,ACC,resnet50,1.0
1,50,0.2,0.2,0.22,0.02,0.86,X,resnet50,1.0
1,50,0.2,0.2,0.26,0.06,0.86,MAX,resnet50,1.0
1,50,0.2,0.2,0.07,0.13,0.88,T50,resnet50,1.0
1,50,0.2,0.2,0.21,0.01,0.84,MS,resnet50,1.0
1,50,0.2,0.2,0.21,0.01,0.84,DyS,resnet50,1.0
1,50,0.2,0.2,0.15,0.05,0.86,HDy,resnet50,1.0
1,50,0.2,0.2,0.23,0.03,0.88,SORD,resnet50,1.0
2,50,0.2,0.2,0.28,0.08,0.88,CC,resnet50,1.0
2,50,0.2,0.2,0.27,0.07,0.86,ACC,resnet50,1.0
2,50,0.2,0.2,0.27,0.07,0.86,X,resnet50,1.0
2,50,0.2,0.2,0.29,0.09,0.88,MAX,resnet50,1.0
2,50,0.2,0.2,0.15,0.05,0.82,T50,resnet50,1.0
2,50,0.2,0.2,0.27,0.07,0.86,MS,resnet50,1.0
2,50,0.2,0.2,0.26,0.06,0.86,DyS,resnet50,1.0
2,50,0.2,0.2,0.23,0.03,0.84,HDy,resnet50,1.0
2,50,0.2,0.2,0.27,0.07,0.86,SORD,resnet50,1.0
3,50,0.2,0.2,0.26,0.06,0.86,CC,resnet50,1.0
3,50,0.2,0.2,0.24,0.04,0.88,ACC,resnet50,1.0
3,50,0.2,0.2,0.24,0.04,0.88,X,resnet50,1.0
3,50,0.2,0.2,0.26,0.06,0.86,MAX,resnet50,1.0
3,50,0.2,0.2,0.11,0.09,0.88,T50,resnet50,1.0
3,50,0.2,0.2,0.25,0.05,0.86,MS,resnet50,1.0
3,50,0.2,0.2,0.25,0.05,0.86,DyS,resnet50,1.0
3,50,0.2,0.2,0.21,0.01,0.92,HDy,resnet50,1.0
3,50,0.2,0.2,0.25,0.05,0.86,SORD,resnet50,1.0
1,50,0.3,0.3,0.4,0.1,0.9,CC,resnet50,1.0
1,50,0.3,0.3,0.4,0.1,0.9,ACC,resnet50,1.0
1,50,0.3,0.3,0.4,0.1,0.9,X,resnet50,1.0
1,50,0.3,0.3,0.37,0.07,0.88,MAX,resnet50,1.0
1,50,0.3,0.3,0.15,0.15,0.76,T50,resnet50,1.0
1,50,0.3,0.3,0.37,0.07,0.88,MS,resnet50,1.0
1,50,0.3,0.3,0.4,0.1,0.9,DyS,resnet50,1.0
1,50,0.3,0.3,0.32,0.02,0.82,HDy,resnet50,1.0
1,50,0.3,0.3,0.38,0.08,0.88,SORD,resnet50,1.0
2,50,0.3,0.3,0.38,0.08,0.84,CC,resnet50,1.0
2,50,0.3,0.3,0.38,0.08,0.84,ACC,resnet50,1.0
