sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
1,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5306987762451172,ACC,resnet50,1
1,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5306987762451172,X,resnet50,1
1,10,0.0,0.0,0.26,0.26,0.7,0.0,0.4929981231689453,MAX,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
1,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,MS,resnet50,1
1,10,0.0,0.0,0.08,0.08,0.9,0.0,0.5306987762451172,DyS,resnet50,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,HDy,resnet50,1
1,10,0.0,0.0,0.23,0.23,0.7,0.0,0.4929981231689453,SORD,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.04,0.04,0.9,0.0,0.49849891662597656,X,resnet50,1
2,10,0.0,0.0,0.04,0.04,0.9,0.0,0.49849891662597656,MAX,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.49849891662597656,MS,resnet50,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.49849891662597656,DyS,resnet50,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.49849891662597656,HDy,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
3,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
3,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5025997161865234,ACC,resnet50,1
3,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5025997161865234,X,resnet50,1
3,10,0.0,0.0,0.04,0.04,0.9,0.0,0.5025997161865234,MAX,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.5025997161865234,MS,resnet50,1
3,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5025997161865234,DyS,resnet50,1
3,10,0.0,0.0,0.03,0.03,0.9,0.0,0.5025997161865234,HDy,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,SORD,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
4,10,0.0,0.0,0.04,0.04,0.9,0.0,0.49849891662597656,X,resnet50,1
4,10,0.0,0.0,0.15,0.15,0.8,0.0,0.4929981231689453,MAX,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
4,10,0.0,0.0,0.04,0.04,0.9,0.0,0.49849891662597656,MS,resnet50,1
4,10,0.0,0.0,0.01,0.01,0.9,0.0,0.49849891662597656,DyS,resnet50,1
4,10,0.0,0.0,0.02,0.02,0.9,0.0,0.49849891662597656,HDy,resnet50,1
4,10,0.0,0.0,0.15,0.15,0.8,0.0,0.4929981231689453,SORD,resnet50,1
5,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,1
5,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5138988494873047,ACC,resnet50,1
5,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5138988494873047,X,resnet50,1
5,10,0.0,0.0,0.15,0.15,0.8,0.0,0.5138988494873047,MAX,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
5,10,0.0,0.0,0.11,0.11,0.9,0.0,0.515625,MS,resnet50,1
5,10,0.0,0.0,0.16,0.16,0.8,0.0,0.5138988494873047,DyS,resnet50,1
5,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5221996307373047,HDy,resnet50,1
5,10,0.0,0.0,0.15,0.15,0.8,0.0,0.5138988494873047,SORD,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
6,10,0.0,0.0,0.04,0.04,0.9,0.0,0.48689842224121094,X,resnet50,1
6,10,0.0,0.0,0.07,0.07,0.9,0.0,0.48689842224121094,MAX,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
6,10,0.0,0.0,0.02,0.02,0.9,0.0,0.48689842224121094,MS,resnet50,1
6,10,0.0,0.0,0.01,0.01,0.9,0.0,0.48689842224121094,DyS,resnet50,1
6,10,0.0,0.0,0.01,0.01,0.9,0.0,0.48689842224121094,HDy,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
7,10,0.0,0.0,0.04,0.04,0.9,0.0,0.4746990203857422,X,resnet50,1
7,10,0.0,0.0,0.07,0.07,0.9,0.0,0.4746990203857422,MAX,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
7,10,0.0,0.0,0.02,0.02,0.9,0.0,0.4746990203857422,MS,resnet50,1
7,10,0.0,0.0,0.01,0.01,0.9,0.0,0.4746990203857422,DyS,resnet50,1
7,10,0.0,0.0,0.01,0.01,0.9,0.0,0.4746990203857422,HDy,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
8,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
8,10,0.0,0.0,0.07,0.07,1.0,0.0,0.5500011444091797,ACC,resnet50,1
8,10,0.0,0.0,0.07,0.07,1.0,0.0,0.5500011444091797,X,resnet50,1
8,10,0.0,0.0,0.04,0.04,1.0,0.0,0.5500011444091797,MAX,resnet50,1
8,10,0.0,0.0,0.19,0.19,0.8,0.0,0.47899818420410156,T50,resnet50,1
8,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,MS,resnet50,1
8,10,0.0,0.0,0.08,0.08,1.0,0.0,0.5500011444091797,DyS,resnet50,1
8,10,0.0,0.0,0.08,0.08,1.0,0.0,0.5500011444091797,HDy,resnet50,1
8,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,SORD,resnet50,1
9,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,1
9,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5114994049072266,ACC,resnet50,1
9,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5114994049072266,X,resnet50,1
9,10,0.0,0.0,0.15,0.15,0.8,0.0,0.5114994049072266,MAX,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
9,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5244998931884766,MS,resnet50,1
9,10,0.0,0.0,0.16,0.16,0.8,0.0,0.5114994049072266,DyS,resnet50,1
9,10,0.0,0.0,0.09,0.09,0.9,0.0,0.5244998931884766,HDy,resnet50,1
9,10,0.0,0.0,0.1,0.1,0.9,0.0,0.515625,SORD,resnet50,1
10,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,1
10,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5669994354248047,ACC,resnet50,1
10,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5669994354248047,X,resnet50,1
10,10,0.0,0.0,0.15,0.15,0.8,0.0,0.5669994354248047,MAX,resnet50,1
10,10,0.0,0.0,0.37,0.37,0.6,0.0,0.4423999786376953,T50,resnet50,1
10,10,0.0,0.0,0.11,0.11,0.9,0.0,0.568359375,MS,resnet50,1
10,10,0.0,0.0,0.18,0.18,0.8,0.0,0.5669994354248047,DyS,resnet50,1
10,10,0.0,0.0,0.12,0.12,0.8,0.0,0.5669994354248047,HDy,resnet50,1
10,10,0.0,0.0,0.16,0.16,0.8,0.0,0.5669994354248047,SORD,resnet50,1
1,10,0.05,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
1,10,0.05,0.0,0.07,0.07,1.0,0.0,0.5155010223388672,ACC,resnet50,1
1,10,0.05,0.0,0.07,0.07,1.0,0.0,0.5155010223388672,X,resnet50,1
1,10,0.05,0.0,0.15,0.15,0.8,0.0,0.4929981231689453,MAX,resnet50,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
1,10,0.05,0.0,0.04,0.04,1.0,0.0,0.5155010223388672,MS,resnet50,1
1,10,0.05,0.0,0.07,0.07,1.0,0.0,0.5155010223388672,DyS,resnet50,1
1,10,0.05,0.0,0.04,0.04,1.0,0.0,0.5155010223388672,HDy,resnet50,1
1,10,0.05,0.0,0.06,0.06,1.0,0.0,0.5155010223388672,SORD,resnet50,1
2,10,0.05,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
2,10,0.05,0.0,0.07,0.07,1.0,0.0,0.5151004791259766,ACC,resnet50,1
2,10,0.05,0.0,0.07,0.07,1.0,0.0,0.5151004791259766,X,resnet50,1
2,10,0.05,0.0,0.04,0.04,1.0,0.0,0.5151004791259766,MAX,resnet50,1
2,10,0.05,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
