sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.22479820251464844,X,vgg16,1
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.22479820251464844,MAX,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,vgg16,1
1,10,0.0,0.0,0.02,0.02,0.9,0.0,0.22479820251464844,MS,vgg16,1
1,10,0.0,0.0,0.02,0.02,0.9,0.0,0.22479820251464844,DyS,vgg16,1
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.22479820251464844,HDy,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
2,10,0.0,0.0,0.03,0.03,0.9,0.0,0.03999900817871094,X,vgg16,1
2,10,0.0,0.0,0.03,0.03,0.9,0.0,0.03999900817871094,MAX,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,vgg16,1
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.03999900817871094,MS,vgg16,1
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.03999900817871094,DyS,vgg16,1
2,10,0.0,0.0,0.03,0.03,0.9,0.0,0.03999900817871094,HDy,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
3,10,0.0,0.0,0.03,0.03,1.0,0.0,0.4026012420654297,X,vgg16,1
3,10,0.0,0.0,0.07,0.07,1.0,0.0,0.4026012420654297,MAX,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,vgg16,1
3,10,0.0,0.0,0.01,0.01,1.0,0.0,0.4026012420654297,MS,vgg16,1
3,10,0.0,0.0,0.02,0.02,1.0,0.0,0.4026012420654297,DyS,vgg16,1
3,10,0.0,0.0,0.03,0.03,1.0,0.0,0.4026012420654297,HDy,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
4,10,0.0,0.0,0.07,0.07,1.0,0.0,0.4828014373779297,X,vgg16,1
4,10,0.0,0.0,0.07,0.07,1.0,0.0,0.4828014373779297,MAX,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,vgg16,1
4,10,0.0,0.0,0.02,0.02,1.0,0.0,0.4828014373779297,MS,vgg16,1
4,10,0.0,0.0,0.03,0.03,1.0,0.0,0.4828014373779297,DyS,vgg16,1
4,10,0.0,0.0,0.04,0.04,1.0,0.0,0.4828014373779297,HDy,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,1
5,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,vgg16,1
5,10,0.0,0.0,0.19,0.19,0.9,0.0,0.5109004974365234,ACC,vgg16,1
5,10,0.0,0.0,0.18,0.18,0.9,0.0,0.5109004974365234,X,vgg16,1
5,10,0.0,0.0,0.18,0.18,0.9,0.0,0.5109004974365234,MAX,vgg16,1
