sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier
1,50,0.0,0.0,0.0,0.0,1.0,CC
1,50,0.0,0.0,0.0,0.0,1.0,ACC
1,50,0.0,0.0,0.19,0.19,0.82,PCC
1,50,0.0,0.0,0.0,0.0,1.0,PACC
1,50,0.0,0.0,0.36,0.36,0.64,X
1,50,0.0,0.0,0.27,0.27,0.74,MAX
1,50,0.0,0.0,0.11,0.11,0.9,T50
1,50,0.0,0.0,0.19,0.19,0.82,MS
1,50,0.0,0.0,0.0,0.0,1.0,DyS
1,50,0.0,0.0,0.0,0.0,1.0,HDy
1,50,0.0,0.0,0.0,0.0,1.0,SORD
2,50,0.0,0.0,0.0,0.0,1.0,CC
2,50,0.0,0.0,0.0,0.0,1.0,ACC
2,50,0.0,0.0,0.18,0.18,0.82,PCC
2,50,0.0,0.0,0.0,0.0,1.0,PACC
2,50,0.0,0.0,0.36,0.36,0.64,X
2,50,0.0,0.0,0.27,0.27,0.74,MAX
2,50,0.0,0.0,0.11,0.11,0.9,T50
2,50,0.0,0.0,0.2,0.2,0.8,MS
2,50,0.0,0.0,0.0,0.0,1.0,DyS
2,50,0.0,0.0,0.0,0.0,1.0,HDy
2,50,0.0,0.0,0.0,0.0,1.0,SORD
3,50,0.0,0.0,0.04,0.04,0.96,CC
3,50,0.0,0.0,0.0,0.0,1.0,ACC
3,50,0.0,0.0,0.19,0.19,0.8,PCC
3,50,0.0,0.0,0.0,0.0,1.0,PACC
3,50,0.0,0.0,0.33,0.33,0.68,X
3,50,0.0,0.0,0.23,0.23,0.76,MAX
3,50,0.0,0.0,0.07,0.07,0.92,T50
3,50,0.0,0.0,0.13,0.13,0.86,MS
3,50,0.0,0.0,0.0,0.0,1.0,DyS
3,50,0.0,0.0,0.01,0.01,1.0,HDy
3,50,0.0,0.0,0.0,0.0,1.0,SORD
1,50,0.1,0.1,0.06,0.04,0.96,CC
1,50,0.1,0.1,0.0,0.1,0.9,ACC
1,50,0.1,0.1,0.22,0.12,0.88,PCC
1,50,0.1,0.1,0.0,0.1,0.9,PACC
1,50,0.1,0.1,0.18,0.08,0.92,X
1,50,0.1,0.1,0.09,0.01,0.94,MAX
1,50,0.1,0.1,0.02,0.08,0.94,T50
1,50,0.1,0.1,0.12,0.02,0.94,MS
1,50,0.1,0.1,0.05,0.05,0.96,DyS
1,50,0.1,0.1,0.05,0.05,0.96,HDy
1,50,0.1,0.1,0.0,0.1,0.9,SORD
2,50,0.1,0.1,0.06,0.04,0.96,CC
2,50,0.1,0.1,0.0,0.1,0.9,ACC
2,50,0.1,0.1,0.24,0.14,0.82,PCC
2,50,0.1,0.1,0.0,0.1,0.9,PACC
