sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier
1,50,0.0,0.0,0.32,0.32,0.68,CC
1,50,0.0,0.0,0.38,0.38,0.62,ACC
1,50,0.0,0.0,0.34,0.34,0.66,PCC
1,50,0.0,0.0,0.22,0.22,0.78,PACC
1,50,0.0,0.0,0.49,0.49,0.52,X
1,50,0.0,0.0,0.49,0.49,0.52,MAX
1,50,0.0,0.0,0.18,0.18,0.82,T50
1,50,0.0,0.0,0.32,0.32,0.68,MS
1,50,0.0,0.0,0.35,0.35,0.66,DyS
1,50,0.0,0.0,0.26,0.26,0.74,HDy
1,50,0.0,0.0,0.42,0.42,0.58,SORD
2,50,0.0,0.0,0.28,0.28,0.72,CC
2,50,0.0,0.0,0.32,0.32,0.68,ACC
2,50,0.0,0.0,0.33,0.33,0.66,PCC
2,50,0.0,0.0,0.18,0.18,0.82,PACC
2,50,0.0,0.0,0.44,0.44,0.56,X
2,50,0.0,0.0,0.44,0.44,0.56,MAX
2,50,0.0,0.0,0.06,0.06,0.94,T50
2,50,0.0,0.0,0.32,0.32,0.68,MS
2,50,0.0,0.0,0.3,0.3,0.7,DyS
2,50,0.0,0.0,0.18,0.18,0.82,HDy
2,50,0.0,0.0,0.33,0.33,0.66,SORD
3,50,0.0,0.0,0.18,0.18,0.82,CC
3,50,0.0,0.0,0.18,0.18,0.82,ACC
3,50,0.0,0.0,0.32,0.32,0.68,PCC
3,50,0.0,0.0,0.13,0.13,0.86,PACC
3,50,0.0,0.0,0.44,0.44,0.56,X
3,50,0.0,0.0,0.44,0.44,0.56,MAX
3,50,0.0,0.0,0.22,0.22,0.78,T50
3,50,0.0,0.0,0.23,0.23,0.76,MS
3,50,0.0,0.0,0.27,0.27,0.74,DyS
3,50,0.0,0.0,0.16,0.16,0.84,HDy
3,50,0.0,0.0,0.24,0.24,0.76,SORD
1,50,0.1,0.1,0.28,0.18,0.78,CC
1,50,0.1,0.1,0.32,0.22,0.74,ACC
1,50,0.1,0.1,0.35,0.25,0.72,PCC
1,50,0.1,0.1,0.21,0.11,0.82,PACC
1,50,0.1,0.1,0.41,0.31,0.66,X
1,50,0.1,0.1,0.41,0.31,0.66,MAX
1,50,0.1,0.1,0.22,0.12,0.8,T50
1,50,0.1,0.1,0.32,0.22,0.74,MS
1,50,0.1,0.1,0.35,0.25,0.72,DyS
1,50,0.1,0.1,0.27,0.17,0.76,HDy
1,50,0.1,0.1,0.42,0.32,0.64,SORD
2,50,0.1,0.1,0.3,0.2,0.72,CC
2,50,0.1,0.1,0.35,0.25,0.68,ACC
2,50,0.1,0.1,0.36,0.26,0.7,PCC
2,50,0.1,0.1,0.24,0.14,0.78,PACC
2,50,0.1,0.1,0.44,0.34,0.62,X
2,50,0.1,0.1,0.44,0.34,0.62,MAX
2,50,0.1,0.1,0.31,0.21,0.7,T50
2,50,0.1,0.1,0.35,0.25,0.68,MS
2,50,0.1,0.1,0.38,0.28,0.68,DyS
2,50,0.1,0.1,0.31,0.21,0.7,HDy
2,50,0.1,0.1,0.37,0.27,0.68,SORD
3,50,0.1,0.1,0.32,0.22,0.78,CC
3,50,0.1,0.1,0.38,0.28,0.72,ACC
3,50,0.1,0.1,0.33,0.23,0.78,PCC
3,50,0.1,0.1,0.26,0.16,0.84,PACC
3,50,0.1,0.1,0.39,0.29,0.7,X
3,50,0.1,0.1,0.39,0.29,0.7,MAX
3,50,0.1,0.1,0.31,0.21,0.78,T50
3,50,0.1,0.1,0.34,0.24,0.76,MS
3,50,0.1,0.1,0.33,0.23,0.78,DyS
3,50,0.1,0.1,0.19,0.09,0.86,HDy
3,50,0.1,0.1,0.35,0.25,0.76,SORD
1,50,0.2,0.2,0.36,0.16,0.8,CC
1,50,0.2,0.2,0.43,0.23,0.78,ACC
1,50,0.2,0.2,0.38,0.18,0.82,PCC
1,50,0.2,0.2,0.28,0.08,0.84,PACC
1,50,0.2,0.2,0.57,0.37,0.64,X
1,50,0.2,0.2,0.57,0.37,0.64,MAX
1,50,0.2,0.2,0.27,0.07,0.86,T50
1,50,0.2,0.2,0.37,0.17,0.8,MS
1,50,0.2,0.2,0.45,0.25,0.76,DyS
1,50,0.2,0.2,0.36,0.16,0.8,HDy
1,50,0.2,0.2,0.44,0.24,0.76,SORD
2,50,0.2,0.2,0.44,0.24,0.76,CC
2,50,0.2,0.2,0.54,0.34,0.66,ACC
2,50,0.2,0.2,0.41,0.21,0.8,PCC
2,50,0.2,0.2,0.36,0.16,0.8,PACC
2,50,0.2,0.2,0.57,0.37,0.64,X
2,50,0.2,0.2,0.57,0.37,0.64,MAX
2,50,0.2,0.2,0.35,0.15,0.78,T50
2,50,0.2,0.2,0.46,0.26,0.74,MS
2,50,0.2,0.2,0.52,0.32,0.68,DyS
2,50,0.2,0.2,0.45,0.25,0.76,HDy
2,50,0.2,0.2,0.54,0.34,0.66,SORD
3,50,0.2,0.2,0.34,0.14,0.7,CC
3,50,0.2,0.2,0.4,0.2,0.68,ACC
3,50,0.2,0.2,0.38,0.18,0.7,PCC
3,50,0.2,0.2,0.29,0.09,0.76,PACC
3,50,0.2,0.2,0.47,0.27,0.62,X
3,50,0.2,0.2,0.47,0.27,0.62,MAX
3,50,0.2,0.2,0.31,0.11,0.74,T50
3,50,0.2,0.2,0.43,0.23,0.66,MS
3,50,0.2,0.2,0.44,0.24,0.64,DyS
3,50,0.2,0.2,0.41,0.21,0.68,HDy
3,50,0.2,0.2,0.43,0.23,0.66,SORD
1,50,0.3,0.3,0.42,0.12,0.64,CC
1,50,0.3,0.3,0.51,0.21,0.64,ACC
1,50,0.3,0.3,0.43,0.13,0.66,PCC
1,50,0.3,0.3,0.36,0.06,0.66,PACC
1,50,0.3,0.3,0.57,0.27,0.58,X
1,50,0.3,0.3,0.57,0.27,0.58,MAX
1,50,0.3,0.3,0.35,0.05,0.68,T50
1,50,0.3,0.3,0.53,0.23,0.6,MS
1,50,0.3,0.3,0.54,0.24,0.6,DyS
1,50,0.3,0.3,0.49,0.19,0.64,HDy
1,50,0.3,0.3,0.56,0.26,0.58,SORD
2,50,0.3,0.3,0.4,0.1,0.7,CC
2,50,0.3,0.3,0.49,0.19,0.68,ACC
2,50,0.3,0.3,0.41,0.11,0.7,PCC
2,50,0.3,0.3,0.35,0.05,0.72,PACC
2,50,0.3,0.3,0.49,0.19,0.68,X
2,50,0.3,0.3,0.49,0.19,0.68,MAX
2,50,0.3,0.3,0.39,0.09,0.68,T50
2,50,0.3,0.3,0.48,0.18,0.7,MS
2,50,0.3,0.3,0.49,0.19,0.68,DyS
2,50,0.3,0.3,0.4,0.1,0.7,HDy
2,50,0.3,0.3,0.48,0.18,0.7,SORD
3,50,0.3,0.3,0.52,0.22,0.78,CC
3,50,0.3,0.3,0.65,0.35,0.66,ACC
3,50,0.3,0.3,0.5,0.2,0.8,PCC
3,50,0.3,0.3,0.49,0.19,0.8,PACC
3,50,0.3,0.3,0.71,0.41,0.6,X
3,50,0.3,0.3,0.71,0.41,0.6,MAX
3,50,0.3,0.3,0.59,0.29,0.7,T50
3,50,0.3,0.3,0.67,0.37,0.62,MS
3,50,0.3,0.3,0.67,0.37,0.62,DyS
3,50,0.3,0.3,0.64,0.34,0.66,HDy
3,50,0.3,0.3,0.67,0.37,0.62,SORD
1,50,0.4,0.4,0.58,0.18,0.7,CC
1,50,0.4,0.4,0.74,0.34,0.62,ACC
1,50,0.4,0.4,0.53,0.13,0.74,PCC
1,50,0.4,0.4,0.58,0.18,0.7,PACC
1,50,0.4,0.4,0.6,0.2,0.68,X
1,50,0.4,0.4,0.6,0.2,0.68,MAX
1,50,0.4,0.4,0.76,0.36,0.6,T50
1,50,0.4,0.4,0.7,0.3,0.66,MS
1,50,0.4,0.4,0.65,0.25,0.66,DyS
1,50,0.4,0.4,0.62,0.22,0.66,HDy
1,50,0.4,0.4,0.69,0.29,0.64,SORD
2,50,0.4,0.4,0.42,0.02,0.78,CC
2,50,0.4,0.4,0.51,0.11,0.68,ACC
2,50,0.4,0.4,0.47,0.07,0.74,PCC
2,50,0.4,0.4,0.4,0.0,0.8,PACC
2,50,0.4,0.4,0.57,0.17,0.68,X
2,50,0.4,0.4,0.57,0.17,0.68,MAX
2,50,0.4,0.4,0.55,0.15,0.7,T50
2,50,0.4,0.4,0.57,0.17,0.68,MS
2,50,0.4,0.4,0.63,0.23,0.66,DyS
2,50,0.4,0.4,0.61,0.21,0.66,HDy
2,50,0.4,0.4,0.57,0.17,0.68,SORD
3,50,0.4,0.4,0.56,0.16,0.72,CC
3,50,0.4,0.4,0.71,0.31,0.7,ACC
3,50,0.4,0.4,0.54,0.14,0.74,PCC
3,50,0.4,0.4,0.53,0.13,0.76,PACC
3,50,0.4,0.4,0.79,0.39,0.6,X
3,50,0.4,0.4,0.79,0.39,0.6,MAX
3,50,0.4,0.4,0.51,0.11,0.76,T50
3,50,0.4,0.4,0.76,0.36,0.64,MS
3,50,0.4,0.4,0.77,0.37,0.64,DyS
3,50,0.4,0.4,0.77,0.37,0.64,HDy
3,50,0.4,0.4,0.76,0.36,0.64,SORD
1,50,0.5,0.5,0.5,0.0,0.84,CC
1,50,0.5,0.5,0.62,0.12,0.76,ACC
1,50,0.5,0.5,0.55,0.05,0.82,PCC
1,50,0.5,0.5,0.54,0.04,0.84,PACC
1,50,0.5,0.5,0.68,0.18,0.74,X
1,50,0.5,0.5,0.68,0.18,0.74,MAX
1,50,0.5,0.5,0.71,0.21,0.76,T50
1,50,0.5,0.5,0.7,0.2,0.76,MS
1,50,0.5,0.5,0.67,0.17,0.74,DyS
1,50,0.5,0.5,0.65,0.15,0.74,HDy
1,50,0.5,0.5,0.68,0.18,0.74,SORD
2,50,0.5,0.5,0.44,0.06,0.9,CC
2,50,0.5,0.5,0.54,0.04,0.8,ACC
2,50,0.5,0.5,0.49,0.01,0.86,PCC
2,50,0.5,0.5,0.46,0.04,0.88,PACC
2,50,0.5,0.5,0.57,0.07,0.82,X
2,50,0.5,0.5,0.57,0.07,0.82,MAX
2,50,0.5,0.5,0.67,0.17,0.78,T50
2,50,0.5,0.5,0.61,0.11,0.82,MS
2,50,0.5,0.5,0.56,0.06,0.82,DyS
2,50,0.5,0.5,0.48,0.02,0.86,HDy
2,50,0.5,0.5,0.6,0.1,0.82,SORD
3,50,0.5,0.5,0.56,0.06,0.66,CC
3,50,0.5,0.5,0.71,0.21,0.68,ACC
3,50,0.5,0.5,0.58,0.08,0.68,PCC
3,50,0.5,0.5,0.58,0.08,0.68,PACC
3,50,0.5,0.5,0.79,0.29,0.7,X
3,50,0.5,0.5,0.79,0.29,0.7,MAX
3,50,0.5,0.5,0.8,0.3,0.7,T50
3,50,0.5,0.5,0.79,0.29,0.7,MS
3,50,0.5,0.5,0.79,0.29,0.7,DyS
