sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,DyS,vgg16,0
1,10,0.0,0.0,0.33,0.33,0.6,0.0,0.3612995147705078,HDy,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,DyS,vgg16,0
2,10,0.0,0.0,0.16,0.16,0.8,0.0,0.3646984100341797,HDy,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,DyS,vgg16,0
3,10,0.0,0.0,0.25,0.25,0.7,0.0,0.36079978942871094,HDy,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MAX,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,DyS,vgg16,0
4,10,0.0,0.0,0.08,0.08,1.0,0.0,0.3858013153076172,HDy,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
