sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,100,0.0,0.0,0.01,0.01,0.99,CC,resnet50,1.0
1,100,0.0,0.0,0.04,0.04,0.96,ACC,resnet50,1.0
1,100,0.0,0.0,1.0,1.0,0.0,X,resnet50,1.0
1,100,0.0,0.0,1.0,1.0,0.0,MAX,resnet50,1.0
1,100,0.0,0.0,0.89,0.89,0.1,T50,resnet50,1.0
1,100,0.0,0.0,0.04,0.04,0.96,MS,resnet50,1.0
1,100,0.0,0.0,0.97,0.97,0.03,DyS,resnet50,1.0
1,100,0.0,0.0,1.0,1.0,0.0,HDy,resnet50,1.0
1,100,0.0,0.0,1.0,1.0,0.0,SORD,resnet50,1.0
2,100,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
2,100,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
2,100,0.0,0.0,0.98,0.98,0.02,X,resnet50,1.0
2,100,0.0,0.0,0.98,0.98,0.02,MAX,resnet50,1.0
2,100,0.0,0.0,0.8,0.8,0.2,T50,resnet50,1.0
2,100,0.0,0.0,0.0,0.0,1.0,MS,resnet50,1.0
2,100,0.0,0.0,0.76,0.76,0.24,DyS,resnet50,1.0
2,100,0.0,0.0,0.88,0.88,0.12,HDy,resnet50,1.0
2,100,0.0,0.0,0.95,0.95,0.05,SORD,resnet50,1.0
3,100,0.0,0.0,0.01,0.01,0.99,CC,resnet50,1.0
3,100,0.0,0.0,0.04,0.04,0.96,ACC,resnet50,1.0
3,100,0.0,0.0,1.0,1.0,0.0,X,resnet50,1.0
3,100,0.0,0.0,1.0,1.0,0.0,MAX,resnet50,1.0
3,100,0.0,0.0,0.89,0.89,0.11,T50,resnet50,1.0
3,100,0.0,0.0,0.04,0.04,0.96,MS,resnet50,1.0
3,100,0.0,0.0,0.85,0.85,0.15,DyS,resnet50,1.0
3,100,0.0,0.0,0.92,0.92,0.08,HDy,resnet50,1.0
3,100,0.0,0.0,0.99,0.99,0.01,SORD,resnet50,1.0
1,100,0.1,0.1,0.01,0.09,0.91,CC,resnet50,1.0
1,100,0.1,0.1,0.04,0.06,0.92,ACC,resnet50,1.0
1,100,0.1,0.1,1.0,0.9,0.1,X,resnet50,1.0
1,100,0.1,0.1,1.0,0.9,0.1,MAX,resnet50,1.0
1,100,0.1,0.1,0.91,0.81,0.19,T50,resnet50,1.0
1,100,0.1,0.1,0.04,0.06,0.92,MS,resnet50,1.0
1,100,0.1,0.1,0.98,0.88,0.13,DyS,resnet50,1.0
1,100,0.1,0.1,1.0,0.9,0.1,HDy,resnet50,1.0
1,100,0.1,0.1,1.0,0.9,0.1,SORD,resnet50,1.0
2,100,0.1,0.1,0.03,0.07,0.91,CC,resnet50,1.0
2,100,0.1,0.1,0.12,0.02,0.87,ACC,resnet50,1.0
2,100,0.1,0.1,1.0,0.9,0.1,X,resnet50,1.0
2,100,0.1,0.1,1.0,0.9,0.1,MAX,resnet50,1.0
2,100,0.1,0.1,1.0,0.9,0.1,T50,resnet50,1.0
2,100,0.1,0.1,0.12,0.02,0.87,MS,resnet50,1.0
2,100,0.1,0.1,0.99,0.89,0.11,DyS,resnet50,1.0
2,100,0.1,0.1,1.0,0.9,0.1,HDy,resnet50,1.0
2,100,0.1,0.1,1.0,0.9,0.1,SORD,resnet50,1.0
3,100,0.1,0.1,0.0,0.1,0.9,CC,resnet50,1.0
3,100,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,1.0
3,100,0.1,0.1,1.0,0.9,0.1,X,resnet50,1.0
3,100,0.1,0.1,1.0,0.9,0.1,MAX,resnet50,1.0
3,100,0.1,0.1,0.85,0.75,0.25,T50,resnet50,1.0
3,100,0.1,0.1,0.0,0.1,0.9,MS,resnet50,1.0
3,100,0.1,0.1,0.92,0.82,0.18,DyS,resnet50,1.0
3,100,0.1,0.1,0.98,0.88,0.12,HDy,resnet50,1.0
