sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
1,10,0.0,0.0,0.4,0.4,0.6,0.0,0.46875,ACC,resnet50,1
1,10,0.0,0.0,0.76,0.76,0.2,0.0,0.43269920349121094,X,resnet50,1
1,10,0.0,0.0,0.76,0.76,0.2,0.0,0.43269920349121094,MAX,resnet50,1
1,10,0.0,0.0,0.76,0.76,0.2,0.0,0.43269920349121094,T50,resnet50,1
1,10,0.0,0.0,0.34,0.34,0.7,0.0,0.4778003692626953,MS,resnet50,1
1,10,0.0,0.0,0.83,0.83,0.1,0.0,0.42009925842285156,DyS,resnet50,1
1,10,0.0,0.0,0.92,0.92,0.0,0.0,0.40419960021972656,HDy,resnet50,1
1,10,0.0,0.0,0.83,0.83,0.1,0.0,0.42009925842285156,SORD,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.4765625,ACC,resnet50,1
2,10,0.0,0.0,0.95,0.95,0.0,0.0,0.4000988006591797,X,resnet50,1
2,10,0.0,0.0,0.95,0.95,0.0,0.0,0.4000988006591797,MAX,resnet50,1
2,10,0.0,0.0,0.98,0.98,0.0,0.0,0.4000988006591797,T50,resnet50,1
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.4765625,MS,resnet50,1
2,10,0.0,0.0,0.86,0.86,0.2,0.0,0.41860008239746094,DyS,resnet50,1
2,10,0.0,0.0,0.99,0.99,0.0,0.0,0.4000988006591797,HDy,resnet50,1
2,10,0.0,0.0,0.95,0.95,0.0,0.0,0.4000988006591797,SORD,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
3,10,0.0,0.0,0.95,0.95,0.1,0.0,0.3831005096435547,X,resnet50,1
3,10,0.0,0.0,0.95,0.95,0.1,0.0,0.3831005096435547,MAX,resnet50,1
3,10,0.0,0.0,0.98,0.98,0.1,0.0,0.3831005096435547,T50,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
3,10,0.0,0.0,0.18,0.18,0.8,0.0,0.47479820251464844,DyS,resnet50,1
3,10,0.0,0.0,0.48,0.48,0.6,0.0,0.46270179748535156,HDy,resnet50,1
3,10,0.0,0.0,0.52,0.52,0.4,0.0,0.4495983123779297,SORD,resnet50,1
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,resnet50,1
4,10,0.0,0.0,0.8,0.8,0.2,0.0,0.40625,ACC,resnet50,1
4,10,0.0,0.0,0.58,0.58,0.5,0.0,0.4212017059326172,X,resnet50,1
4,10,0.0,0.0,0.58,0.58,0.5,0.0,0.4212017059326172,MAX,resnet50,1
4,10,0.0,0.0,0.54,0.54,0.5,0.0,0.4212017059326172,T50,resnet50,1
4,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5078125,MS,resnet50,1
4,10,0.0,0.0,0.61,0.61,0.3,0.0,0.4210987091064453,DyS,resnet50,1
4,10,0.0,0.0,0.58,0.58,0.5,0.0,0.4212017059326172,HDy,resnet50,1
4,10,0.0,0.0,0.54,0.54,0.5,0.0,0.4212017059326172,SORD,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
5,10,0.0,0.0,0.22,0.22,0.7,0.0,0.45749855041503906,X,resnet50,1
5,10,0.0,0.0,0.22,0.22,0.7,0.0,0.45749855041503906,MAX,resnet50,1
5,10,0.0,0.0,0.33,0.33,0.6,0.0,0.4392986297607422,T50,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
5,10,0.0,0.0,0.08,0.08,1.0,0.0,0.49070167541503906,DyS,resnet50,1
5,10,0.0,0.0,0.13,0.13,0.8,0.0,0.4647998809814453,HDy,resnet50,1
5,10,0.0,0.0,0.25,0.25,0.7,0.0,0.45749855041503906,SORD,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
6,10,0.0,0.0,0.76,0.76,0.2,0.0,0.4307994842529297,X,resnet50,1
6,10,0.0,0.0,0.76,0.76,0.2,0.0,0.4307994842529297,MAX,resnet50,1
6,10,0.0,0.0,0.98,0.98,0.1,0.0,0.39100074768066406,T50,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
6,10,0.0,0.0,0.5,0.5,0.5,0.0,0.46875,DyS,resnet50,1
6,10,0.0,0.0,0.81,0.81,0.2,0.0,0.42930030822753906,HDy,resnet50,1
6,10,0.0,0.0,0.89,0.89,0.2,0.0,0.42930030822753906,SORD,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
7,10,0.0,0.0,0.76,0.76,0.3,0.0,0.4250011444091797,X,resnet50,1
7,10,0.0,0.0,0.76,0.76,0.3,0.0,0.4250011444091797,MAX,resnet50,1
7,10,0.0,0.0,0.76,0.76,0.3,0.0,0.4250011444091797,T50,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
7,10,0.0,0.0,0.43,0.43,0.6,0.0,0.45960044860839844,DyS,resnet50,1
7,10,0.0,0.0,0.65,0.65,0.4,0.0,0.43630027770996094,HDy,resnet50,1
7,10,0.0,0.0,0.74,0.74,0.3,0.0,0.4250011444091797,SORD,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
8,10,0.0,0.0,0.76,0.76,0.2,0.0,0.43089866638183594,X,resnet50,1
8,10,0.0,0.0,0.76,0.76,0.2,0.0,0.43089866638183594,MAX,resnet50,1
8,10,0.0,0.0,0.54,0.54,0.5,0.0,0.4512004852294922,T50,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
8,10,0.0,0.0,0.69,0.69,0.4,0.0,0.43630027770996094,DyS,resnet50,1
8,10,0.0,0.0,0.96,0.96,0.1,0.0,0.4227008819580078,HDy,resnet50,1
8,10,0.0,0.0,0.79,0.79,0.2,0.0,0.43089866638183594,SORD,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
9,10,0.0,0.0,0.58,0.58,0.4,0.0,0.43869972229003906,X,resnet50,1
9,10,0.0,0.0,0.58,0.58,0.4,0.0,0.43869972229003906,MAX,resnet50,1
9,10,0.0,0.0,0.76,0.76,0.3,0.0,0.4144001007080078,T50,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
9,10,0.0,0.0,0.43,0.43,0.5,0.0,0.45129966735839844,DyS,resnet50,1
9,10,0.0,0.0,0.65,0.65,0.4,0.0,0.4312000274658203,HDy,resnet50,1
9,10,0.0,0.0,0.65,0.65,0.4,0.0,0.4312000274658203,SORD,resnet50,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
10,10,0.0,0.0,0.58,0.58,0.4,0.0,0.4392986297607422,X,resnet50,1
10,10,0.0,0.0,0.58,0.58,0.4,0.0,0.4392986297607422,MAX,resnet50,1
10,10,0.0,0.0,0.54,0.54,0.4,0.0,0.4392986297607422,T50,resnet50,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
10,10,0.0,0.0,0.33,0.33,0.6,0.0,0.45749855041503906,DyS,resnet50,1
10,10,0.0,0.0,0.5,0.5,0.5,0.0,0.4453125,HDy,resnet50,1
10,10,0.0,0.0,0.64,0.64,0.4,0.0,0.4389019012451172,SORD,resnet50,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
1,10,0.05,0.0,0.76,0.76,0.2,0.0,0.4302997589111328,X,resnet50,1
1,10,0.05,0.0,0.76,0.76,0.2,0.0,0.4302997589111328,MAX,resnet50,1
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,T50,resnet50,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
1,10,0.05,0.0,0.69,0.69,0.4,0.0,0.43580055236816406,DyS,resnet50,1
1,10,0.05,0.0,0.99,0.99,0.0,0.0,0.42479896545410156,HDy,resnet50,1
1,10,0.05,0.0,1.0,1.0,0.0,0.0,0.25,SORD,resnet50,1
2,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
2,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
2,10,0.05,0.0,0.95,0.95,0.0,0.0,0.4139995574951172,X,resnet50,1
2,10,0.05,0.0,0.95,0.95,0.0,0.0,0.4139995574951172,MAX,resnet50,1
2,10,0.05,0.0,0.76,0.76,0.3,0.0,0.4306011199951172,T50,resnet50,1
2,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
2,10,0.05,0.0,0.7,0.7,0.3,0.0,0.4375,DyS,resnet50,1
2,10,0.05,0.0,0.89,0.89,0.1,0.0,0.42299842834472656,HDy,resnet50,1
2,10,0.05,0.0,0.85,0.85,0.1,0.0,0.42299842834472656,SORD,resnet50,1
3,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
3,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
3,10,0.05,0.0,0.58,0.58,0.5,0.0,0.43630027770996094,X,resnet50,1
3,10,0.05,0.0,0.58,0.58,0.5,0.0,0.43630027770996094,MAX,resnet50,1
3,10,0.05,0.0,0.98,0.98,0.0,0.0,0.4284992218017578,T50,resnet50,1
3,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
3,10,0.05,0.0,0.55,0.55,0.5,0.0,0.43630027770996094,DyS,resnet50,1
3,10,0.05,0.0,0.97,0.97,0.0,0.0,0.4284992218017578,HDy,resnet50,1
3,10,0.05,0.0,0.87,0.87,0.0,0.0,0.4284992218017578,SORD,resnet50,1
4,10,0.05,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,1
4,10,0.05,0.0,0.4,0.4,0.6,0.0,0.4609375,ACC,resnet50,1
4,10,0.05,0.0,0.76,0.76,0.2,0.0,0.4307994842529297,X,resnet50,1
4,10,0.05,0.0,0.76,0.76,0.2,0.0,0.4307994842529297,MAX,resnet50,1
4,10,0.05,0.0,0.76,0.76,0.2,0.0,0.4307994842529297,T50,resnet50,1
4,10,0.05,0.0,0.34,0.34,0.6,0.0,0.4676990509033203,MS,resnet50,1
4,10,0.05,0.0,0.67,0.67,0.4,0.0,0.4321002960205078,DyS,resnet50,1
4,10,0.05,0.0,0.83,0.83,0.2,0.0,0.42690086364746094,HDy,resnet50,1
4,10,0.05,0.0,0.79,0.79,0.2,0.0,0.4307994842529297,SORD,resnet50,1
5,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
5,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
5,10,0.05,0.0,0.58,0.58,0.4,0.0,0.4358997344970703,X,resnet50,1
5,10,0.05,0.0,0.58,0.58,0.4,0.0,0.4358997344970703,MAX,resnet50,1
