sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,100,0.0,0.0,0.06,0.06,0.94,CC,vgg16,1.0
1,100,0.0,0.0,0.06,0.06,0.94,ACC,vgg16,1.0
1,100,0.0,0.0,0.22,0.22,0.78,X,vgg16,1.0
1,100,0.0,0.0,0.24,0.24,0.77,MAX,vgg16,1.0
1,100,0.0,0.0,0.0,0.0,1.0,T50,vgg16,1.0
1,100,0.0,0.0,0.06,0.06,0.94,MS,vgg16,1.0
1,100,0.0,0.0,0.03,0.03,0.97,DyS,vgg16,1.0
1,100,0.0,0.0,0.02,0.02,0.97,HDy,vgg16,1.0
1,100,0.0,0.0,0.12,0.12,0.89,SORD,vgg16,1.0
2,100,0.0,0.0,0.05,0.05,0.95,CC,vgg16,1.0
2,100,0.0,0.0,0.04,0.04,0.96,ACC,vgg16,1.0
2,100,0.0,0.0,0.1,0.1,0.89,X,vgg16,1.0
2,100,0.0,0.0,0.1,0.1,0.89,MAX,vgg16,1.0
2,100,0.0,0.0,0.0,0.0,1.0,T50,vgg16,1.0
2,100,0.0,0.0,0.04,0.04,0.96,MS,vgg16,1.0
2,100,0.0,0.0,0.02,0.02,0.98,DyS,vgg16,1.0
2,100,0.0,0.0,0.01,0.01,0.99,HDy,vgg16,1.0
2,100,0.0,0.0,0.07,0.07,0.93,SORD,vgg16,1.0
3,100,0.0,0.0,0.08,0.08,0.92,CC,vgg16,1.0
3,100,0.0,0.0,0.08,0.08,0.92,ACC,vgg16,1.0
3,100,0.0,0.0,0.2,0.2,0.8,X,vgg16,1.0
3,100,0.0,0.0,0.2,0.2,0.8,MAX,vgg16,1.0
3,100,0.0,0.0,0.04,0.04,0.96,T50,vgg16,1.0
3,100,0.0,0.0,0.08,0.08,0.92,MS,vgg16,1.0
3,100,0.0,0.0,0.09,0.09,0.92,DyS,vgg16,1.0
3,100,0.0,0.0,0.06,0.06,0.94,HDy,vgg16,1.0
3,100,0.0,0.0,0.13,0.13,0.87,SORD,vgg16,1.0
1,100,0.1,0.1,0.13,0.03,0.93,CC,vgg16,1.0
1,100,0.1,0.1,0.15,0.05,0.93,ACC,vgg16,1.0
1,100,0.1,0.1,0.33,0.23,0.77,X,vgg16,1.0
1,100,0.1,0.1,0.34,0.24,0.75,MAX,vgg16,1.0
1,100,0.1,0.1,0.1,0.0,0.93,T50,vgg16,1.0
1,100,0.1,0.1,0.15,0.05,0.93,MS,vgg16,1.0
1,100,0.1,0.1,0.21,0.11,0.89,DyS,vgg16,1.0
1,100,0.1,0.1,0.14,0.04,0.93,HDy,vgg16,1.0
1,100,0.1,0.1,0.25,0.15,0.85,SORD,vgg16,1.0
2,100,0.1,0.1,0.15,0.05,0.91,CC,vgg16,1.0
2,100,0.1,0.1,0.18,0.08,0.9,ACC,vgg16,1.0
2,100,0.1,0.1,0.22,0.12,0.86,X,vgg16,1.0
2,100,0.1,0.1,0.22,0.12,0.86,MAX,vgg16,1.0
2,100,0.1,0.1,0.14,0.04,0.91,T50,vgg16,1.0
2,100,0.1,0.1,0.19,0.09,0.89,MS,vgg16,1.0
2,100,0.1,0.1,0.18,0.08,0.9,DyS,vgg16,1.0
2,100,0.1,0.1,0.12,0.02,0.94,HDy,vgg16,1.0
2,100,0.1,0.1,0.21,0.11,0.88,SORD,vgg16,1.0
3,100,0.1,0.1,0.14,0.04,0.92,CC,vgg16,1.0
3,100,0.1,0.1,0.17,0.07,0.89,ACC,vgg16,1.0
3,100,0.1,0.1,0.23,0.13,0.82,X,vgg16,1.0
3,100,0.1,0.1,0.24,0.14,0.82,MAX,vgg16,1.0
3,100,0.1,0.1,0.08,0.02,0.95,T50,vgg16,1.0
3,100,0.1,0.1,0.17,0.07,0.89,MS,vgg16,1.0
3,100,0.1,0.1,0.18,0.08,0.89,DyS,vgg16,1.0
3,100,0.1,0.1,0.13,0.03,0.93,HDy,vgg16,1.0
3,100,0.1,0.1,0.19,0.09,0.87,SORD,vgg16,1.0
