sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.39,0.39,0.6,0.0,0.48729896545410156,ACC,vgg16,1
1,10,0.0,0.0,0.74,0.74,0.2,0.0,0.24989891052246094,X,vgg16,1
1,10,0.0,0.0,0.73,0.73,0.2,0.0,0.24989891052246094,MAX,vgg16,1
1,10,0.0,0.0,0.4,0.4,0.6,0.0,0.484375,T50,vgg16,1
1,10,0.0,0.0,0.49,0.49,0.5,0.0,0.4705982208251953,MS,vgg16,1
1,10,0.0,0.0,0.74,0.74,0.2,0.0,0.24989891052246094,DyS,vgg16,1
1,10,0.0,0.0,0.75,0.75,0.2,0.0,0.24989891052246094,HDy,vgg16,1
1,10,0.0,0.0,0.62,0.62,0.3,0.0,0.41409873962402344,SORD,vgg16,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.25,0.25,0.8,0.0,0.2740001678466797,ACC,vgg16,1
2,10,0.0,0.0,0.13,0.13,0.8,0.0,0.5128993988037109,X,vgg16,1
2,10,0.0,0.0,0.12,0.12,0.8,0.0,0.5128993988037109,MAX,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,vgg16,1
2,10,0.0,0.0,0.04,0.04,1.0,0.0,0.5462017059326172,MS,vgg16,1
2,10,0.0,0.0,0.12,0.12,0.8,0.0,0.5128993988037109,DyS,vgg16,1
2,10,0.0,0.0,0.16,0.16,0.8,0.0,0.5128993988037109,HDy,vgg16,1
2,10,0.0,0.0,0.12,0.12,0.8,0.0,0.5128993988037109,SORD,vgg16,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,vgg16,1
3,10,0.0,0.0,0.25,0.25,0.8,0.0,0.3504009246826172,ACC,vgg16,1
3,10,0.0,0.0,0.13,0.13,0.9,0.0,0.6493015289306641,X,vgg16,1
3,10,0.0,0.0,0.12,0.12,0.9,0.0,0.6493015289306641,MAX,vgg16,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,T50,vgg16,1
3,10,0.0,0.0,0.21,0.21,0.8,0.0,0.5,MS,vgg16,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,DyS,vgg16,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,HDy,vgg16,1
3,10,0.0,0.0,0.21,0.21,0.8,0.0,0.5,SORD,vgg16,1
4,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,vgg16,1
4,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,ACC,vgg16,1
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.25,X,vgg16,1
4,10,0.0,0.0,0.49,0.49,0.5,0.0,0.3921985626220703,MAX,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,vgg16,1
4,10,0.0,0.0,0.07,0.07,0.9,0.0,0.5344982147216797,MS,vgg16,1
4,10,0.0,0.0,0.18,0.18,0.8,0.0,0.4396991729736328,DyS,vgg16,1
4,10,0.0,0.0,0.29,0.29,0.7,0.0,0.41739845275878906,HDy,vgg16,1
4,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,SORD,vgg16,1
5,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,vgg16,1
5,10,0.0,0.0,0.39,0.39,0.6,0.0,0.3809986114501953,ACC,vgg16,1
5,10,0.0,0.0,0.38,0.38,0.6,0.0,0.3809986114501953,X,vgg16,1
5,10,0.0,0.0,0.37,0.37,0.6,0.0,0.3809986114501953,MAX,vgg16,1
5,10,0.0,0.0,0.4,0.4,0.6,0.0,0.375,T50,vgg16,1
5,10,0.0,0.0,0.29,0.29,0.8,0.0,0.5860004425048828,MS,vgg16,1
5,10,0.0,0.0,0.31,0.31,0.6,0.0,0.3809986114501953,DyS,vgg16,1
5,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,HDy,vgg16,1
5,10,0.0,0.0,0.32,0.32,0.6,0.0,0.3809986114501953,SORD,vgg16,1
6,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,vgg16,1
6,10,0.0,0.0,0.25,0.25,0.8,0.0,0.46880149841308594,ACC,vgg16,1
6,10,0.0,0.0,0.38,0.38,0.7,0.0,0.4507007598876953,X,vgg16,1
6,10,0.0,0.0,0.37,0.37,0.7,0.0,0.4507007598876953,MAX,vgg16,1
6,10,0.0,0.0,0.4,0.4,0.6,0.0,0.375,T50,vgg16,1
6,10,0.0,0.0,0.3,0.3,0.7,0.0,0.46875,MS,vgg16,1
6,10,0.0,0.0,0.35,0.35,0.7,0.0,0.4507007598876953,DyS,vgg16,1
6,10,0.0,0.0,0.37,0.37,0.7,0.0,0.4507007598876953,HDy,vgg16,1
6,10,0.0,0.0,0.32,0.32,0.7,0.0,0.4507007598876953,SORD,vgg16,1
7,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,vgg16,1
7,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,ACC,vgg16,1
7,10,0.0,0.0,0.01,0.01,1.0,0.0,0.6835002899169922,X,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,MAX,vgg16,1
7,10,0.0,0.0,0.2,0.2,0.8,0.0,0.328125,T50,vgg16,1
7,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6835002899169922,MS,vgg16,1
7,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,DyS,vgg16,1
7,10,0.0,0.0,0.17,0.17,0.9,0.0,0.34110069274902344,HDy,vgg16,1
7,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,SORD,vgg16,1
8,10,0.0,0.0,0.4,0.4,0.6,0.0,0.5,CC,vgg16,1
8,10,0.0,0.0,0.53,0.53,0.4,0.0,0.4078998565673828,ACC,vgg16,1
8,10,0.0,0.0,0.62,0.62,0.4,0.0,0.27900123596191406,X,vgg16,1
8,10,0.0,0.0,0.61,0.61,0.4,0.0,0.27900123596191406,MAX,vgg16,1
8,10,0.0,0.0,0.4,0.4,0.6,0.0,0.5,T50,vgg16,1
8,10,0.0,0.0,0.51,0.51,0.4,0.0,0.4078998565673828,MS,vgg16,1
8,10,0.0,0.0,0.55,0.55,0.4,0.0,0.4078998565673828,DyS,vgg16,1
8,10,0.0,0.0,0.54,0.54,0.4,0.0,0.4078998565673828,HDy,vgg16,1
8,10,0.0,0.0,0.54,0.54,0.4,0.0,0.4078998565673828,SORD,vgg16,1
9,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,CC,vgg16,1
9,10,0.0,0.0,0.25,0.25,0.7,0.0,0.4882984161376953,ACC,vgg16,1
9,10,0.0,0.0,0.26,0.26,0.7,0.0,0.4882984161376953,X,vgg16,1
9,10,0.0,0.0,0.24,0.24,0.7,0.0,0.4882984161376953,MAX,vgg16,1
9,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,T50,vgg16,1
9,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,MS,vgg16,1
9,10,0.0,0.0,0.23,0.23,0.7,0.0,0.4882984161376953,DyS,vgg16,1
9,10,0.0,0.0,0.28,0.28,0.7,0.0,0.4882984161376953,HDy,vgg16,1
9,10,0.0,0.0,0.25,0.25,0.7,0.0,0.4882984161376953,SORD,vgg16,1
10,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5,CC,vgg16,1
10,10,0.0,0.0,0.39,0.39,0.6,0.0,0.4708995819091797,ACC,vgg16,1
10,10,0.0,0.0,0.38,0.38,0.6,0.0,0.4708995819091797,X,vgg16,1
10,10,0.0,0.0,0.37,0.37,0.6,0.0,0.4708995819091797,MAX,vgg16,1
10,10,0.0,0.0,0.4,0.4,0.6,0.0,0.375,T50,vgg16,1
10,10,0.0,0.0,0.42,0.42,0.6,0.0,0.34470176696777344,MS,vgg16,1
10,10,0.0,0.0,0.36,0.36,0.6,0.0,0.4708995819091797,DyS,vgg16,1
10,10,0.0,0.0,0.35,0.35,0.6,0.0,0.4708995819091797,HDy,vgg16,1
10,10,0.0,0.0,0.42,0.42,0.6,0.0,0.34470176696777344,SORD,vgg16,1
1,10,0.05,0.0,0.4,0.4,0.6,0.0,0.5,CC,vgg16,1
1,10,0.05,0.0,0.53,0.53,0.5,0.0,0.3141002655029297,ACC,vgg16,1
1,10,0.05,0.0,0.5,0.5,0.5,0.0,0.375,X,vgg16,1
1,10,0.05,0.0,0.49,0.49,0.6,0.0,0.3806018829345703,MAX,vgg16,1
1,10,0.05,0.0,0.8,0.8,0.2,0.0,0.25,T50,vgg16,1
1,10,0.05,0.0,0.56,0.56,0.5,0.0,0.3141002655029297,MS,vgg16,1
1,10,0.05,0.0,0.52,0.52,0.5,0.0,0.3141002655029297,DyS,vgg16,1
1,10,0.05,0.0,0.56,0.56,0.5,0.0,0.3141002655029297,HDy,vgg16,1
1,10,0.05,0.0,0.57,0.57,0.5,0.0,0.3141002655029297,SORD,vgg16,1
2,10,0.05,0.0,0.2,0.2,0.8,0.0,0.5,CC,vgg16,1
2,10,0.05,0.0,0.25,0.25,0.8,0.0,0.47860145568847656,ACC,vgg16,1
2,10,0.05,0.0,0.26,0.26,0.8,0.0,0.47860145568847656,X,vgg16,1
2,10,0.05,0.0,0.24,0.24,0.8,0.0,0.47860145568847656,MAX,vgg16,1
2,10,0.05,0.0,0.4,0.4,0.6,0.0,0.328125,T50,vgg16,1
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.375,MS,vgg16,1
2,10,0.05,0.0,0.27,0.27,0.8,0.0,0.47860145568847656,DyS,vgg16,1
2,10,0.05,0.0,0.37,0.37,0.6,0.0,0.32959938049316406,HDy,vgg16,1
2,10,0.05,0.0,0.32,0.32,0.6,0.0,0.32959938049316406,SORD,vgg16,1
3,10,0.05,0.0,0.4,0.4,0.6,0.0,0.5,CC,vgg16,1
3,10,0.05,0.0,0.53,0.53,0.5,0.0,0.33680152893066406,ACC,vgg16,1
3,10,0.05,0.0,0.5,0.5,0.5,0.0,0.375,X,vgg16,1
3,10,0.05,0.0,0.49,0.49,0.5,0.0,0.41739845275878906,MAX,vgg16,1
3,10,0.05,0.0,0.6,0.6,0.4,0.0,0.25,T50,vgg16,1
3,10,0.05,0.0,0.51,0.51,0.5,0.0,0.33680152893066406,MS,vgg16,1
3,10,0.05,0.0,0.54,0.54,0.5,0.0,0.33680152893066406,DyS,vgg16,1
3,10,0.05,0.0,0.51,0.51,0.5,0.0,0.33680152893066406,HDy,vgg16,1
3,10,0.05,0.0,0.52,0.52,0.5,0.0,0.33680152893066406,SORD,vgg16,1
4,10,0.05,0.0,0.4,0.4,0.6,0.0,0.5,CC,vgg16,1
4,10,0.05,0.0,0.53,0.53,0.4,0.0,0.3798999786376953,ACC,vgg16,1
4,10,0.05,0.0,0.5,0.5,0.5,0.0,0.4375,X,vgg16,1
