sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,20,0.0,0.0,0.05,0.05,0.95,CC,resnet50,0.0
1,20,0.0,0.0,0.07,0.07,0.95,ACC,resnet50,0.0
1,20,0.0,0.0,0.05,0.05,0.95,X,resnet50,0.0
1,20,0.0,0.0,0.03,0.03,0.95,MAX,resnet50,0.0
1,20,0.0,0.0,0.04,0.04,0.95,T50,resnet50,0.0
1,20,0.0,0.0,0.04,0.04,0.95,MS,resnet50,0.0
1,20,0.0,0.0,0.05,0.05,0.95,DyS,resnet50,0.0
1,20,0.0,0.0,0.04,0.04,0.95,HDy,resnet50,0.0
1,20,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,0.0
2,20,0.0,0.0,0.05,0.05,0.95,CC,resnet50,0.0
2,20,0.0,0.0,0.07,0.07,0.9,ACC,resnet50,0.0
2,20,0.0,0.0,0.05,0.05,0.95,X,resnet50,0.0
2,20,0.0,0.0,0.11,0.11,0.9,MAX,resnet50,0.0
2,20,0.0,0.0,0.04,0.04,0.95,T50,resnet50,0.0
2,20,0.0,0.0,0.05,0.05,0.95,MS,resnet50,0.0
2,20,0.0,0.0,0.04,0.04,0.95,DyS,resnet50,0.0
2,20,0.0,0.0,0.03,0.03,0.95,HDy,resnet50,0.0
2,20,0.0,0.0,0.03,0.03,0.95,SORD,resnet50,0.0
3,20,0.0,0.0,0.0,0.0,1.0,CC,resnet50,0.0
3,20,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,0.0
3,20,0.0,0.0,0.13,0.13,0.9,X,resnet50,0.0
3,20,0.0,0.0,0.18,0.18,0.8,MAX,resnet50,0.0
3,20,0.0,0.0,0.06,0.06,0.95,T50,resnet50,0.0
3,20,0.0,0.0,0.04,0.04,0.95,MS,resnet50,0.0
3,20,0.0,0.0,0.01,0.01,0.95,DyS,resnet50,0.0
3,20,0.0,0.0,0.02,0.02,0.95,HDy,resnet50,0.0
3,20,0.0,0.0,0.0,0.0,1.0,SORD,resnet50,0.0
1,20,0.1,0.1,0.0,0.1,0.9,CC,resnet50,0.0
1,20,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,0.0
1,20,0.1,0.1,0.05,0.05,0.95,X,resnet50,0.0
1,20,0.1,0.1,0.03,0.07,0.95,MAX,resnet50,0.0
1,20,0.1,0.1,0.06,0.04,0.95,T50,resnet50,0.0
1,20,0.1,0.1,0.04,0.06,0.95,MS,resnet50,0.0
1,20,0.1,0.1,0.03,0.07,0.95,DyS,resnet50,0.0
1,20,0.1,0.1,0.04,0.06,0.95,HDy,resnet50,0.0
1,20,0.1,0.1,0.0,0.1,0.9,SORD,resnet50,0.0
2,20,0.1,0.1,0.0,0.1,0.9,CC,resnet50,0.0
2,20,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,0.0
