sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
1,10,0.0,0.0,0.13,0.13,0.9,0.0,0.19750022888183594,X,resnet50,0
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.3780994415283203,MAX,resnet50,0
1,10,0.0,0.0,0.06,0.06,0.9,0.0,0.3780994415283203,T50,resnet50,0
1,10,0.0,0.0,0.04,0.04,0.9,0.0,0.3780994415283203,MS,resnet50,0
1,10,0.0,0.0,0.07,0.07,0.9,0.0,0.3780994415283203,DyS,resnet50,0
1,10,0.0,0.0,0.08,0.08,0.9,0.0,0.3780994415283203,HDy,resnet50,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,0
2,10,0.0,0.0,0.18,0.18,0.8,0.0,0.44479942321777344,ACC,resnet50,0
2,10,0.0,0.0,0.52,0.52,0.4,0.0,0.14439964294433594,X,resnet50,0
2,10,0.0,0.0,0.42,0.42,0.5,0.0,0.22319984436035156,MAX,resnet50,0
2,10,0.0,0.0,0.57,0.57,0.4,0.0,0.14439964294433594,T50,resnet50,0
2,10,0.0,0.0,0.26,0.26,0.7,0.0,0.44119834899902344,MS,resnet50,0
2,10,0.0,0.0,0.31,0.31,0.7,0.0,0.3378009796142578,DyS,resnet50,0
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.44140625,HDy,resnet50,0
2,10,0.0,0.0,0.39,0.39,0.7,0.0,0.3378009796142578,SORD,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
3,10,0.0,0.0,0.13,0.13,0.9,0.0,0.1465015411376953,X,resnet50,0
3,10,0.0,0.0,0.18,0.18,0.9,0.0,0.1465015411376953,MAX,resnet50,0
3,10,0.0,0.0,0.06,0.06,0.9,0.0,0.2353992462158203,T50,resnet50,0
3,10,0.0,0.0,0.05,0.05,0.9,0.0,0.2353992462158203,MS,resnet50,0
3,10,0.0,0.0,0.03,0.03,0.9,0.0,0.2353992462158203,DyS,resnet50,0
3,10,0.0,0.0,0.04,0.04,0.9,0.0,0.2353992462158203,HDy,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
4,10,0.0,0.0,0.03,0.03,0.9,0.0,0.25499916076660156,X,resnet50,0
4,10,0.0,0.0,0.03,0.03,0.9,0.0,0.25499916076660156,MAX,resnet50,0
4,10,0.0,0.0,0.06,0.06,0.9,0.0,0.25499916076660156,T50,resnet50,0
4,10,0.0,0.0,0.05,0.05,0.9,0.0,0.25499916076660156,MS,resnet50,0
4,10,0.0,0.0,0.05,0.05,0.9,0.0,0.25499916076660156,DyS,resnet50,0
4,10,0.0,0.0,0.05,0.05,0.9,0.0,0.25499916076660156,HDy,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
5,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,0
5,10,0.0,0.0,0.18,0.18,0.9,0.0,0.2632007598876953,ACC,resnet50,0
5,10,0.0,0.0,0.03,0.03,1.0,0.0,0.7636013031005859,X,resnet50,0
5,10,0.0,0.0,0.03,0.03,1.0,0.0,0.7636013031005859,MAX,resnet50,0
5,10,0.0,0.0,0.15,0.15,0.9,0.0,0.2632007598876953,T50,resnet50,0
5,10,0.0,0.0,0.13,0.13,0.9,0.0,0.2632007598876953,MS,resnet50,0
5,10,0.0,0.0,0.09,0.09,1.0,0.0,0.7636013031005859,DyS,resnet50,0
5,10,0.0,0.0,0.08,0.08,1.0,0.0,0.7636013031005859,HDy,resnet50,0
5,10,0.0,0.0,0.09,0.09,1.0,0.0,0.7636013031005859,SORD,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
6,10,0.0,0.0,0.03,0.03,0.9,0.0,0.43129920959472656,X,resnet50,0
6,10,0.0,0.0,0.12,0.12,0.8,0.0,0.3897991180419922,MAX,resnet50,0
6,10,0.0,0.0,0.06,0.06,0.9,0.0,0.43129920959472656,T50,resnet50,0
6,10,0.0,0.0,0.05,0.05,0.9,0.0,0.43129920959472656,MS,resnet50,0
6,10,0.0,0.0,0.09,0.09,0.9,0.0,0.43129920959472656,DyS,resnet50,0
6,10,0.0,0.0,0.12,0.12,0.8,0.0,0.3897991180419922,HDy,resnet50,0
6,10,0.0,0.0,0.09,0.09,0.9,0.0,0.43129920959472656,SORD,resnet50,0
7,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,resnet50,0
7,10,0.0,0.0,0.18,0.18,0.8,0.0,0.2387981414794922,ACC,resnet50,0
7,10,0.0,0.0,0.03,0.03,1.0,0.0,0.9587001800537109,X,resnet50,0
7,10,0.0,0.0,0.12,0.12,0.8,0.0,0.2387981414794922,MAX,resnet50,0
7,10,0.0,0.0,0.15,0.15,0.8,0.0,0.2387981414794922,T50,resnet50,0
7,10,0.0,0.0,0.29,0.29,0.8,0.0,0.2086009979248047,MS,resnet50,0
