sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,X,vgg16,0
1,10,0.0,0.0,0.79,0.79,0.2,0.0,0.15619850158691406,MAX,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
1,10,0.0,0.0,0.09,0.09,1.0,0.0,0.2254009246826172,DyS,vgg16,0
1,10,0.0,0.0,0.13,0.13,0.8,0.0,0.21779823303222656,HDy,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,X,vgg16,0
2,10,0.0,0.0,0.21,0.21,0.8,0.0,0.2265625,MAX,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
2,10,0.0,0.0,0.47,0.47,0.5,0.0,0.2147998809814453,DyS,vgg16,0
2,10,0.0,0.0,0.21,0.21,0.8,0.0,0.2265625,HDy,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,X,vgg16,0
3,10,0.0,0.0,0.38,0.38,0.7,0.0,0.21970176696777344,MAX,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,DyS,vgg16,0
3,10,0.0,0.0,0.58,0.58,0.5,0.0,0.21290016174316406,HDy,vgg16,0
3,10,0.0,0.0,0.4,0.4,0.6,0.0,0.21875,SORD,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,X,vgg16,0
4,10,0.0,0.0,0.09,0.09,0.9,0.0,0.2297992706298828,MAX,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,DyS,vgg16,0
4,10,0.0,0.0,0.16,0.16,0.8,0.0,0.22839927673339844,HDy,vgg16,0
4,10,0.0,0.0,0.16,0.16,0.8,0.0,0.22839927673339844,SORD,vgg16,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
