sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,20,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
1,20,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
1,20,0.0,0.0,0.05,0.05,0.95,X,resnet50,1.0
1,20,0.0,0.0,0.04,0.04,1.0,MAX,resnet50,1.0
1,20,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
1,20,0.0,0.0,0.0,0.0,1.0,MS,resnet50,1.0
1,20,0.0,0.0,0.04,0.04,1.0,DyS,resnet50,1.0
1,20,0.0,0.0,0.02,0.02,1.0,HDy,resnet50,1.0
1,20,0.0,0.0,0.05,0.05,0.95,SORD,resnet50,1.0
2,20,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
2,20,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
2,20,0.0,0.0,0.22,0.22,0.75,X,resnet50,1.0
2,20,0.0,0.0,0.15,0.15,0.85,MAX,resnet50,1.0
2,20,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
2,20,0.0,0.0,0.0,0.0,1.0,MS,resnet50,1.0
2,20,0.0,0.0,0.06,0.06,0.95,DyS,resnet50,1.0
2,20,0.0,0.0,0.03,0.03,1.0,HDy,resnet50,1.0
2,20,0.0,0.0,0.2,0.2,0.8,SORD,resnet50,1.0
3,20,0.0,0.0,0.0,0.0,1.0,CC,resnet50,1.0
3,20,0.0,0.0,0.0,0.0,1.0,ACC,resnet50,1.0
3,20,0.0,0.0,0.05,0.05,0.95,X,resnet50,1.0
3,20,0.0,0.0,0.04,0.04,1.0,MAX,resnet50,1.0
3,20,0.0,0.0,0.0,0.0,1.0,T50,resnet50,1.0
3,20,0.0,0.0,0.0,0.0,1.0,MS,resnet50,1.0
3,20,0.0,0.0,0.06,0.06,0.95,DyS,resnet50,1.0
3,20,0.0,0.0,0.02,0.02,1.0,HDy,resnet50,1.0
3,20,0.0,0.0,0.05,0.05,0.95,SORD,resnet50,1.0
1,20,0.1,0.1,0.0,0.1,0.9,CC,resnet50,1.0
1,20,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,1.0
1,20,0.1,0.1,0.33,0.23,0.8,X,resnet50,1.0
1,20,0.1,0.1,0.26,0.16,0.85,MAX,resnet50,1.0
1,20,0.1,0.1,0.0,0.1,0.9,T50,resnet50,1.0
1,20,0.1,0.1,0.0,0.1,0.9,MS,resnet50,1.0
1,20,0.1,0.1,0.24,0.14,0.85,DyS,resnet50,1.0
1,20,0.1,0.1,0.17,0.07,0.9,HDy,resnet50,1.0
1,20,0.1,0.1,0.27,0.17,0.85,SORD,resnet50,1.0
2,20,0.1,0.1,0.0,0.1,0.9,CC,resnet50,1.0
2,20,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,1.0
2,20,0.1,0.1,0.16,0.06,0.85,X,resnet50,1.0
2,20,0.1,0.1,0.1,0.0,0.9,MAX,resnet50,1.0
2,20,0.1,0.1,0.0,0.1,0.9,T50,resnet50,1.0
2,20,0.1,0.1,0.0,0.1,0.9,MS,resnet50,1.0
2,20,0.1,0.1,0.09,0.01,0.95,DyS,resnet50,1.0
2,20,0.1,0.1,0.04,0.06,0.9,HDy,resnet50,1.0
2,20,0.1,0.1,0.17,0.07,0.85,SORD,resnet50,1.0
3,20,0.1,0.1,0.0,0.1,0.9,CC,resnet50,1.0
3,20,0.1,0.1,0.0,0.1,0.9,ACC,resnet50,1.0
3,20,0.1,0.1,0.27,0.17,0.8,X,resnet50,1.0
3,20,0.1,0.1,0.15,0.05,0.85,MAX,resnet50,1.0
3,20,0.1,0.1,0.0,0.1,0.9,T50,resnet50,1.0
3,20,0.1,0.1,0.0,0.1,0.9,MS,resnet50,1.0
3,20,0.1,0.1,0.16,0.06,0.8,DyS,resnet50,1.0
3,20,0.1,0.1,0.11,0.01,0.9,HDy,resnet50,1.0
3,20,0.1,0.1,0.13,0.03,0.85,SORD,resnet50,1.0
1,20,0.2,0.2,0.0,0.2,0.8,CC,resnet50,1.0
1,20,0.2,0.2,0.0,0.2,0.8,ACC,resnet50,1.0
1,20,0.2,0.2,0.22,0.02,1.0,X,resnet50,1.0
1,20,0.2,0.2,0.26,0.06,0.95,MAX,resnet50,1.0
1,20,0.2,0.2,0.27,0.07,0.95,T50,resnet50,1.0
1,20,0.2,0.2,0.0,0.2,0.8,MS,resnet50,1.0
1,20,0.2,0.2,0.27,0.07,0.95,DyS,resnet50,1.0
1,20,0.2,0.2,0.22,0.02,1.0,HDy,resnet50,1.0
1,20,0.2,0.2,0.26,0.06,0.95,SORD,resnet50,1.0
2,20,0.2,0.2,0.0,0.2,0.8,CC,resnet50,1.0
2,20,0.2,0.2,0.0,0.2,0.8,ACC,resnet50,1.0
2,20,0.2,0.2,0.38,0.18,0.85,X,resnet50,1.0
2,20,0.2,0.2,0.26,0.06,0.9,MAX,resnet50,1.0
2,20,0.2,0.2,0.0,0.2,0.8,T50,resnet50,1.0
2,20,0.2,0.2,0.0,0.2,0.8,MS,resnet50,1.0
2,20,0.2,0.2,0.24,0.04,0.85,DyS,resnet50,1.0
2,20,0.2,0.2,0.22,0.02,0.85,HDy,resnet50,1.0
2,20,0.2,0.2,0.33,0.13,0.9,SORD,resnet50,1.0
3,20,0.2,0.2,0.0,0.2,0.8,CC,resnet50,1.0
3,20,0.2,0.2,0.0,0.2,0.8,ACC,resnet50,1.0
3,20,0.2,0.2,0.16,0.04,0.95,X,resnet50,1.0
3,20,0.2,0.2,0.15,0.05,0.95,MAX,resnet50,1.0
3,20,0.2,0.2,0.09,0.11,0.9,T50,resnet50,1.0
3,20,0.2,0.2,0.0,0.2,0.8,MS,resnet50,1.0
3,20,0.2,0.2,0.16,0.04,0.95,DyS,resnet50,1.0
3,20,0.2,0.2,0.11,0.09,0.9,HDy,resnet50,1.0
3,20,0.2,0.2,0.18,0.02,0.95,SORD,resnet50,1.0
1,20,0.3,0.3,0.0,0.3,0.7,CC,resnet50,1.0
1,20,0.3,0.3,0.0,0.3,0.7,ACC,resnet50,1.0
1,20,0.3,0.3,0.33,0.03,0.95,X,resnet50,1.0
1,20,0.3,0.3,0.26,0.04,0.9,MAX,resnet50,1.0
1,20,0.3,0.3,0.27,0.03,0.9,T50,resnet50,1.0
1,20,0.3,0.3,0.0,0.3,0.7,MS,resnet50,1.0
1,20,0.3,0.3,0.36,0.06,0.95,DyS,resnet50,1.0
1,20,0.3,0.3,0.32,0.02,0.95,HDy,resnet50,1.0
1,20,0.3,0.3,0.31,0.01,0.95,SORD,resnet50,1.0
2,20,0.3,0.3,0.0,0.3,0.7,CC,resnet50,1.0
2,20,0.3,0.3,0.0,0.3,0.7,ACC,resnet50,1.0
2,20,0.3,0.3,0.33,0.03,0.9,X,resnet50,1.0
2,20,0.3,0.3,0.37,0.07,0.9,MAX,resnet50,1.0
2,20,0.3,0.3,0.09,0.21,0.8,T50,resnet50,1.0
2,20,0.3,0.3,0.0,0.3,0.7,MS,resnet50,1.0
2,20,0.3,0.3,0.41,0.11,0.9,DyS,resnet50,1.0
2,20,0.3,0.3,0.32,0.02,0.9,HDy,resnet50,1.0
2,20,0.3,0.3,0.37,0.07,0.9,SORD,resnet50,1.0
3,20,0.3,0.3,0.0,0.3,0.7,CC,resnet50,1.0
3,20,0.3,0.3,0.0,0.3,0.7,ACC,resnet50,1.0
3,20,0.3,0.3,0.33,0.03,0.95,X,resnet50,1.0
3,20,0.3,0.3,0.32,0.02,0.95,MAX,resnet50,1.0
3,20,0.3,0.3,0.36,0.06,0.9,T50,resnet50,1.0
3,20,0.3,0.3,0.0,0.3,0.7,MS,resnet50,1.0
3,20,0.3,0.3,0.4,0.1,0.9,DyS,resnet50,1.0
3,20,0.3,0.3,0.34,0.04,0.95,HDy,resnet50,1.0
3,20,0.3,0.3,0.37,0.07,0.9,SORD,resnet50,1.0
1,20,0.4,0.4,0.0,0.4,0.6,CC,resnet50,1.0
1,20,0.4,0.4,0.0,0.4,0.6,ACC,resnet50,1.0
1,20,0.4,0.4,0.49,0.09,0.85,X,resnet50,1.0
1,20,0.4,0.4,0.37,0.03,0.95,MAX,resnet50,1.0
1,20,0.4,0.4,0.45,0.05,0.85,T50,resnet50,1.0
1,20,0.4,0.4,0.0,0.4,0.6,MS,resnet50,1.0
1,20,0.4,0.4,0.52,0.12,0.9,DyS,resnet50,1.0
1,20,0.4,0.4,0.48,0.08,0.85,HDy,resnet50,1.0
1,20,0.4,0.4,0.48,0.08,0.85,SORD,resnet50,1.0
2,20,0.4,0.4,0.0,0.4,0.6,CC,resnet50,1.0
2,20,0.4,0.4,0.0,0.4,0.6,ACC,resnet50,1.0
2,20,0.4,0.4,0.38,0.02,0.9,X,resnet50,1.0
2,20,0.4,0.4,0.26,0.14,0.85,MAX,resnet50,1.0
2,20,0.4,0.4,0.18,0.22,0.75,T50,resnet50,1.0
2,20,0.4,0.4,0.0,0.4,0.6,MS,resnet50,1.0
2,20,0.4,0.4,0.38,0.02,0.9,DyS,resnet50,1.0
2,20,0.4,0.4,0.35,0.05,0.85,HDy,resnet50,1.0
2,20,0.4,0.4,0.37,0.03,0.9,SORD,resnet50,1.0
3,20,0.4,0.4,0.0,0.4,0.6,CC,resnet50,1.0
