sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.38,0.38,0.7,0.0,0.35140037536621094,X,resnet50,1
1,10,0.0,0.0,0.32,0.32,0.7,0.0,0.35140037536621094,MAX,resnet50,1
1,10,0.0,0.0,0.18,0.18,0.8,0.0,0.38179969787597656,T50,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
1,10,0.0,0.0,0.42,0.42,0.6,0.0,0.3407001495361328,DyS,resnet50,1
1,10,0.0,0.0,0.31,0.31,0.7,0.0,0.35140037536621094,HDy,resnet50,1
1,10,0.0,0.0,0.34,0.34,0.7,0.0,0.35140037536621094,SORD,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.16,0.16,0.8,0.0,0.3547992706298828,X,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.375,MAX,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
2,10,0.0,0.0,0.14,0.14,0.8,0.0,0.3547992706298828,DyS,resnet50,1
2,10,0.0,0.0,0.09,0.09,0.9,0.0,0.3868999481201172,HDy,resnet50,1
2,10,0.0,0.0,0.16,0.16,0.8,0.0,0.3547992706298828,SORD,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
3,10,0.0,0.0,0.16,0.16,0.9,0.0,0.3864002227783203,X,resnet50,1
3,10,0.0,0.0,0.21,0.21,0.8,0.0,0.375,MAX,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
3,10,0.0,0.0,0.29,0.29,0.8,0.0,0.3472003936767578,DyS,resnet50,1
3,10,0.0,0.0,0.26,0.26,0.8,0.0,0.3472003936767578,HDy,resnet50,1
3,10,0.0,0.0,0.22,0.22,0.8,0.0,0.3472003936767578,SORD,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
4,10,0.0,0.0,0.27,0.27,0.8,0.0,0.36820030212402344,X,resnet50,1
4,10,0.0,0.0,0.21,0.21,0.8,0.0,0.37109375,MAX,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
4,10,0.0,0.0,0.28,0.28,0.8,0.0,0.36820030212402344,DyS,resnet50,1
4,10,0.0,0.0,0.16,0.16,0.9,0.0,0.37130165100097656,HDy,resnet50,1
4,10,0.0,0.0,0.31,0.31,0.7,0.0,0.3481006622314453,SORD,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
5,10,0.0,0.0,0.71,0.71,0.2,0.0,0.3449993133544922,X,resnet50,1
5,10,0.0,0.0,0.32,0.32,0.6,0.0,0.3673992156982422,MAX,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
5,10,0.0,0.0,0.57,0.57,0.5,0.0,0.35030174255371094,DyS,resnet50,1
5,10,0.0,0.0,0.63,0.63,0.4,0.0,0.35000038146972656,HDy,resnet50,1
5,10,0.0,0.0,0.53,0.53,0.5,0.0,0.35030174255371094,SORD,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
6,10,0.0,0.0,0.6,0.6,0.4,0.0,0.3515625,X,resnet50,1
6,10,0.0,0.0,0.43,0.43,0.5,0.0,0.3673992156982422,MAX,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
6,10,0.0,0.0,0.63,0.63,0.4,0.0,0.34620094299316406,DyS,resnet50,1
6,10,0.0,0.0,0.54,0.54,0.5,0.0,0.3560009002685547,HDy,resnet50,1
6,10,0.0,0.0,0.6,0.6,0.4,0.0,0.3515625,SORD,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
7,10,0.0,0.0,0.27,0.27,0.7,0.0,0.3543987274169922,X,resnet50,1
7,10,0.0,0.0,0.21,0.21,0.8,0.0,0.375,MAX,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
7,10,0.0,0.0,0.22,0.22,0.7,0.0,0.3543987274169922,DyS,resnet50,1
7,10,0.0,0.0,0.13,0.13,0.9,0.0,0.3905010223388672,HDy,resnet50,1
7,10,0.0,0.0,0.23,0.23,0.7,0.0,0.3543987274169922,SORD,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
8,10,0.0,0.0,0.38,0.38,0.7,0.0,0.35920143127441406,X,resnet50,1
8,10,0.0,0.0,0.21,0.21,0.8,0.0,0.375,MAX,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
8,10,0.0,0.0,0.26,0.26,0.7,0.0,0.36189842224121094,DyS,resnet50,1
8,10,0.0,0.0,0.22,0.22,0.7,0.0,0.36189842224121094,HDy,resnet50,1
8,10,0.0,0.0,0.38,0.38,0.7,0.0,0.35920143127441406,SORD,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
9,10,0.0,0.0,0.27,0.27,0.8,0.0,0.35000038146972656,X,resnet50,1
9,10,0.0,0.0,0.21,0.21,0.8,0.0,0.375,MAX,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,T50,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
