sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,20,0.0,0.0,0.0,0.0,1.0,CC,vgg16,1.0
1,20,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,1.0
1,20,0.0,0.0,0.07,0.07,0.95,X,vgg16,1.0
1,20,0.0,0.0,0.03,0.03,1.0,MAX,vgg16,1.0
1,20,0.0,0.0,0.02,0.02,1.0,T50,vgg16,1.0
1,20,0.0,0.0,0.01,0.01,1.0,MS,vgg16,1.0
1,20,0.0,0.0,0.03,0.03,1.0,DyS,vgg16,1.0
1,20,0.0,0.0,0.05,0.05,0.95,HDy,vgg16,1.0
1,20,0.0,0.0,0.02,0.02,1.0,SORD,vgg16,1.0
2,20,0.0,0.0,0.0,0.0,1.0,CC,vgg16,1.0
2,20,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,1.0
2,20,0.0,0.0,0.07,0.07,0.95,X,vgg16,1.0
2,20,0.0,0.0,0.25,0.25,0.75,MAX,vgg16,1.0
2,20,0.0,0.0,0.02,0.02,0.95,T50,vgg16,1.0
2,20,0.0,0.0,0.02,0.02,0.95,MS,vgg16,1.0
2,20,0.0,0.0,0.05,0.05,0.95,DyS,vgg16,1.0
2,20,0.0,0.0,0.05,0.05,0.95,HDy,vgg16,1.0
2,20,0.0,0.0,0.07,0.07,0.95,SORD,vgg16,1.0
3,20,0.0,0.0,0.0,0.0,1.0,CC,vgg16,1.0
3,20,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,1.0
3,20,0.0,0.0,0.04,0.04,0.95,X,vgg16,1.0
3,20,0.0,0.0,0.03,0.03,0.95,MAX,vgg16,1.0
3,20,0.0,0.0,0.02,0.02,0.95,T50,vgg16,1.0
3,20,0.0,0.0,0.01,0.01,0.95,MS,vgg16,1.0
3,20,0.0,0.0,0.01,0.01,0.95,DyS,vgg16,1.0
3,20,0.0,0.0,0.02,0.02,0.95,HDy,vgg16,1.0
3,20,0.0,0.0,0.0,0.0,1.0,SORD,vgg16,1.0
1,20,0.1,0.1,0.1,0.0,1.0,CC,vgg16,1.0
1,20,0.1,0.1,0.12,0.02,0.95,ACC,vgg16,1.0
1,20,0.1,0.1,0.17,0.07,0.9,X,vgg16,1.0
1,20,0.1,0.1,0.14,0.04,0.95,MAX,vgg16,1.0
1,20,0.1,0.1,0.08,0.02,0.95,T50,vgg16,1.0
1,20,0.1,0.1,0.15,0.05,0.95,MS,vgg16,1.0
1,20,0.1,0.1,0.16,0.06,0.9,DyS,vgg16,1.0
1,20,0.1,0.1,0.14,0.04,0.95,HDy,vgg16,1.0
1,20,0.1,0.1,0.18,0.08,0.9,SORD,vgg16,1.0
2,20,0.1,0.1,0.0,0.1,0.9,CC,vgg16,1.0
2,20,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,1.0
2,20,0.1,0.1,0.01,0.09,0.9,X,vgg16,1.0
2,20,0.1,0.1,0.09,0.01,0.95,MAX,vgg16,1.0
2,20,0.1,0.1,0.02,0.08,0.9,T50,vgg16,1.0
2,20,0.1,0.1,0.01,0.09,0.9,MS,vgg16,1.0
2,20,0.1,0.1,0.03,0.07,0.9,DyS,vgg16,1.0
2,20,0.1,0.1,0.03,0.07,0.9,HDy,vgg16,1.0
2,20,0.1,0.1,0.03,0.07,0.9,SORD,vgg16,1.0
3,20,0.1,0.1,0.05,0.05,0.95,CC,vgg16,1.0
3,20,0.1,0.1,0.05,0.05,0.95,ACC,vgg16,1.0
3,20,0.1,0.1,0.28,0.18,0.85,X,vgg16,1.0
3,20,0.1,0.1,0.3,0.2,0.8,MAX,vgg16,1.0
3,20,0.1,0.1,0.02,0.08,0.95,T50,vgg16,1.0
3,20,0.1,0.1,0.07,0.03,0.9,MS,vgg16,1.0
3,20,0.1,0.1,0.19,0.09,0.95,DyS,vgg16,1.0
3,20,0.1,0.1,0.16,0.06,0.95,HDy,vgg16,1.0
3,20,0.1,0.1,0.27,0.17,0.85,SORD,vgg16,1.0
