sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,CC,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,ACC,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MS,vgg16,1
1,10,0.0,0.0,0.99,0.99,0.1,0.0,0.4554004669189453,DyS,vgg16,1
1,10,0.0,0.0,0.96,0.96,0.1,0.0,0.4554004669189453,HDy,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,vgg16,1
2,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.95,0.95,0.1,0.0,0.41100120544433594,ACC,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MS,vgg16,1
2,10,0.0,0.0,0.98,0.98,0.1,0.0,0.41100120544433594,DyS,vgg16,1
2,10,0.0,0.0,0.96,0.96,0.1,0.0,0.41100120544433594,HDy,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,vgg16,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,vgg16,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,vgg16,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,X,vgg16,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MAX,vgg16,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,T50,vgg16,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,vgg16,1
3,10,0.0,0.0,0.99,0.99,0.0,0.0,0.5072994232177734,DyS,vgg16,1
3,10,0.0,0.0,0.96,0.96,0.0,0.0,0.5072994232177734,HDy,vgg16,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,SORD,vgg16,1
4,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,CC,vgg16,1
4,10,0.0,0.0,0.95,0.95,0.0,0.0,0.33389854431152344,ACC,vgg16,1
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,1
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,1
4,10,0.0,0.0,0.59,0.59,0.4,0.0,0.5352993011474609,T50,vgg16,1
4,10,0.0,0.0,0.9,0.9,0.1,0.0,0.34375,MS,vgg16,1
4,10,0.0,0.0,0.98,0.98,0.0,0.0,0.33389854431152344,DyS,vgg16,1
4,10,0.0,0.0,0.95,0.95,0.0,0.0,0.33389854431152344,HDy,vgg16,1
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,vgg16,1
5,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,CC,vgg16,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,ACC,vgg16,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MS,vgg16,1
5,10,0.0,0.0,0.99,0.99,0.0,0.0,0.3509998321533203,DyS,vgg16,1
5,10,0.0,0.0,0.96,0.96,0.0,0.0,0.3509998321533203,HDy,vgg16,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,vgg16,1
6,10,0.0,0.0,0.8,0.8,0.2,0.0,0.5,CC,vgg16,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,ACC,vgg16,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MS,vgg16,1
