sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier
1,20,0.0,0.0,0.0,0.0,1.0,CC
1,20,0.0,0.0,0.0,0.0,1.0,ACC
1,20,0.0,0.0,0.14,0.14,0.85,PCC
1,20,0.0,0.0,0.0,0.0,1.0,PACC
1,20,0.0,0.0,0.15,0.15,0.85,X
1,20,0.0,0.0,0.16,0.16,0.85,MAX
1,20,0.0,0.0,0.06,0.06,0.95,T50
1,20,0.0,0.0,0.08,0.08,0.9,MS
1,20,0.0,0.0,0.0,0.0,1.0,DyS
1,20,0.0,0.0,0.01,0.01,1.0,HDy
1,20,0.0,0.0,0.0,0.0,1.0,SORD
2,20,0.0,0.0,0.1,0.1,0.9,CC
2,20,0.0,0.0,0.1,0.1,0.9,ACC
2,20,0.0,0.0,0.19,0.19,0.8,PCC
2,20,0.0,0.0,0.07,0.07,0.9,PACC
2,20,0.0,0.0,0.15,0.15,0.85,X
2,20,0.0,0.0,0.08,0.08,0.9,MAX
2,20,0.0,0.0,0.15,0.15,0.85,T50
2,20,0.0,0.0,0.1,0.1,0.9,MS
2,20,0.0,0.0,0.02,0.02,1.0,DyS
2,20,0.0,0.0,0.03,0.03,1.0,HDy
2,20,0.0,0.0,0.04,0.04,1.0,SORD
3,20,0.0,0.0,0.05,0.05,0.95,CC
3,20,0.0,0.0,0.02,0.02,0.95,ACC
3,20,0.0,0.0,0.17,0.17,0.8,PCC
3,20,0.0,0.0,0.0,0.0,1.0,PACC
3,20,0.0,0.0,0.02,0.02,0.95,X
3,20,0.0,0.0,0.16,0.16,0.8,MAX
3,20,0.0,0.0,0.04,0.04,0.95,T50
3,20,0.0,0.0,0.04,0.04,0.95,MS
3,20,0.0,0.0,0.0,0.0,1.0,DyS
3,20,0.0,0.0,0.02,0.02,0.95,HDy
3,20,0.0,0.0,0.0,0.0,1.0,SORD
1,20,0.1,0.1,0.15,0.05,0.95,CC
1,20,0.1,0.1,0.19,0.09,0.95,ACC
1,20,0.1,0.1,0.25,0.15,0.85,PCC
1,20,0.1,0.1,0.16,0.06,0.95,PACC
1,20,0.1,0.1,0.1,0.0,1.0,X
1,20,0.1,0.1,0.08,0.02,0.95,MAX
1,20,0.1,0.1,0.15,0.05,0.95,T50
1,20,0.1,0.1,0.14,0.04,0.95,MS
1,20,0.1,0.1,0.15,0.05,0.95,DyS
1,20,0.1,0.1,0.12,0.02,0.95,HDy
1,20,0.1,0.1,0.13,0.03,0.95,SORD
2,20,0.1,0.1,0.05,0.05,0.95,CC
2,20,0.1,0.1,0.02,0.08,0.9,ACC
2,20,0.1,0.1,0.19,0.09,0.8,PCC
2,20,0.1,0.1,0.0,0.1,0.9,PACC
2,20,0.1,0.1,0.15,0.05,0.85,X
2,20,0.1,0.1,0.08,0.02,0.95,MAX
2,20,0.1,0.1,0.04,0.06,0.9,T50
2,20,0.1,0.1,0.04,0.06,0.9,MS
2,20,0.1,0.1,0.01,0.09,0.9,DyS
2,20,0.1,0.1,0.04,0.06,0.9,HDy
2,20,0.1,0.1,0.0,0.1,0.9,SORD
3,20,0.1,0.1,0.15,0.05,0.95,CC
3,20,0.1,0.1,0.19,0.09,0.95,ACC
3,20,0.1,0.1,0.25,0.15,0.85,PCC
3,20,0.1,0.1,0.16,0.06,0.95,PACC
3,20,0.1,0.1,0.02,0.08,0.95,X
3,20,0.1,0.1,0.08,0.02,1.0,MAX
3,20,0.1,0.1,0.15,0.05,0.95,T50
3,20,0.1,0.1,0.19,0.09,0.95,MS
3,20,0.1,0.1,0.15,0.05,0.95,DyS
3,20,0.1,0.1,0.11,0.01,1.0,HDy
3,20,0.1,0.1,0.16,0.06,0.95,SORD
1,20,0.2,0.2,0.25,0.05,0.95,CC
1,20,0.2,0.2,0.36,0.16,0.8,ACC
1,20,0.2,0.2,0.36,0.16,0.8,PCC
1,20,0.2,0.2,0.33,0.13,0.85,PACC
1,20,0.2,0.2,0.34,0.14,0.85,X
1,20,0.2,0.2,0.4,0.2,0.8,MAX
1,20,0.2,0.2,0.35,0.15,0.85,T50
1,20,0.2,0.2,0.39,0.19,0.8,MS
1,20,0.2,0.2,0.32,0.12,0.85,DyS
1,20,0.2,0.2,0.24,0.04,1.0,HDy
1,20,0.2,0.2,0.37,0.17,0.8,SORD
2,20,0.2,0.2,0.25,0.05,0.95,CC
2,20,0.2,0.2,0.36,0.16,0.85,ACC
2,20,0.2,0.2,0.35,0.15,0.85,PCC
2,20,0.2,0.2,0.31,0.11,0.85,PACC
2,20,0.2,0.2,0.26,0.06,0.9,X
2,20,0.2,0.2,0.32,0.12,0.85,MAX
2,20,0.2,0.2,0.46,0.26,0.75,T50
2,20,0.2,0.2,0.4,0.2,0.8,MS
2,20,0.2,0.2,0.3,0.1,0.9,DyS
2,20,0.2,0.2,0.24,0.04,0.9,HDy
2,20,0.2,0.2,0.39,0.19,0.85,SORD
3,20,0.2,0.2,0.1,0.1,0.9,CC
3,20,0.2,0.2,0.1,0.1,0.9,ACC
3,20,0.2,0.2,0.18,0.02,0.8,PCC
3,20,0.2,0.2,0.05,0.15,0.85,PACC
3,20,0.2,0.2,0.15,0.05,0.85,X
3,20,0.2,0.2,0.08,0.12,0.9,MAX
3,20,0.2,0.2,0.04,0.16,0.85,T50
3,20,0.2,0.2,0.05,0.15,0.85,MS
3,20,0.2,0.2,0.0,0.2,0.8,DyS
3,20,0.2,0.2,0.03,0.17,0.85,HDy
3,20,0.2,0.2,0.0,0.2,0.8,SORD
1,20,0.3,0.3,0.3,0.0,0.9,CC
1,20,0.3,0.3,0.45,0.15,0.75,ACC
1,20,0.3,0.3,0.4,0.1,0.8,PCC
1,20,0.3,0.3,0.4,0.1,0.8,PACC
1,20,0.3,0.3,0.34,0.04,0.85,X
1,20,0.3,0.3,0.4,0.1,0.8,MAX
1,20,0.3,0.3,0.46,0.16,0.7,T50
1,20,0.3,0.3,0.45,0.15,0.75,MS
1,20,0.3,0.3,0.37,0.07,0.8,DyS
1,20,0.3,0.3,0.28,0.02,0.95,HDy
1,20,0.3,0.3,0.43,0.13,0.75,SORD
2,20,0.3,0.3,0.25,0.05,0.85,CC
2,20,0.3,0.3,0.36,0.06,0.75,ACC
2,20,0.3,0.3,0.32,0.02,0.8,PCC
2,20,0.3,0.3,0.28,0.02,0.8,PACC
2,20,0.3,0.3,0.18,0.12,0.8,X
2,20,0.3,0.3,0.24,0.06,0.8,MAX
2,20,0.3,0.3,0.35,0.05,0.75,T50
2,20,0.3,0.3,0.32,0.02,0.8,MS
2,20,0.3,0.3,0.29,0.01,0.8,DyS
2,20,0.3,0.3,0.24,0.06,0.8,HDy
2,20,0.3,0.3,0.31,0.01,0.8,SORD
3,20,0.3,0.3,0.25,0.05,0.95,CC
3,20,0.3,0.3,0.36,0.06,0.95,ACC
3,20,0.3,0.3,0.32,0.02,1.0,PCC
3,20,0.3,0.3,0.33,0.03,1.0,PACC
3,20,0.3,0.3,0.1,0.2,0.8,X
3,20,0.3,0.3,0.16,0.14,0.9,MAX
3,20,0.3,0.3,0.46,0.16,0.8,T50
3,20,0.3,0.3,0.36,0.06,0.95,MS
