sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
1,10,0.0,0.0,0.24,0.24,0.8,0.0,0.2906017303466797,X,resnet50,0
1,10,0.0,0.0,0.05,0.05,0.9,0.0,0.33719825744628906,MAX,resnet50,0
1,10,0.0,0.0,0.24,0.24,0.8,0.0,0.2906017303466797,T50,resnet50,0
1,10,0.0,0.0,0.24,0.24,0.8,0.0,0.2906017303466797,MS,resnet50,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,0
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.33719825744628906,HDy,resnet50,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
2,10,0.0,0.0,0.13,0.13,0.9,0.0,0.3752002716064453,X,resnet50,0
2,10,0.0,0.0,0.12,0.12,0.9,0.0,0.3752002716064453,MAX,resnet50,0
2,10,0.0,0.0,0.24,0.24,0.7,0.0,0.37309837341308594,T50,resnet50,0
2,10,0.0,0.0,0.18,0.18,0.9,0.0,0.3752002716064453,MS,resnet50,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,0
2,10,0.0,0.0,0.07,0.07,1.0,0.0,0.48110008239746094,HDy,resnet50,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
3,10,0.0,0.0,0.05,0.05,0.9,0.0,0.37909889221191406,X,resnet50,0
3,10,0.0,0.0,0.12,0.12,0.9,0.0,0.3663005828857422,MAX,resnet50,0
3,10,0.0,0.0,0.24,0.24,0.8,0.0,0.30430030822753906,T50,resnet50,0
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.3125,MS,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,0
3,10,0.0,0.0,0.04,0.04,0.9,0.0,0.37909889221191406,HDy,resnet50,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
4,10,0.0,0.0,0.05,0.05,0.9,0.0,0.31599998474121094,X,resnet50,0
4,10,0.0,0.0,0.12,0.12,0.8,0.0,0.31369972229003906,MAX,resnet50,0
4,10,0.0,0.0,0.24,0.24,0.7,0.0,0.3063983917236328,T50,resnet50,0
4,10,0.0,0.0,0.25,0.25,0.7,0.0,0.3063983917236328,MS,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,0
4,10,0.0,0.0,0.06,0.06,0.9,0.0,0.31599998474121094,HDy,resnet50,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
5,10,0.0,0.0,0.24,0.24,0.7,0.0,0.2606983184814453,X,resnet50,0
5,10,0.0,0.0,0.23,0.23,0.7,0.0,0.2606983184814453,MAX,resnet50,0
5,10,0.0,0.0,0.24,0.24,0.7,0.0,0.2606983184814453,T50,resnet50,0
5,10,0.0,0.0,0.24,0.24,0.7,0.0,0.2606983184814453,MS,resnet50,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,resnet50,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
6,10,0.0,0.0,0.24,0.24,0.7,0.0,0.22609901428222656,X,resnet50,0
6,10,0.0,0.0,0.23,0.23,0.7,0.0,0.22609901428222656,MAX,resnet50,0
6,10,0.0,0.0,0.24,0.24,0.7,0.0,0.22609901428222656,T50,resnet50,0
6,10,0.0,0.0,0.24,0.24,0.7,0.0,0.22609901428222656,MS,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,resnet50,0
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,0
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,0
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,0
7,10,0.0,0.0,0.24,0.24,0.8,0.0,0.20440101623535156,X,resnet50,0
7,10,0.0,0.0,0.23,0.23,0.8,0.0,0.20440101623535156,MAX,resnet50,0
7,10,0.0,0.0,0.24,0.24,0.8,0.0,0.20440101623535156,T50,resnet50,0
7,10,0.0,0.0,0.21,0.21,0.8,0.0,0.25,MS,resnet50,0
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,0
7,10,0.0,0.0,0.01,0.01,1.0,0.0,0.48710060119628906,HDy,resnet50,0
