sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,100,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
1,100,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
1,100,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
1,100,0.0,0.0,0.6,0.6,0.4,MAX,vgg16,0.0
1,100,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
1,100,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
1,100,0.0,0.0,0.29,0.29,0.71,DyS,vgg16,0.0
1,100,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,0.0
1,100,0.0,0.0,0.2,0.2,0.8,SORD,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
2,100,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
2,100,0.0,0.0,1.0,1.0,0.0,MAX,vgg16,0.0
2,100,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
2,100,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
2,100,0.0,0.0,0.44,0.44,0.56,DyS,vgg16,0.0
2,100,0.0,0.0,0.27,0.27,0.73,HDy,vgg16,0.0
2,100,0.0,0.0,0.28,0.28,0.73,SORD,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,CC,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,ACC,vgg16,0.0
3,100,0.0,0.0,0.67,0.67,0.33,X,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,MAX,vgg16,0.0
3,100,0.0,0.0,0.67,0.67,0.33,T50,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,MS,vgg16,0.0
3,100,0.0,0.0,0.46,0.46,0.53,DyS,vgg16,0.0
3,100,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,0.0
3,100,0.0,0.0,0.09,0.09,0.91,SORD,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
1,100,0.1,0.1,0.33,0.23,0.69,X,vgg16,0.0
1,100,0.1,0.1,1.0,0.9,0.1,MAX,vgg16,0.0
1,100,0.1,0.1,0.33,0.23,0.69,T50,vgg16,0.0
1,100,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
1,100,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
1,100,0.1,0.1,0.11,0.01,0.85,HDy,vgg16,0.0
1,100,0.1,0.1,0.38,0.28,0.64,SORD,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
2,100,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
2,100,0.1,0.1,1.0,0.9,0.1,MAX,vgg16,0.0
2,100,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
2,100,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
2,100,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
2,100,0.1,0.1,0.18,0.08,0.79,HDy,vgg16,0.0
2,100,0.1,0.1,0.34,0.24,0.64,SORD,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,CC,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,ACC,vgg16,0.0
3,100,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
3,100,0.1,0.1,1.0,0.9,0.1,MAX,vgg16,0.0
3,100,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
3,100,0.1,0.1,0.0,0.1,0.9,MS,vgg16,0.0
3,100,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
3,100,0.1,0.1,0.03,0.07,0.87,HDy,vgg16,0.0
3,100,0.1,0.1,0.33,0.23,0.61,SORD,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
1,100,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
1,100,0.2,0.2,1.0,0.8,0.2,MAX,vgg16,0.0
1,100,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
1,100,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
1,100,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
1,100,0.2,0.2,0.86,0.66,0.32,HDy,vgg16,0.0
1,100,0.2,0.2,0.53,0.33,0.51,SORD,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
2,100,0.2,0.2,0.33,0.13,0.59,X,vgg16,0.0
2,100,0.2,0.2,1.0,0.8,0.2,MAX,vgg16,0.0
2,100,0.2,0.2,0.33,0.13,0.59,T50,vgg16,0.0
2,100,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
2,100,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
2,100,0.2,0.2,0.48,0.28,0.46,HDy,vgg16,0.0
2,100,0.2,0.2,0.56,0.36,0.4,SORD,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,CC,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,ACC,vgg16,0.0
3,100,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
3,100,0.2,0.2,1.0,0.8,0.2,MAX,vgg16,0.0
3,100,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
3,100,0.2,0.2,0.0,0.2,0.8,MS,vgg16,0.0
3,100,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
3,100,0.2,0.2,0.45,0.25,0.39,HDy,vgg16,0.0
3,100,0.2,0.2,0.6,0.4,0.38,SORD,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
1,100,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
1,100,0.3,0.3,0.4,0.1,0.56,MAX,vgg16,0.0
1,100,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
1,100,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
1,100,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
1,100,0.3,0.3,0.73,0.43,0.37,HDy,vgg16,0.0
1,100,0.3,0.3,0.29,0.01,0.67,SORD,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
2,100,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
2,100,0.3,0.3,1.0,0.7,0.3,MAX,vgg16,0.0
2,100,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
2,100,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
2,100,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
2,100,0.3,0.3,0.33,0.03,0.55,HDy,vgg16,0.0
2,100,0.3,0.3,0.52,0.22,0.38,SORD,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,CC,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,ACC,vgg16,0.0
3,100,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
3,100,0.3,0.3,0.8,0.5,0.38,MAX,vgg16,0.0
3,100,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
3,100,0.3,0.3,0.0,0.3,0.7,MS,vgg16,0.0
3,100,0.3,0.3,0.54,0.24,0.46,DyS,vgg16,0.0
3,100,0.3,0.3,0.72,0.42,0.4,HDy,vgg16,0.0
3,100,0.3,0.3,0.31,0.01,0.69,SORD,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
1,100,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
1,100,0.4,0.4,0.8,0.4,0.44,MAX,vgg16,0.0
1,100,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
1,100,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
1,100,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
1,100,0.4,0.4,0.95,0.55,0.43,HDy,vgg16,0.0
1,100,0.4,0.4,0.62,0.22,0.48,SORD,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,MAX,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
2,100,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
2,100,0.4,0.4,1.0,0.6,0.4,HDy,vgg16,0.0
2,100,0.4,0.4,0.63,0.23,0.5,SORD,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,CC,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,ACC,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,X,vgg16,0.0
3,100,0.4,0.4,0.2,0.2,0.63,MAX,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,T50,vgg16,0.0
3,100,0.4,0.4,0.0,0.4,0.6,MS,vgg16,0.0
3,100,0.4,0.4,0.68,0.28,0.43,DyS,vgg16,0.0
3,100,0.4,0.4,0.7,0.3,0.42,HDy,vgg16,0.0
3,100,0.4,0.4,0.62,0.22,0.4,SORD,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,CC,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,ACC,vgg16,0.0
1,100,0.5,0.5,1.0,0.5,0.5,X,vgg16,0.0
1,100,0.5,0.5,1.0,0.5,0.5,MAX,vgg16,0.0
1,100,0.5,0.5,1.0,0.5,0.5,T50,vgg16,0.0
1,100,0.5,0.5,0.0,0.5,0.5,MS,vgg16,0.0
1,100,0.5,0.5,1.0,0.5,0.5,DyS,vgg16,0.0
1,100,0.5,0.5,0.7,0.2,0.5,HDy,vgg16,0.0
1,100,0.5,0.5,0.58,0.08,0.41,SORD,vgg16,0.0
2,100,0.5,0.5,0.0,0.5,0.5,CC,vgg16,0.0
2,100,0.5,0.5,0.0,0.5,0.5,ACC,vgg16,0.0
2,100,0.5,0.5,1.0,0.5,0.5,X,vgg16,0.0
2,100,0.5,0.5,0.6,0.1,0.38,MAX,vgg16,0.0
2,100,0.5,0.5,1.0,0.5,0.5,T50,vgg16,0.0
2,100,0.5,0.5,0.0,0.5,0.5,MS,vgg16,0.0
2,100,0.5,0.5,1.0,0.5,0.5,DyS,vgg16,0.0
2,100,0.5,0.5,1.0,0.5,0.5,HDy,vgg16,0.0
