sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
1,10,0.0,0.0,0.87,0.87,0.2,0.0,0.33730125427246094,DyS,vgg16,0
1,10,0.0,0.0,0.83,0.83,0.2,0.0,0.33730125427246094,HDy,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,DyS,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,HDy,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,DyS,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,HDy,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,SORD,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,MAX,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,vgg16,0
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,vgg16,0
4,10,0.0,0.0,0.87,0.87,0.1,0.0,0.33699989318847656,DyS,vgg16,0
4,10,0.0,0.0,0.62,0.62,0.3,0.0,0.3435993194580078,HDy,vgg16,0
4,10,0.0,0.0,0.87,0.87,0.1,0.0,0.33699989318847656,SORD,vgg16,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,0
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,0
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,X,vgg16,0
