sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.15,0.15,0.8,0.0,0.4125995635986328,X,resnet50,1
1,10,0.0,0.0,0.15,0.15,0.8,0.0,0.4125995635986328,MAX,resnet50,1
1,10,0.0,0.0,0.06,0.06,1.0,0.0,0.41610145568847656,T50,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.15,0.15,0.8,0.0,0.3854999542236328,X,resnet50,1
2,10,0.0,0.0,0.15,0.15,0.8,0.0,0.3854999542236328,MAX,resnet50,1
2,10,0.0,0.0,0.06,0.06,0.9,0.0,0.3870983123779297,T50,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
3,10,0.0,0.0,0.03,0.03,0.9,0.0,0.46219825744628906,X,resnet50,1
3,10,0.0,0.0,0.03,0.03,0.9,0.0,0.46219825744628906,MAX,resnet50,1
3,10,0.0,0.0,0.13,0.13,0.9,0.0,0.4077014923095703,T50,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
3,10,0.0,0.0,0.04,0.04,0.9,0.0,0.46219825744628906,DyS,resnet50,1
3,10,0.0,0.0,0.05,0.05,0.9,0.0,0.46219825744628906,HDy,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
4,10,0.0,0.0,0.03,0.03,1.0,0.0,0.4908008575439453,X,resnet50,1
4,10,0.0,0.0,0.03,0.03,1.0,0.0,0.4908008575439453,MAX,resnet50,1
4,10,0.0,0.0,0.13,0.13,0.8,0.0,0.42909812927246094,T50,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
4,10,0.0,0.0,0.1,0.1,0.9,0.0,0.4375,DyS,resnet50,1
4,10,0.0,0.0,0.11,0.11,0.9,0.0,0.4375,HDy,resnet50,1
4,10,0.0,0.0,0.03,0.03,1.0,0.0,0.4908008575439453,SORD,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
5,10,0.0,0.0,0.15,0.15,0.8,0.0,0.4163990020751953,X,resnet50,1
5,10,0.0,0.0,0.15,0.15,0.8,0.0,0.4163990020751953,MAX,resnet50,1
5,10,0.0,0.0,0.06,0.06,0.9,0.0,0.4181995391845703,T50,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
6,10,0.0,0.0,0.1,0.1,0.9,0.0,0.4375,X,resnet50,1
6,10,0.0,0.0,0.1,0.1,0.9,0.0,0.4375,MAX,resnet50,1
6,10,0.0,0.0,0.06,0.06,0.9,0.0,0.4428997039794922,T50,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
6,10,0.0,0.0,0.05,0.05,0.9,0.0,0.4428997039794922,DyS,resnet50,1
6,10,0.0,0.0,0.01,0.01,0.9,0.0,0.4428997039794922,HDy,resnet50,1
6,10,0.0,0.0,0.03,0.03,0.9,0.0,0.4428997039794922,SORD,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
7,10,0.0,0.0,0.23,0.23,0.7,0.0,0.4340991973876953,X,resnet50,1
7,10,0.0,0.0,0.23,0.23,0.7,0.0,0.4340991973876953,MAX,resnet50,1
7,10,0.0,0.0,0.06,0.06,0.9,0.0,0.4437999725341797,T50,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
7,10,0.0,0.0,0.13,0.13,0.9,0.0,0.4422016143798828,DyS,resnet50,1
7,10,0.0,0.0,0.04,0.04,0.9,0.0,0.4437999725341797,HDy,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
8,10,0.0,0.0,0.15,0.15,0.8,0.0,0.41089820861816406,X,resnet50,1
8,10,0.0,0.0,0.15,0.15,0.8,0.0,0.41089820861816406,MAX,resnet50,1
8,10,0.0,0.0,0.06,0.06,1.0,0.0,0.4147014617919922,T50,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,resnet50,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,resnet50,1
9,10,0.0,0.0,0.03,0.03,0.9,0.0,0.43979835510253906,X,resnet50,1
9,10,0.0,0.0,0.03,0.03,0.9,0.0,0.43979835510253906,MAX,resnet50,1
9,10,0.0,0.0,0.06,0.06,0.9,0.0,0.43979835510253906,T50,resnet50,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,MS,resnet50,1
