sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,100,0.0,0.0,0.1,0.1,0.9,CC,vgg16,1.0
1,100,0.0,0.0,0.01,0.01,0.99,ACC,vgg16,1.0
1,100,0.0,0.0,0.0,0.0,1.0,X,vgg16,1.0
1,100,0.0,0.0,0.01,0.01,0.99,MAX,vgg16,1.0
1,100,0.0,0.0,0.07,0.07,0.93,T50,vgg16,1.0
1,100,0.0,0.0,0.04,0.04,0.96,MS,vgg16,1.0
1,100,0.0,0.0,0.0,0.0,1.0,DyS,vgg16,1.0
1,100,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,1.0
1,100,0.0,0.0,0.02,0.02,0.98,SORD,vgg16,1.0
2,100,0.0,0.0,0.12,0.12,0.88,CC,vgg16,1.0
2,100,0.0,0.0,0.03,0.03,0.98,ACC,vgg16,1.0
2,100,0.0,0.0,0.01,0.01,0.99,X,vgg16,1.0
2,100,0.0,0.0,0.06,0.06,0.95,MAX,vgg16,1.0
2,100,0.0,0.0,0.05,0.05,0.95,T50,vgg16,1.0
2,100,0.0,0.0,0.06,0.06,0.95,MS,vgg16,1.0
2,100,0.0,0.0,0.01,0.01,0.99,DyS,vgg16,1.0
2,100,0.0,0.0,0.01,0.01,0.99,HDy,vgg16,1.0
2,100,0.0,0.0,0.06,0.06,0.95,SORD,vgg16,1.0
3,100,0.0,0.0,0.12,0.12,0.88,CC,vgg16,1.0
3,100,0.0,0.0,0.03,0.03,0.97,ACC,vgg16,1.0
3,100,0.0,0.0,0.0,0.0,1.0,X,vgg16,1.0
3,100,0.0,0.0,0.06,0.06,0.95,MAX,vgg16,1.0
3,100,0.0,0.0,0.09,0.09,0.91,T50,vgg16,1.0
3,100,0.0,0.0,0.07,0.07,0.93,MS,vgg16,1.0
3,100,0.0,0.0,0.0,0.0,1.0,DyS,vgg16,1.0
3,100,0.0,0.0,0.0,0.0,1.0,HDy,vgg16,1.0
3,100,0.0,0.0,0.06,0.06,0.95,SORD,vgg16,1.0
1,100,0.1,0.1,0.14,0.04,0.86,CC,vgg16,1.0
1,100,0.1,0.1,0.06,0.04,0.88,ACC,vgg16,1.0
1,100,0.1,0.1,0.04,0.06,0.9,X,vgg16,1.0
1,100,0.1,0.1,0.06,0.04,0.88,MAX,vgg16,1.0
1,100,0.1,0.1,0.05,0.05,0.88,T50,vgg16,1.0
1,100,0.1,0.1,0.06,0.04,0.88,MS,vgg16,1.0
1,100,0.1,0.1,0.05,0.05,0.88,DyS,vgg16,1.0
1,100,0.1,0.1,0.03,0.07,0.9,HDy,vgg16,1.0
1,100,0.1,0.1,0.09,0.01,0.89,SORD,vgg16,1.0
2,100,0.1,0.1,0.13,0.03,0.83,CC,vgg16,1.0
2,100,0.1,0.1,0.05,0.05,0.88,ACC,vgg16,1.0
2,100,0.1,0.1,0.02,0.08,0.91,X,vgg16,1.0
2,100,0.1,0.1,0.07,0.03,0.87,MAX,vgg16,1.0
2,100,0.1,0.1,0.07,0.03,0.87,T50,vgg16,1.0
2,100,0.1,0.1,0.07,0.03,0.87,MS,vgg16,1.0
2,100,0.1,0.1,0.04,0.06,0.9,DyS,vgg16,1.0
2,100,0.1,0.1,0.01,0.09,0.91,HDy,vgg16,1.0
2,100,0.1,0.1,0.11,0.01,0.85,SORD,vgg16,1.0
3,100,0.1,0.1,0.11,0.01,0.87,CC,vgg16,1.0
3,100,0.1,0.1,0.02,0.08,0.91,ACC,vgg16,1.0
3,100,0.1,0.1,0.02,0.08,0.91,X,vgg16,1.0
3,100,0.1,0.1,0.03,0.07,0.91,MAX,vgg16,1.0
3,100,0.1,0.1,0.07,0.03,0.89,T50,vgg16,1.0
3,100,0.1,0.1,0.04,0.06,0.9,MS,vgg16,1.0
3,100,0.1,0.1,0.01,0.09,0.89,DyS,vgg16,1.0
3,100,0.1,0.1,0.01,0.09,0.89,HDy,vgg16,1.0
3,100,0.1,0.1,0.03,0.07,0.91,SORD,vgg16,1.0
1,100,0.2,0.2,0.16,0.04,0.82,CC,vgg16,1.0
1,100,0.2,0.2,0.08,0.12,0.84,ACC,vgg16,1.0
1,100,0.2,0.2,0.04,0.16,0.84,X,vgg16,1.0
1,100,0.2,0.2,0.08,0.12,0.84,MAX,vgg16,1.0
1,100,0.2,0.2,0.07,0.13,0.84,T50,vgg16,1.0
1,100,0.2,0.2,0.08,0.12,0.84,MS,vgg16,1.0
1,100,0.2,0.2,0.04,0.16,0.84,DyS,vgg16,1.0
1,100,0.2,0.2,0.02,0.18,0.82,HDy,vgg16,1.0
1,100,0.2,0.2,0.11,0.09,0.82,SORD,vgg16,1.0
2,100,0.2,0.2,0.19,0.01,0.81,CC,vgg16,1.0
2,100,0.2,0.2,0.12,0.08,0.86,ACC,vgg16,1.0
2,100,0.2,0.2,0.07,0.13,0.86,X,vgg16,1.0
2,100,0.2,0.2,0.16,0.04,0.84,MAX,vgg16,1.0
2,100,0.2,0.2,0.05,0.15,0.84,T50,vgg16,1.0
2,100,0.2,0.2,0.12,0.08,0.86,MS,vgg16,1.0
2,100,0.2,0.2,0.09,0.11,0.86,DyS,vgg16,1.0
2,100,0.2,0.2,0.04,0.16,0.82,HDy,vgg16,1.0
2,100,0.2,0.2,0.2,0.0,0.8,SORD,vgg16,1.0
3,100,0.2,0.2,0.14,0.06,0.8,CC,vgg16,1.0
3,100,0.2,0.2,0.06,0.14,0.8,ACC,vgg16,1.0
3,100,0.2,0.2,0.02,0.18,0.8,X,vgg16,1.0
3,100,0.2,0.2,0.07,0.13,0.79,MAX,vgg16,1.0
3,100,0.2,0.2,0.09,0.11,0.79,T50,vgg16,1.0
3,100,0.2,0.2,0.09,0.11,0.79,MS,vgg16,1.0
3,100,0.2,0.2,0.0,0.2,0.8,DyS,vgg16,1.0
3,100,0.2,0.2,0.0,0.2,0.8,HDy,vgg16,1.0
3,100,0.2,0.2,0.09,0.11,0.79,SORD,vgg16,1.0
1,100,0.3,0.3,0.23,0.07,0.73,CC,vgg16,1.0
1,100,0.3,0.3,0.16,0.14,0.74,ACC,vgg16,1.0
1,100,0.3,0.3,0.11,0.19,0.73,X,vgg16,1.0
1,100,0.3,0.3,0.17,0.13,0.73,MAX,vgg16,1.0
1,100,0.3,0.3,0.02,0.28,0.73,T50,vgg16,1.0
1,100,0.3,0.3,0.16,0.14,0.74,MS,vgg16,1.0
1,100,0.3,0.3,0.11,0.19,0.73,DyS,vgg16,1.0
1,100,0.3,0.3,0.06,0.24,0.74,HDy,vgg16,1.0
1,100,0.3,0.3,0.22,0.08,0.74,SORD,vgg16,1.0
2,100,0.3,0.3,0.27,0.03,0.85,CC,vgg16,1.0
2,100,0.3,0.3,0.21,0.09,0.82,ACC,vgg16,1.0
2,100,0.3,0.3,0.18,0.12,0.82,X,vgg16,1.0
2,100,0.3,0.3,0.21,0.09,0.82,MAX,vgg16,1.0
2,100,0.3,0.3,0.07,0.23,0.75,T50,vgg16,1.0
2,100,0.3,0.3,0.2,0.1,0.82,MS,vgg16,1.0
2,100,0.3,0.3,0.19,0.11,0.81,DyS,vgg16,1.0
2,100,0.3,0.3,0.15,0.15,0.8,HDy,vgg16,1.0
2,100,0.3,0.3,0.22,0.08,0.82,SORD,vgg16,1.0
3,100,0.3,0.3,0.24,0.06,0.78,CC,vgg16,1.0
3,100,0.3,0.3,0.17,0.13,0.78,ACC,vgg16,1.0
3,100,0.3,0.3,0.11,0.19,0.76,X,vgg16,1.0
3,100,0.3,0.3,0.18,0.12,0.78,MAX,vgg16,1.0
3,100,0.3,0.3,0.05,0.25,0.73,T50,vgg16,1.0
3,100,0.3,0.3,0.17,0.13,0.78,MS,vgg16,1.0
3,100,0.3,0.3,0.13,0.17,0.77,DyS,vgg16,1.0
3,100,0.3,0.3,0.1,0.2,0.76,HDy,vgg16,1.0
3,100,0.3,0.3,0.21,0.09,0.78,SORD,vgg16,1.0
1,100,0.4,0.4,0.21,0.19,0.75,CC,vgg16,1.0
1,100,0.4,0.4,0.14,0.26,0.68,ACC,vgg16,1.0
1,100,0.4,0.4,0.09,0.31,0.67,X,vgg16,1.0
1,100,0.4,0.4,0.15,0.25,0.68,MAX,vgg16,1.0
1,100,0.4,0.4,0.02,0.38,0.63,T50,vgg16,1.0
1,100,0.4,0.4,0.15,0.25,0.68,MS,vgg16,1.0
1,100,0.4,0.4,0.13,0.27,0.67,DyS,vgg16,1.0
1,100,0.4,0.4,0.09,0.31,0.67,HDy,vgg16,1.0
1,100,0.4,0.4,0.2,0.2,0.75,SORD,vgg16,1.0
2,100,0.4,0.4,0.25,0.15,0.73,CC,vgg16,1.0
2,100,0.4,0.4,0.19,0.21,0.73,ACC,vgg16,1.0
2,100,0.4,0.4,0.12,0.28,0.7,X,vgg16,1.0
2,100,0.4,0.4,0.21,0.19,0.71,MAX,vgg16,1.0
2,100,0.4,0.4,0.07,0.33,0.66,T50,vgg16,1.0
2,100,0.4,0.4,0.19,0.21,0.73,MS,vgg16,1.0
2,100,0.4,0.4,0.13,0.27,0.71,DyS,vgg16,1.0
2,100,0.4,0.4,0.1,0.3,0.68,HDy,vgg16,1.0
2,100,0.4,0.4,0.27,0.13,0.75,SORD,vgg16,1.0
3,100,0.4,0.4,0.28,0.12,0.78,CC,vgg16,1.0
3,100,0.4,0.4,0.22,0.18,0.78,ACC,vgg16,1.0
3,100,0.4,0.4,0.18,0.22,0.74,X,vgg16,1.0
3,100,0.4,0.4,0.26,0.14,0.78,MAX,vgg16,1.0
3,100,0.4,0.4,0.0,0.4,0.6,T50,vgg16,1.0
3,100,0.4,0.4,0.22,0.18,0.78,MS,vgg16,1.0
3,100,0.4,0.4,0.22,0.18,0.78,DyS,vgg16,1.0
3,100,0.4,0.4,0.18,0.22,0.74,HDy,vgg16,1.0
3,100,0.4,0.4,0.27,0.13,0.79,SORD,vgg16,1.0
1,100,0.5,0.5,0.28,0.22,0.7,CC,vgg16,1.0
1,100,0.5,0.5,0.22,0.28,0.68,ACC,vgg16,1.0
1,100,0.5,0.5,0.19,0.31,0.67,X,vgg16,1.0
1,100,0.5,0.5,0.24,0.26,0.68,MAX,vgg16,1.0
1,100,0.5,0.5,0.0,0.5,0.5,T50,vgg16,1.0
1,100,0.5,0.5,0.22,0.28,0.68,MS,vgg16,1.0
1,100,0.5,0.5,0.23,0.27,0.68,DyS,vgg16,1.0
1,100,0.5,0.5,0.19,0.31,0.67,HDy,vgg16,1.0
1,100,0.5,0.5,0.35,0.15,0.7,SORD,vgg16,1.0
2,100,0.5,0.5,0.25,0.25,0.67,CC,vgg16,1.0
2,100,0.5,0.5,0.19,0.31,0.63,ACC,vgg16,1.0
2,100,0.5,0.5,0.15,0.35,0.58,X,vgg16,1.0
2,100,0.5,0.5,0.22,0.28,0.64,MAX,vgg16,1.0
2,100,0.5,0.5,0.02,0.48,0.53,T50,vgg16,1.0
2,100,0.5,0.5,0.21,0.29,0.64,MS,vgg16,1.0
2,100,0.5,0.5,0.18,0.32,0.61,DyS,vgg16,1.0
2,100,0.5,0.5,0.14,0.36,0.58,HDy,vgg16,1.0
2,100,0.5,0.5,0.25,0.25,0.67,SORD,vgg16,1.0
3,100,0.5,0.5,0.29,0.21,0.69,CC,vgg16,1.0
3,100,0.5,0.5,0.23,0.27,0.69,ACC,vgg16,1.0
3,100,0.5,0.5,0.16,0.34,0.62,X,vgg16,1.0
3,100,0.5,0.5,0.24,0.26,0.69,MAX,vgg16,1.0
3,100,0.5,0.5,0.02,0.48,0.52,T50,vgg16,1.0
3,100,0.5,0.5,0.23,0.27,0.69,MS,vgg16,1.0
3,100,0.5,0.5,0.19,0.31,0.65,DyS,vgg16,1.0
3,100,0.5,0.5,0.13,0.37,0.61,HDy,vgg16,1.0
3,100,0.5,0.5,0.26,0.24,0.7,SORD,vgg16,1.0
1,100,0.6,0.6,0.3,0.3,0.64,CC,vgg16,1.0
1,100,0.6,0.6,0.24,0.36,0.6,ACC,vgg16,1.0
1,100,0.6,0.6,0.21,0.39,0.58,X,vgg16,1.0
1,100,0.6,0.6,0.24,0.36,0.6,MAX,vgg16,1.0
1,100,0.6,0.6,0.02,0.58,0.43,T50,vgg16,1.0
1,100,0.6,0.6,0.24,0.36,0.6,MS,vgg16,1.0
1,100,0.6,0.6,0.23,0.37,0.6,DyS,vgg16,1.0
1,100,0.6,0.6,0.19,0.41,0.57,HDy,vgg16,1.0
1,100,0.6,0.6,0.29,0.31,0.64,SORD,vgg16,1.0
2,100,0.6,0.6,0.32,0.28,0.66,CC,vgg16,1.0
2,100,0.6,0.6,0.27,0.33,0.63,ACC,vgg16,1.0
2,100,0.6,0.6,0.25,0.35,0.63,X,vgg16,1.0
2,100,0.6,0.6,0.26,0.34,0.62,MAX,vgg16,1.0
2,100,0.6,0.6,0.11,0.49,0.51,T50,vgg16,1.0
2,100,0.6,0.6,0.27,0.33,0.63,MS,vgg16,1.0
2,100,0.6,0.6,0.28,0.32,0.63,DyS,vgg16,1.0
2,100,0.6,0.6,0.28,0.32,0.63,HDy,vgg16,1.0
2,100,0.6,0.6,0.33,0.27,0.67,SORD,vgg16,1.0
3,100,0.6,0.6,0.35,0.25,0.65,CC,vgg16,1.0
3,100,0.6,0.6,0.3,0.3,0.6,ACC,vgg16,1.0
3,100,0.6,0.6,0.22,0.38,0.58,X,vgg16,1.0
3,100,0.6,0.6,0.3,0.3,0.6,MAX,vgg16,1.0
3,100,0.6,0.6,0.05,0.55,0.44,T50,vgg16,1.0
3,100,0.6,0.6,0.29,0.31,0.59,MS,vgg16,1.0
3,100,0.6,0.6,0.3,0.3,0.6,DyS,vgg16,1.0
3,100,0.6,0.6,0.28,0.32,0.59,HDy,vgg16,1.0
3,100,0.6,0.6,0.36,0.24,0.66,SORD,vgg16,1.0
1,100,0.7,0.7,0.38,0.32,0.64,CC,vgg16,1.0
1,100,0.7,0.7,0.34,0.36,0.63,ACC,vgg16,1.0
1,100,0.7,0.7,0.29,0.41,0.57,X,vgg16,1.0
1,100,0.7,0.7,0.37,0.33,0.63,MAX,vgg16,1.0
1,100,0.7,0.7,0.05,0.65,0.35,T50,vgg16,1.0
1,100,0.7,0.7,0.34,0.36,0.63,MS,vgg16,1.0
1,100,0.7,0.7,0.33,0.37,0.61,DyS,vgg16,1.0
1,100,0.7,0.7,0.29,0.41,0.57,HDy,vgg16,1.0
1,100,0.7,0.7,0.37,0.33,0.63,SORD,vgg16,1.0
2,100,0.7,0.7,0.37,0.33,0.57,CC,vgg16,1.0
2,100,0.7,0.7,0.33,0.37,0.57,ACC,vgg16,1.0
2,100,0.7,0.7,0.24,0.46,0.5,X,vgg16,1.0
2,100,0.7,0.7,0.34,0.36,0.56,MAX,vgg16,1.0
2,100,0.7,0.7,0.05,0.65,0.35,T50,vgg16,1.0
2,100,0.7,0.7,0.33,0.37,0.57,MS,vgg16,1.0
2,100,0.7,0.7,0.31,0.39,0.55,DyS,vgg16,1.0
2,100,0.7,0.7,0.29,0.41,0.53,HDy,vgg16,1.0
2,100,0.7,0.7,0.39,0.31,0.57,SORD,vgg16,1.0
3,100,0.7,0.7,0.34,0.36,0.62,CC,vgg16,1.0
3,100,0.7,0.7,0.29,0.41,0.58,ACC,vgg16,1.0
3,100,0.7,0.7,0.29,0.41,0.58,X,vgg16,1.0
3,100,0.7,0.7,0.29,0.41,0.58,MAX,vgg16,1.0
3,100,0.7,0.7,0.0,0.7,0.3,T50,vgg16,1.0
3,100,0.7,0.7,0.29,0.41,0.58,MS,vgg16,1.0
3,100,0.7,0.7,0.31,0.39,0.61,DyS,vgg16,1.0
3,100,0.7,0.7,0.28,0.42,0.58,HDy,vgg16,1.0
3,100,0.7,0.7,0.36,0.34,0.62,SORD,vgg16,1.0
1,100,0.8,0.8,0.34,0.46,0.48,CC,vgg16,1.0
1,100,0.8,0.8,0.29,0.51,0.43,ACC,vgg16,1.0
1,100,0.8,0.8,0.21,0.59,0.37,X,vgg16,1.0
1,100,0.8,0.8,0.32,0.48,0.46,MAX,vgg16,1.0
1,100,0.8,0.8,0.09,0.71,0.26,T50,vgg16,1.0
1,100,0.8,0.8,0.29,0.51,0.43,MS,vgg16,1.0
1,100,0.8,0.8,0.27,0.53,0.43,DyS,vgg16,1.0
1,100,0.8,0.8,0.24,0.56,0.4,HDy,vgg16,1.0
1,100,0.8,0.8,0.4,0.4,0.54,SORD,vgg16,1.0
2,100,0.8,0.8,0.42,0.38,0.54,CC,vgg16,1.0
2,100,0.8,0.8,0.38,0.42,0.54,ACC,vgg16,1.0
2,100,0.8,0.8,0.31,0.49,0.51,X,vgg16,1.0
2,100,0.8,0.8,0.4,0.4,0.55,MAX,vgg16,1.0
2,100,0.8,0.8,0.05,0.75,0.26,T50,vgg16,1.0
2,100,0.8,0.8,0.38,0.42,0.54,MS,vgg16,1.0
2,100,0.8,0.8,0.39,0.41,0.55,DyS,vgg16,1.0
2,100,0.8,0.8,0.4,0.4,0.55,HDy,vgg16,1.0
2,100,0.8,0.8,0.48,0.32,0.58,SORD,vgg16,1.0
3,100,0.8,0.8,0.42,0.38,0.56,CC,vgg16,1.0
3,100,0.8,0.8,0.38,0.42,0.54,ACC,vgg16,1.0
3,100,0.8,0.8,0.36,0.44,0.52,X,vgg16,1.0
3,100,0.8,0.8,0.39,0.41,0.55,MAX,vgg16,1.0
3,100,0.8,0.8,0.11,0.69,0.31,T50,vgg16,1.0
3,100,0.8,0.8,0.38,0.42,0.54,MS,vgg16,1.0
3,100,0.8,0.8,0.41,0.39,0.57,DyS,vgg16,1.0
3,100,0.8,0.8,0.39,0.41,0.55,HDy,vgg16,1.0
3,100,0.8,0.8,0.4,0.4,0.57,SORD,vgg16,1.0
1,100,0.9,0.9,0.4,0.5,0.46,CC,vgg16,1.0
1,100,0.9,0.9,0.36,0.54,0.42,ACC,vgg16,1.0
1,100,0.9,0.9,0.33,0.57,0.41,X,vgg16,1.0
1,100,0.9,0.9,0.38,0.52,0.44,MAX,vgg16,1.0
1,100,0.9,0.9,0.07,0.83,0.18,T50,vgg16,1.0
1,100,0.9,0.9,0.38,0.52,0.44,MS,vgg16,1.0
1,100,0.9,0.9,0.4,0.5,0.46,DyS,vgg16,1.0
1,100,0.9,0.9,0.4,0.5,0.46,HDy,vgg16,1.0
1,100,0.9,0.9,0.45,0.45,0.51,SORD,vgg16,1.0
2,100,0.9,0.9,0.4,0.5,0.5,CC,vgg16,1.0
