sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
1,10,0.0,0.0,0.08,0.08,1.0,0.0,0.3490009307861328,X,vgg16,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.25,MAX,vgg16,1
1,10,0.0,0.0,0.09,0.09,1.0,0.0,0.3490009307861328,T50,vgg16,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.25,MS,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
2,10,0.0,0.0,0.08,0.08,1.0,0.0,0.30010032653808594,X,vgg16,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.25,MAX,vgg16,1
2,10,0.0,0.0,0.09,0.09,1.0,0.0,0.30010032653808594,T50,vgg16,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.25,MS,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,HDy,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,SORD,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
3,10,0.0,0.0,0.08,0.08,0.9,0.0,0.48439979553222656,X,vgg16,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.48439979553222656,MAX,vgg16,1
3,10,0.0,0.0,0.09,0.09,0.9,0.0,0.48439979553222656,T50,vgg16,1
3,10,0.0,0.0,0.07,0.07,0.9,0.0,0.48439979553222656,MS,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,DyS,vgg16,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.48439979553222656,HDy,vgg16,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.48439979553222656,SORD,vgg16,1
4,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,CC,vgg16,1
4,10,0.0,0.0,0.01,0.01,1.0,0.0,0.6251010894775391,ACC,vgg16,1
4,10,0.0,0.0,0.04,0.04,1.0,0.0,0.6251010894775391,X,vgg16,1
4,10,0.0,0.0,0.01,0.01,1.0,0.0,0.6251010894775391,MAX,vgg16,1
4,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6251010894775391,T50,vgg16,1
4,10,0.0,0.0,0.07,0.07,1.0,0.0,0.6251010894775391,MS,vgg16,1
4,10,0.0,0.0,0.02,0.02,1.0,0.0,0.6251010894775391,DyS,vgg16,1
4,10,0.0,0.0,0.05,0.05,1.0,0.0,0.6251010894775391,HDy,vgg16,1
4,10,0.0,0.0,0.04,0.04,1.0,0.0,0.6251010894775391,SORD,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,CC,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,ACC,vgg16,1
5,10,0.0,0.0,0.08,0.08,1.0,0.0,0.14420127868652344,X,vgg16,1
5,10,0.0,0.0,0.1,0.1,0.9,0.0,0.142578125,MAX,vgg16,1
