sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,CC,resnet50,0
1,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,ACC,resnet50,0
1,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,X,resnet50,0
1,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,MAX,resnet50,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,resnet50,0
1,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,MS,resnet50,0
1,10,0.0,0.0,0.59,0.59,0.4,0.0,0.9984989166259766,DyS,resnet50,0
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.99951171875,HDy,resnet50,0
1,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,SORD,resnet50,0
2,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,CC,resnet50,0
2,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,ACC,resnet50,0
2,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,X,resnet50,0
2,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,MAX,resnet50,0
2,10,0.0,0.0,0.65,0.65,0.4,0.0,0.20620155334472656,T50,resnet50,0
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.75,MS,resnet50,0
2,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,DyS,resnet50,0
2,10,0.0,0.0,0.18,0.18,0.8,0.0,0.9999980926513672,HDy,resnet50,0
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.75,SORD,resnet50,0
3,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,CC,resnet50,0
3,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,ACC,resnet50,0
3,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,X,resnet50,0
3,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,MAX,resnet50,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.03125,T50,resnet50,0
3,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,MS,resnet50,0
3,10,0.0,0.0,0.8,0.8,0.2,0.0,0.125,DyS,resnet50,0
3,10,0.0,0.0,0.76,0.76,0.2,0.0,0.14409828186035156,HDy,resnet50,0
3,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,SORD,resnet50,0
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,CC,resnet50,0
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,ACC,resnet50,0
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,X,resnet50,0
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,MAX,resnet50,0
4,10,0.0,0.0,0.65,0.65,0.4,0.0,0.20910072326660156,T50,resnet50,0
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,MS,resnet50,0
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,DyS,resnet50,0
4,10,0.0,0.0,0.27,0.27,0.8,0.0,0.9489002227783203,HDy,resnet50,0
4,10,0.0,0.0,0.49,0.49,0.6,0.0,0.6941013336181641,SORD,resnet50,0
5,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,CC,resnet50,0
5,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,ACC,resnet50,0
5,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,X,resnet50,0
5,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,MAX,resnet50,0
5,10,0.0,0.0,0.65,0.65,0.4,0.0,0.3154010772705078,T50,resnet50,0
5,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,MS,resnet50,0
5,10,0.0,0.0,0.5,0.5,0.5,0.0,0.71875,DyS,resnet50,0
5,10,0.0,0.0,0.18,0.18,0.9,0.0,0.9996013641357422,HDy,resnet50,0
5,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,SORD,resnet50,0
6,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,CC,resnet50,0
6,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,ACC,resnet50,0
6,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,X,resnet50,0
6,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,MAX,resnet50,0
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,T50,resnet50,0
6,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,MS,resnet50,0
6,10,0.0,0.0,0.86,0.86,0.1,0.0,0.5534992218017578,DyS,resnet50,0
6,10,0.0,0.0,0.42,0.42,0.6,0.0,0.9993000030517578,HDy,resnet50,0
6,10,0.0,0.0,0.82,0.82,0.1,0.0,0.5534992218017578,SORD,resnet50,0
7,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,CC,resnet50,0
7,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,ACC,resnet50,0
7,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,X,resnet50,0
7,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,MAX,resnet50,0
7,10,0.0,0.0,0.87,0.87,0.1,0.0,0.2615985870361328,T50,resnet50,0
7,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,MS,resnet50,0
7,10,0.0,0.0,0.65,0.65,0.4,0.0,0.7356014251708984,DyS,resnet50,0
7,10,0.0,0.0,0.37,0.37,0.7,0.0,0.9988002777099609,HDy,resnet50,0
7,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,SORD,resnet50,0
8,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,CC,resnet50,0
8,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,ACC,resnet50,0
8,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,X,resnet50,0
8,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,MAX,resnet50,0
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,T50,resnet50,0
8,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,MS,resnet50,0
8,10,0.0,0.0,0.67,0.67,0.4,0.0,0.8458003997802734,DyS,resnet50,0
8,10,0.0,0.0,0.13,0.13,0.7,0.0,0.9998989105224609,HDy,resnet50,0
8,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,SORD,resnet50,0
9,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,CC,resnet50,0
9,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,ACC,resnet50,0
9,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,X,resnet50,0
9,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,MAX,resnet50,0
9,10,0.0,0.0,0.87,0.87,0.2,0.0,0.18490028381347656,T50,resnet50,0
9,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,MS,resnet50,0
9,10,0.0,0.0,0.55,0.55,0.4,0.0,0.6970996856689453,DyS,resnet50,0
9,10,0.0,0.0,0.27,0.27,0.8,0.0,0.9987010955810547,HDy,resnet50,0
9,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,SORD,resnet50,0
10,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,CC,resnet50,0
10,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,ACC,resnet50,0
10,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,X,resnet50,0
10,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5,MAX,resnet50,0
10,10,0.0,0.0,0.65,0.65,0.4,0.0,0.22390174865722656,T50,resnet50,0
10,10,0.0,0.0,0.49,0.49,0.6,0.0,0.6941013336181641,MS,resnet50,0
10,10,0.0,0.0,0.38,0.38,0.7,0.0,0.8183002471923828,DyS,resnet50,0
10,10,0.0,0.0,0.08,0.08,1.0,0.0,0.9997005462646484,HDy,resnet50,0
10,10,0.0,0.0,0.49,0.49,0.6,0.0,0.6941013336181641,SORD,resnet50,0
1,10,0.05,0.0,0.4,0.4,0.6,0.0,0.5,CC,resnet50,0
1,10,0.05,0.0,0.4,0.4,0.6,0.0,0.5,ACC,resnet50,0
1,10,0.05,0.0,0.6,0.6,0.4,0.0,0.375,X,resnet50,0
1,10,0.05,0.0,0.6,0.6,0.4,0.0,0.375,MAX,resnet50,0
1,10,0.05,0.0,0.43,0.43,0.6,0.0,0.4711017608642578,T50,resnet50,0
1,10,0.05,0.0,0.3,0.3,0.7,0.0,0.75,MS,resnet50,0
1,10,0.05,0.0,0.33,0.33,0.7,0.0,0.5016002655029297,DyS,resnet50,0
1,10,0.05,0.0,0.09,0.09,0.9,0.0,0.9989986419677734,HDy,resnet50,0
1,10,0.05,0.0,0.3,0.3,0.7,0.0,0.75,SORD,resnet50,0
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.5,CC,resnet50,0
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.5,ACC,resnet50,0
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.5,X,resnet50,0
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.5,MAX,resnet50,0
2,10,0.05,0.0,0.65,0.65,0.4,0.0,0.13120079040527344,T50,resnet50,0
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.5,MS,resnet50,0
2,10,0.05,0.0,0.32,0.32,0.6,0.0,0.3912982940673828,DyS,resnet50,0
2,10,0.05,0.0,0.09,0.09,0.9,0.0,0.9999980926513672,HDy,resnet50,0
2,10,0.05,0.0,0.3,0.3,0.7,0.0,0.5,SORD,resnet50,0
3,10,0.05,0.0,0.6,0.6,0.4,0.0,0.5,CC,resnet50,0
3,10,0.05,0.0,0.6,0.6,0.4,0.0,0.5,ACC,resnet50,0
3,10,0.05,0.0,0.6,0.6,0.4,0.0,0.5,X,resnet50,0
3,10,0.05,0.0,0.6,0.6,0.4,0.0,0.5,MAX,resnet50,0
3,10,0.05,0.0,0.87,0.87,0.1,0.0,0.09879875183105469,T50,resnet50,0
3,10,0.05,0.0,0.53,0.53,0.4,0.0,0.6047992706298828,MS,resnet50,0
3,10,0.05,0.0,0.57,0.57,0.4,0.0,0.6047992706298828,DyS,resnet50,0
3,10,0.05,0.0,0.26,0.26,0.7,0.0,0.9998989105224609,HDy,resnet50,0
3,10,0.05,0.0,0.51,0.51,0.4,0.0,0.6047992706298828,SORD,resnet50,0
4,10,0.05,0.0,0.8,0.8,0.2,0.0,0.5,CC,resnet50,0
4,10,0.05,0.0,0.8,0.8,0.2,0.0,0.5,ACC,resnet50,0
4,10,0.05,0.0,0.8,0.8,0.2,0.0,0.5,X,resnet50,0
