sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,50,0.0,0.0,1.0,1.0,0.0,CC,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,ACC,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,MAX,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,MS,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,DyS,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,HDy,vgg16,0.0
1,50,0.0,0.0,1.0,1.0,0.0,SORD,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,CC,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,ACC,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,MAX,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,MS,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,DyS,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,HDy,vgg16,0.0
2,50,0.0,0.0,1.0,1.0,0.0,SORD,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,CC,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,ACC,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,X,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,MAX,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,T50,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,MS,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,DyS,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,HDy,vgg16,0.0
3,50,0.0,0.0,1.0,1.0,0.0,SORD,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,CC,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,ACC,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,MAX,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,MS,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,HDy,vgg16,0.0
1,50,0.1,0.1,1.0,0.9,0.1,SORD,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,CC,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,ACC,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,MAX,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,MS,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,HDy,vgg16,0.0
2,50,0.1,0.1,1.0,0.9,0.1,SORD,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,CC,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,ACC,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,X,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,MAX,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,T50,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,MS,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,DyS,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,HDy,vgg16,0.0
3,50,0.1,0.1,1.0,0.9,0.1,SORD,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,CC,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,ACC,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,MAX,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,MS,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,HDy,vgg16,0.0
1,50,0.2,0.2,1.0,0.8,0.2,SORD,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,CC,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,ACC,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,MAX,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,MS,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,HDy,vgg16,0.0
2,50,0.2,0.2,1.0,0.8,0.2,SORD,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,CC,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,ACC,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,X,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,MAX,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,T50,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,MS,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,DyS,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,HDy,vgg16,0.0
3,50,0.2,0.2,1.0,0.8,0.2,SORD,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,CC,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,ACC,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,MAX,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,MS,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,HDy,vgg16,0.0
1,50,0.3,0.3,1.0,0.7,0.3,SORD,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,CC,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,ACC,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,MAX,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,MS,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,HDy,vgg16,0.0
2,50,0.3,0.3,1.0,0.7,0.3,SORD,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,CC,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,ACC,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,X,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,MAX,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,T50,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,MS,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,DyS,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,HDy,vgg16,0.0
3,50,0.3,0.3,1.0,0.7,0.3,SORD,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,CC,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,ACC,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,MAX,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,T50,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,MS,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,DyS,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,HDy,vgg16,0.0
1,50,0.4,0.4,1.0,0.6,0.4,SORD,vgg16,0.0
2,50,0.4,0.4,1.0,0.6,0.4,CC,vgg16,0.0
2,50,0.4,0.4,1.0,0.6,0.4,ACC,vgg16,0.0
2,50,0.4,0.4,1.0,0.6,0.4,X,vgg16,0.0
