sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,X,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MAX,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,T50,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,DyS,vgg16,0
1,10,0.0,0.0,0.99,0.99,0.0,0.0,0.8697986602783203,HDy,vgg16,0
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,SORD,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,X,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MAX,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,T50,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,DyS,vgg16,0
2,10,0.0,0.0,0.99,0.99,0.0,0.0,0.8702983856201172,HDy,vgg16,0
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,SORD,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,X,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MAX,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,T50,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,DyS,vgg16,0
3,10,0.0,0.0,0.99,0.99,0.1,0.0,0.8644008636474609,HDy,vgg16,0
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,SORD,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,X,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MAX,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,T50,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,vgg16,0
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,DyS,vgg16,0
