sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.7,0.7,0.3,0.0,0.55078125,X,resnet50,1
1,10,0.0,0.0,0.7,0.7,0.3,0.0,0.55078125,MAX,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,1
1,10,0.0,0.0,0.25,0.25,0.7,0.0,0.5885982513427734,DyS,resnet50,1
1,10,0.0,0.0,0.35,0.35,0.7,0.0,0.5840015411376953,HDy,resnet50,1
1,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5625,SORD,resnet50,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5546875,X,resnet50,1
2,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5546875,MAX,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,1
2,10,0.0,0.0,0.32,0.32,0.6,0.0,0.5642986297607422,DyS,resnet50,1
2,10,0.0,0.0,0.35,0.35,0.6,0.0,0.5642986297607422,HDy,resnet50,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.59375,SORD,resnet50,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,1
3,10,0.0,0.0,0.8,0.8,0.2,0.0,0.55078125,X,resnet50,1
3,10,0.0,0.0,0.8,0.8,0.2,0.0,0.55078125,MAX,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,1
3,10,0.0,0.0,0.32,0.32,0.7,0.0,0.5799007415771484,DyS,resnet50,1
3,10,0.0,0.0,0.44,0.44,0.6,0.0,0.5663013458251953,HDy,resnet50,1
3,10,0.0,0.0,0.4,0.4,0.6,0.0,0.578125,SORD,resnet50,1
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,1
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,1
4,10,0.0,0.0,0.9,0.9,0.1,0.0,0.546875,X,resnet50,1
4,10,0.0,0.0,0.9,0.9,0.1,0.0,0.546875,MAX,resnet50,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
4,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,1
4,10,0.0,0.0,0.55,0.55,0.5,0.0,0.5700016021728516,DyS,resnet50,1
4,10,0.0,0.0,0.54,0.54,0.5,0.0,0.5700016021728516,HDy,resnet50,1
4,10,0.0,0.0,0.5,0.5,0.5,0.0,0.578125,SORD,resnet50,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,1
5,10,0.0,0.0,0.9,0.9,0.1,0.0,0.546875,X,resnet50,1
5,10,0.0,0.0,0.9,0.9,0.1,0.0,0.546875,MAX,resnet50,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
5,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,1
5,10,0.0,0.0,0.41,0.41,0.6,0.0,0.5625,DyS,resnet50,1
5,10,0.0,0.0,0.44,0.44,0.5,0.0,0.5613994598388672,HDy,resnet50,1
5,10,0.0,0.0,0.3,0.3,0.7,0.0,0.5703125,SORD,resnet50,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,1
6,10,0.0,0.0,0.8,0.8,0.2,0.0,0.546875,X,resnet50,1
6,10,0.0,0.0,0.8,0.8,0.2,0.0,0.546875,MAX,resnet50,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
6,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,MS,resnet50,1
6,10,0.0,0.0,0.32,0.32,0.7,0.0,0.5818004608154297,DyS,resnet50,1
6,10,0.0,0.0,0.42,0.42,0.6,0.0,0.5681018829345703,HDy,resnet50,1
6,10,0.0,0.0,0.4,0.4,0.6,0.0,0.578125,SORD,resnet50,1
7,10,0.0,0.0,0.9,0.9,0.1,0.0,0.5,CC,resnet50,1
7,10,0.0,0.0,0.88,0.88,0.1,0.0,0.5282993316650391,ACC,resnet50,1
7,10,0.0,0.0,0.8,0.8,0.2,0.0,0.5625,X,resnet50,1
7,10,0.0,0.0,0.8,0.8,0.2,0.0,0.5625,MAX,resnet50,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,T50,resnet50,1
7,10,0.0,0.0,0.89,0.89,0.1,0.0,0.5282993316650391,MS,resnet50,1
7,10,0.0,0.0,0.41,0.41,0.6,0.0,0.59375,DyS,resnet50,1
7,10,0.0,0.0,0.51,0.51,0.5,0.0,0.5850009918212891,HDy,resnet50,1
7,10,0.0,0.0,0.7,0.7,0.3,0.0,0.578125,SORD,resnet50,1
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,CC,resnet50,1
8,10,0.0,0.0,1.0,1.0,0.0,0.0,0.5,ACC,resnet50,1
8,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5498046875,X,resnet50,1
