sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,quantifier,model,pre_trained
1,50,0.0,0.0,0.68,0.68,0.32,CC,vgg16,1.0
1,50,0.0,0.0,0.61,0.61,0.38,ACC,vgg16,1.0
1,50,0.0,0.0,0.5,0.5,0.5,X,vgg16,1.0
1,50,0.0,0.0,0.5,0.5,0.5,MAX,vgg16,1.0
1,50,0.0,0.0,0.0,0.0,1.0,T50,vgg16,1.0
1,50,0.0,0.0,0.61,0.61,0.38,MS,vgg16,1.0
1,50,0.0,0.0,0.43,0.43,0.56,DyS,vgg16,1.0
1,50,0.0,0.0,0.28,0.28,0.72,HDy,vgg16,1.0
1,50,0.0,0.0,0.49,0.49,0.5,SORD,vgg16,1.0
2,50,0.0,0.0,0.72,0.72,0.28,CC,vgg16,1.0
2,50,0.0,0.0,0.66,0.66,0.34,ACC,vgg16,1.0
2,50,0.0,0.0,0.54,0.54,0.46,X,vgg16,1.0
2,50,0.0,0.0,0.54,0.54,0.46,MAX,vgg16,1.0
2,50,0.0,0.0,0.0,0.0,1.0,T50,vgg16,1.0
2,50,0.0,0.0,0.66,0.66,0.34,MS,vgg16,1.0
2,50,0.0,0.0,0.4,0.4,0.6,DyS,vgg16,1.0
2,50,0.0,0.0,0.37,0.37,0.64,HDy,vgg16,1.0
2,50,0.0,0.0,0.5,0.5,0.5,SORD,vgg16,1.0
3,50,0.0,0.0,0.72,0.72,0.28,CC,vgg16,1.0
3,50,0.0,0.0,0.66,0.66,0.34,ACC,vgg16,1.0
3,50,0.0,0.0,0.59,0.59,0.42,X,vgg16,1.0
3,50,0.0,0.0,0.59,0.59,0.42,MAX,vgg16,1.0
3,50,0.0,0.0,0.04,0.04,0.96,T50,vgg16,1.0
3,50,0.0,0.0,0.59,0.59,0.42,MS,vgg16,1.0
3,50,0.0,0.0,0.53,0.53,0.48,DyS,vgg16,1.0
3,50,0.0,0.0,0.5,0.5,0.5,HDy,vgg16,1.0
3,50,0.0,0.0,0.56,0.56,0.44,SORD,vgg16,1.0
1,50,0.1,0.1,0.7,0.6,0.4,CC,vgg16,1.0
1,50,0.1,0.1,0.63,0.53,0.46,ACC,vgg16,1.0
1,50,0.1,0.1,0.54,0.44,0.56,X,vgg16,1.0
1,50,0.1,0.1,0.54,0.44,0.56,MAX,vgg16,1.0
1,50,0.1,0.1,0.04,0.06,0.94,T50,vgg16,1.0
1,50,0.1,0.1,0.63,0.53,0.46,MS,vgg16,1.0
1,50,0.1,0.1,0.43,0.33,0.68,DyS,vgg16,1.0
1,50,0.1,0.1,0.42,0.32,0.68,HDy,vgg16,1.0
1,50,0.1,0.1,0.48,0.38,0.62,SORD,vgg16,1.0
2,50,0.1,0.1,0.76,0.66,0.34,CC,vgg16,1.0
2,50,0.1,0.1,0.71,0.61,0.4,ACC,vgg16,1.0
2,50,0.1,0.1,0.59,0.49,0.46,X,vgg16,1.0
