sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,quantifier,model,pre_trained
1,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.51,0.51,0.5,0.0,0.5090007781982422,ACC,vgg16,1
1,10,0.0,0.0,0.39,0.39,0.6,0.0,0.7077999114990234,X,vgg16,1
1,10,0.0,0.0,0.39,0.39,0.6,0.0,0.7077999114990234,MAX,vgg16,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.97265625,T50,vgg16,1
1,10,0.0,0.0,0.39,0.39,0.6,0.0,0.7077999114990234,MS,vgg16,1
1,10,0.0,0.0,0.43,0.43,0.6,0.0,0.5234012603759766,DyS,vgg16,1
1,10,0.0,0.0,0.49,0.49,0.6,0.0,0.5234012603759766,HDy,vgg16,1
1,10,0.0,0.0,0.36,0.36,0.6,0.0,0.7077999114990234,SORD,vgg16,1
2,10,0.0,0.0,0.7,0.7,0.3,0.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.63,0.63,0.3,0.0,0.5025997161865234,ACC,vgg16,1
2,10,0.0,0.0,0.61,0.61,0.3,0.0,0.5025997161865234,X,vgg16,1
2,10,0.0,0.0,0.61,0.61,0.3,0.0,0.5025997161865234,MAX,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.984375,T50,vgg16,1
2,10,0.0,0.0,0.59,0.59,0.4,0.0,0.7222995758056641,MS,vgg16,1
2,10,0.0,0.0,0.49,0.49,0.6,0.0,0.8365001678466797,DyS,vgg16,1
2,10,0.0,0.0,0.39,0.39,0.7,0.0,0.8397006988525391,HDy,vgg16,1
2,10,0.0,0.0,0.56,0.56,0.4,0.0,0.7222995758056641,SORD,vgg16,1
3,10,0.0,0.0,0.6,0.6,0.4,0.0,0.5,CC,vgg16,1
3,10,0.0,0.0,0.51,0.51,0.5,0.0,0.5039005279541016,ACC,vgg16,1
3,10,0.0,0.0,0.28,0.28,0.7,0.0,0.9802989959716797,X,vgg16,1
3,10,0.0,0.0,0.28,0.28,0.7,0.0,0.9802989959716797,MAX,vgg16,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.98046875,T50,vgg16,1
3,10,0.0,0.0,0.41,0.41,0.6,0.0,0.580078125,MS,vgg16,1
3,10,0.0,0.0,0.39,0.39,0.7,0.0,0.5817012786865234,DyS,vgg16,1
3,10,0.0,0.0,0.5,0.5,0.5,0.0,0.5625,HDy,vgg16,1
