score,class
0.0,0
0.0004,0
0.9831,1
0.0009,0
0.003,0
0.9854,1
0.0021,0
0.0002,0
0.0001,0
0.9866,1
0.003,0
0.0,0
0.9779,1
0.0,0
0.0018,0
0.0,0
0.9883,1
0.0038,0
0.9784,1
0.9779,1
0.0,0
0.9845,1
0.9837,1
0.9867,1
0.9776,1
0.9438,1
0.9529,1
0.9891,1
0.0001,0
0.0001,0
0.0,0
0.0039,0
0.0001,0
0.9755,1
0.0002,0
0.1034,0
0.9783,1
0.0078,0
0.9193,1
0.2151,0
0.0021,0
0.9842,1
0.9803,1
0.0015,0
0.0079,0
0.9879,1
0.046,0
0.9701,1
0.0712,0
0.9748,1
0.0007,0
0.0,0
0.9735,1
0.0594,0
0.9777,1
0.9802,1
0.1096,0
0.3827,0
0.9528,1
0.9632,1
0.985,1
0.0,0
0.0003,0
0.9788,1
0.9862,1
0.9714,1
0.0052,0
0.0,0
0.0001,0
0.9865,1
0.9827,1
0.9889,1
0.9879,1
0.9661,1
0.0,0
0.0166,0
0.9876,1
0.0002,0
0.0065,0
0.0001,0
0.0813,0
0.9809,1
0.982,1
0.0369,0
0.9893,1
0.9886,1
0.9743,1
0.0007,0
0.0016,0
0.9911,1
0.2861,0
0.9881,1
0.9798,1
0.3438,0
0.9882,1
0.9865,1
0.9923,1
0.9887,1
0.9882,1
0.0002,0
0.9829,1
0.9929,1
0.9907,1
0.9917,1
0.981,1
0.0445,0
0.9827,1
0.9932,1
0.9935,1
0.9884,1
0.9881,1
0.9911,1
0.9952,1
0.9857,1
0.9863,1
0.9911,1
0.9894,1
0.9962,1
0.2627,0
0.9839,1
0.9911,1
0.823,0
0.9929,1
0.0138,0
0.1527,0
0.9936,1
0.991,1
0.9859,1
0.5254,0
0.3615,0
0.0076,0
0.9926,1
0.9946,1
0.0719,0
0.002,0
0.0028,0
0.0033,0
0.0427,0
0.9931,1
0.9918,1
0.7976,0
0.9851,1
0.9955,1
0.0806,0
0.9844,1
0.992,1
0.9926,1
0.0048,0
0.1972,0
0.0343,0
0.9926,1
0.9943,1
0.9902,1
0.9888,1
0.991,1
0.2728,0
0.5203,0
0.0944,0
0.9826,1
0.2003,0
0.9902,1
0.9904,1
0.993,1
0.979,1
0.9739,1
0.9924,1
0.9927,1
0.9504,1
0.9932,1
0.9878,1
0.9935,1
0.9856,1
0.0395,0
0.9876,1
0.0543,0
0.9904,1
0.2599,0
