score,class
0.1677,0
0.0993,0
0.983,1
0.1808,0
0.3009,1
0.2702,0
0.9982,1
0.0559,0
0.472,0
0.6504,1
0.1217,0
0.6081,0
0.1141,0
0.0624,0
0.214,0
0.7832,1
0.9932,1
0.1481,1
1.0,1
0.7316,1
0.0434,0
0.0872,0
0.5768,1
0.1613,0
0.2948,1
0.5242,0
0.7727,1
0.0761,0
0.1189,0
0.5735,0
0.4343,0
0.0735,0
0.8175,1
0.0401,0
0.0601,0
0.6986,0
0.0865,0
0.9954,1
0.431,1
0.9914,1
0.0439,0
0.6128,1
0.9973,1
0.0397,0
0.0874,0
0.9584,1
0.0326,0
0.0465,0
0.9653,1
0.3816,0
1.0,1
0.0796,0
0.9929,1
0.1089,0
0.9993,1
0.9994,1
0.0417,0
0.9468,1
0.2036,0
0.1753,0
0.4202,0
0.8361,1
0.0358,0
0.3815,0
0.0288,0
0.4486,1
0.7705,1
1.0,1
0.0403,0
0.2552,0
0.1229,0
0.3884,1
0.0548,0
0.9213,1
0.2235,1
0.0626,0
0.9837,1
0.9524,1
0.1115,0
0.0517,0
0.0585,0
0.2705,0
0.795,1
0.0576,0
0.9332,1
0.9524,1
0.1109,0
0.9058,1
0.9654,1
0.6332,1
0.19,0
0.8675,1
0.0768,0
0.5472,1
0.1468,0
0.0529,0
0.414,1
0.5842,1
0.0831,0
0.7787,1
0.0436,0
0.0398,0
0.0367,0
0.1868,1
0.9998,1
0.161,0
0.2394,0
0.9974,1
0.3654,1
0.5257,0
0.1527,0
0.9976,1
0.4503,1
0.2332,0
0.1793,0
0.6471,1
0.0456,0
0.9985,1
0.9997,1
0.9991,1
0.8461,1
0.9295,1
0.0416,0
0.5308,1
0.6349,1
0.2884,1
0.567,0
0.2548,1
0.1207,0
0.2846,0
0.1164,0
0.76,1
0.3286,0
0.4561,1
0.166,0
0.3273,1
0.0622,0
0.2182,1
0.5615,0
0.0719,0
0.0592,0
0.4226,1
0.0444,0
0.9993,1
0.4012,0
0.9968,1
0.1077,0
0.0372,0
0.0646,0
0.8645,1
0.382,0
0.0469,0
0.8174,1
0.1209,0
0.4337,0
0.4834,0
0.0695,0
0.9588,1
0.1012,1
0.7243,1
0.9836,1
0.1408,0
0.0532,0
0.0455,0
0.1877,0
0.987,1
0.0386,0
0.6919,1
0.0509,0
0.738,1
0.4206,1
0.0613,0
0.9908,1
0.0447,0
0.912,1
0.642,1
0.2462,0
0.5006,0
0.7505,1
0.5259,1
0.9934,1
0.1415,0
0.0498,0
0.3294,1
0.1549,0
0.1612,0
0.0597,0
0.2789,0
0.2565,1
0.6043,1
0.3683,0
0.1347,0
0.0874,0
0.0297,0
0.0418,0
0.3189,0
0.5299,0
0.3534,0
0.9506,1
0.3251,1
0.3695,0
0.0438,0
0.8927,1
0.044,0
0.4859,1
0.0595,0
0.9999,1
0.745,1
0.2078,0
0.9672,1
0.9956,1
0.9932,1
0.2084,0
0.0424,0
0.0662,0
0.4269,1
0.976,1
0.6358,1
0.0738,0
0.7967,1
0.9768,1
0.1732,0
0.8375,1
0.132,0
0.1621,0
0.141,0
0.9685,1
0.723,1
0.2503,0
0.0992,0
0.6167,0
0.9791,1
0.0627,0
0.3023,1
0.0398,0
0.8985,1
0.9999,1
0.9985,1
0.7797,1
0.1765,0
0.7221,0
0.9903,1
0.9984,1
0.0455,0
0.5167,0
0.4,0
0.997,1
0.9809,1
0.048,0
0.0913,0
0.9044,1
0.0497,0
0.1262,0
0.137,1
0.2045,0
0.3325,0
0.0966,0
0.2328,0
0.2341,1
0.0261,0
0.158,0
0.0568,0
0.9983,1
0.1086,0
0.1398,0
0.5412,1
0.2046,0
0.0988,0
0.2536,0
0.9366,1
0.2498,0
0.9999,1
0.1486,0
0.9999,1
0.9742,1
0.3715,0
0.0375,0
0.994,1
0.9994,1
0.031,0
0.908,1
0.8895,1
0.9895,1
0.9941,1
0.0523,0
0.0472,0
0.9853,1
0.2328,0
0.0567,0
0.0813,0
0.9994,1
0.9855,1
0.4199,0
0.8137,1
0.9876,1
0.9996,1
0.0736,0
0.9661,1
0.9337,1
0.226,0
0.0652,0
0.1781,0
0.3035,0
0.4017,1
0.1929,0
0.1824,0
0.047,0
0.9957,1
0.0921,0
0.9951,1
0.0817,0
0.9999,1
0.0724,0
0.9973,1
0.9997,1
0.0629,0
0.1212,0
0.6246,1
0.0465,0
0.477,1
0.0704,0
0.0394,0
0.8315,1
0.6708,1
0.04,0
0.6852,1
0.2875,0
0.0695,0
0.6099,0
0.9966,1
0.2253,0
0.3056,1
0.1205,0
0.973,1
0.4124,1
0.5789,1
0.5379,1
0.0703,0
0.0391,0
0.1693,0
0.7096,1
0.0352,0
0.0529,0
0.7767,1
0.9982,1
0.4803,1
0.0809,0
0.6551,1
0.0482,0
0.2048,0
0.9996,1
0.4187,1
0.1368,0
0.2074,0
0.9196,1
0.9939,1
0.9921,1
0.4923,0
0.9879,1
0.999,1
0.0579,0
0.0448,0
0.8375,1
0.0292,0
0.9994,1
0.0663,0
0.9987,1
0.9924,1
0.1129,0
0.0306,0
0.0927,0
0.0356,0
0.2076,0
0.4341,1
0.9706,1
0.2015,0
0.044,0
0.2554,1
0.1105,0
1.0,1
0.9993,1
0.2384,0
