score,class
0.5238,1
0.4426,0
0.454,0
0.5142,1
0.4794,0
0.5121,1
0.4686,0
0.4544,0
0.4799,1
0.4552,1
0.446,0
0.4685,0
0.4832,0
0.4819,1
0.5184,1
0.4549,1
0.4364,0
0.452,0
0.479,0
0.4319,0
0.4688,1
0.4489,0
0.533,1
0.4685,1
0.4311,0
0.4487,0
0.5367,1
0.4865,1
0.4554,1
0.4317,0
0.4787,0
0.4937,1
0.4629,1
0.4418,0
0.5454,1
0.514,1
0.517,1
0.4578,0
0.493,0
0.4219,0
0.4463,0
0.4405,0
0.4772,1
0.5238,1
0.4552,0
0.4436,1
0.4484,0
0.5026,1
0.5323,1
0.4767,0
0.4761,0
0.4425,0
0.4419,0
0.4693,0
0.5248,1
0.5092,1
0.4574,0
0.4437,0
0.4553,1
0.5425,1
0.4274,0
0.4501,0
0.4753,0
0.4633,0
0.4302,0
0.452,0
0.5067,1
0.4401,0
0.4611,0
0.4435,0
0.4497,0
0.5425,1
0.5553,1
0.4644,0
0.5489,1
0.4913,1
0.5015,0
0.4959,0
0.439,0
0.4802,0
0.4042,0
0.4922,1
0.4655,1
0.4744,1
0.484,1
0.4147,0
0.5463,1
0.451,1
0.5268,1
0.4232,0
0.5306,1
0.4379,0
0.4784,1
0.5005,1
0.53,1
0.4476,0
0.5165,1
0.5,1
0.4683,0
0.4263,0
0.4506,0
0.4283,1
0.436,0
0.5199,1
0.455,0
0.4678,1
0.5261,1
0.4697,1
0.4386,1
0.4304,0
0.4354,0
0.4591,0
0.5149,0
0.4727,1
0.4613,0
0.4586,0
0.5128,1
0.5507,1
0.4125,0
0.4494,0
0.4464,0
0.4636,0
0.4957,1
0.4687,0
0.4901,0
0.5164,1
0.5177,1
0.5069,1
0.4454,1
0.4645,0
0.4317,0
0.4738,0
0.4662,0
0.4893,1
0.4964,1
0.4352,0
0.5561,1
0.4383,0
0.5188,1
0.4503,1
0.4461,0
0.4595,1
0.4757,0
0.5235,1
0.4526,0
0.4341,0
0.4564,0
0.4296,0
0.4399,0
0.4418,0
0.5203,1
0.4977,1
0.4582,0
0.4791,0
0.4616,0
0.4089,0
0.4678,0
0.4706,1
0.4455,0
0.5289,1
0.4724,1
0.4926,0
0.5211,0
0.5519,1
0.4689,1
0.4506,0
0.468,0
0.4514,0
0.4713,0
0.4498,0
0.4262,1
0.488,1
0.4334,0
0.5,0
0.4429,1
0.5159,1
0.4601,0
0.4418,1
0.5295,1
0.4653,0
0.4763,1
0.5034,1
0.4011,0
0.4435,0
0.5081,1
0.4657,0
0.509,1
0.4214,1
0.4949,0
0.4936,0
0.4771,0
0.4265,0
0.5099,1
0.453,0
0.4771,0
0.4414,0
0.4672,0
0.4319,0
0.5323,1
0.4633,0
0.4687,1
0.4244,0
0.4458,0
0.4465,0
0.5396,1
0.4459,0
0.451,0
0.4392,0
0.435,1
0.4235,0
0.444,0
0.4336,0
0.4599,1
0.4447,0
0.4455,1
0.4476,1
0.5293,1
0.4593,1
0.4352,0
0.4572,0
0.4941,1
0.5151,1
0.5117,1
0.4206,0
0.5168,1
0.4451,0
0.4115,0
0.5582,1
0.4778,0
0.4387,1
0.4791,1
0.4477,0
0.5363,1
0.4133,0
0.4367,0
0.4288,0
0.4536,1
0.5281,1
0.4529,0
0.4297,0
0.4892,0
0.5312,1
0.4214,0
0.435,0
0.5552,1
0.4698,0
0.4421,0
0.431,0
0.4964,1
0.4006,0
0.4431,0
0.5036,1
0.4377,1
0.523,1
0.4268,1
0.5472,1
0.4807,1
0.4353,0
0.4539,1
0.4284,0
0.5519,1
0.5297,1
0.4932,0
0.5182,1
0.5019,0
0.5126,1
0.433,0
0.447,0
0.5349,1
0.4629,0
0.4365,0
0.5225,1
0.4313,0
0.4612,0
0.5136,1
0.5007,1
0.542,1
0.4257,0
0.4614,1
0.5605,1
0.4634,1
0.4278,0
0.415,0
0.468,0
0.4201,0
0.4579,0
0.4815,0
0.4573,1
0.4689,0
0.4386,0
0.4958,1
0.4504,0
0.4915,1
0.4735,0
0.5331,1
0.5254,1
0.4554,1
0.5017,1
0.5425,1
0.4264,0
0.5387,1
0.4766,0
0.4482,0
0.4339,0
0.4582,0
0.4049,0
0.4699,0
0.4516,0
0.4454,0
0.4223,0
0.4568,0
0.4768,0
0.4517,0
0.4407,0
0.4456,1
0.4558,0
0.4739,1
0.4839,0
0.4584,1
0.5577,1
0.5479,1
0.526,1
0.4739,1
0.5503,1
0.4699,0
0.5132,1
0.5251,1
0.4733,1
0.4536,1
0.4907,1
0.439,0
0.4469,1
0.5388,1
0.4794,1
0.4813,1
0.5173,1
0.4615,1
0.4715,1
0.4357,0
0.4983,1
0.4708,0
0.4935,0
0.4288,0
0.4684,0
0.4789,1
0.5282,1
0.4891,1
0.4766,0
0.4853,0
0.4586,1
0.466,0
0.5043,1
0.5155,1
0.5352,1
0.4683,1
0.4989,0
0.4187,0
0.4631,0
0.5368,1
0.4767,0
0.427,0
0.4905,0
0.4345,0
0.4399,0
0.5097,1
0.4291,1
0.4761,1
0.4505,0
0.4875,1
0.4305,0
0.5246,1
0.4975,1
0.5548,1
0.4905,0
0.4332,0
0.4291,0
0.4788,0
0.4553,0
0.4729,1
0.5316,1
0.5099,0
0.4695,0
