score,class
0.3518,0
0.2962,0
0.4197,0
0.6397,1
0.3211,0
0.3676,0
0.527,0
0.3831,0
0.5195,0
0.6446,1
0.4836,0
0.3446,0
0.6087,1
0.4562,0
0.589,1
0.3281,0
0.406,0
0.3566,0
0.3239,0
0.4001,0
0.3364,0
0.5104,0
0.4519,0
0.5043,0
0.3935,0
0.3092,0
0.5019,0
0.6957,1
0.3516,0
0.6087,1
0.4586,0
0.4256,0
0.5243,0
0.3653,0
0.5028,0
0.4934,0
0.4984,0
0.595,1
0.3786,0
0.645,1
0.4577,0
0.3395,0
0.6343,1
0.3374,0
0.5047,0
0.5251,0
0.6177,1
0.3306,0
0.6231,1
0.5796,1
0.4654,0
0.3423,0
0.4269,0
0.6023,1
0.514,0
0.3682,0
0.6403,1
0.6059,1
0.4463,0
0.5143,0
0.3312,0
0.4687,0
0.6603,1
0.5795,1
0.4717,0
0.52,1
0.3201,0
0.5506,1
0.402,0
0.589,1
0.3949,0
0.5536,1
0.5154,0
0.4701,0
0.6668,1
0.511,0
0.5487,0
0.662,1
0.586,1
0.6324,1
0.3484,0
0.4723,0
0.6063,1
0.6573,1
0.6411,1
0.678,1
0.6496,1
0.592,1
0.5826,1
0.4744,0
0.6551,1
0.6258,1
0.4208,0
0.624,1
0.3997,0
0.6493,1
0.6148,1
0.581,1
0.3356,0
0.5634,1
0.6636,1
0.5932,1
0.6205,1
0.5007,0
0.6288,1
0.4927,0
0.6028,1
0.7001,1
0.528,1
0.5168,0
0.6364,1
0.5829,1
0.5121,0
0.4399,0
0.6869,1
0.4914,0
0.376,0
0.4913,0
0.4856,0
0.6161,1
0.3725,0
0.4416,0
0.5671,0
0.3742,0
0.6321,1
0.3648,0
0.3593,0
0.6963,1
0.3395,0
0.4772,0
0.5,1
0.6119,1
0.3159,0
0.516,0
0.3222,0
0.6081,1
0.6317,1
0.4444,0
0.4904,0
0.5602,1
0.4998,0
0.4089,0
0.3847,0
0.6475,1
0.6624,1
0.6362,1
0.3319,0
0.3692,0
0.4969,0
0.6751,1
0.3739,0
0.5113,0
0.3174,0
0.4539,0
0.3617,0
0.693,1
0.4269,0
0.5878,1
0.5745,1
0.6689,1
0.6515,1
0.6279,1
0.3542,0
0.618,1
0.6286,1
0.6174,1
0.5655,1
0.374,0
0.3803,0
0.4376,0
0.6824,1
0.4712,0
0.309,0
0.6325,1
0.4615,0
0.3274,0
0.4937,0
0.6407,1
0.5218,0
0.5368,0
0.4915,0
0.422,0
0.3473,0
0.4849,0
0.5068,0
0.3554,0
0.502,0
0.388,0
0.3246,0
0.694,1
0.475,0
0.6763,1
0.3445,0
0.7409,1
0.3076,0
0.4358,0
0.7044,1
0.3153,0
0.3291,0
0.3265,0
0.4304,0
0.3239,0
0.2785,0
0.7314,1
0.4161,0
0.4594,0
0.6857,1
0.6893,1
0.6645,1
0.6721,1
0.6725,1
0.6847,1
0.3206,0
0.678,1
0.4077,0
0.3848,0
0.3168,0
0.7367,1
0.7127,1
0.3147,0
0.7138,1
0.4424,0
0.3056,0
0.3735,0
0.6548,1
0.2794,0
0.6786,1
0.7004,1
0.4206,0
0.5799,1
0.3225,0
0.6458,1
0.7286,1
0.397,0
0.3645,0
0.6748,1
0.7567,1
0.7106,1
0.7171,1
0.6351,1
0.4645,0
0.6628,1
0.3352,0
0.6726,1
0.47,0
0.6524,1
0.7378,1
0.4284,0
0.6527,1
0.6688,1
0.2892,0
0.2783,0
0.6251,1
0.596,1
0.7626,1
0.3013,0
0.6782,1
0.6853,1
0.7467,1
0.6932,1
0.6454,1
0.4474,0
0.7506,1
0.3342,0
0.6898,1
0.397,0
0.3111,0
0.6813,1
0.2929,0
0.6903,1
0.4377,0
0.7207,1
0.7181,1
0.6764,1
0.3117,0
0.4792,0
0.7144,1
0.4569,0
0.3997,0
0.7032,1
0.6934,1
0.6178,1
0.6795,1
0.6955,1
0.7469,1
0.7362,1
0.7361,1
0.4231,0
0.4774,0
0.3525,0
0.6836,1
0.2953,0
0.7248,1
0.7019,1
0.4541,0
0.6784,1
0.7232,1
0.6718,1
0.4274,0
0.4443,0
0.7042,1
0.4307,0
0.6781,1
0.767,1
0.6698,1
0.3843,0
0.6934,1
0.6424,1
0.6905,1
0.3436,0
0.4261,0
0.7065,1
0.3134,0
0.6916,1
0.7366,1
0.7105,1
0.3201,0
0.284,0
0.3205,0
0.4156,0
0.6759,1
0.7033,1
0.2944,0
0.7056,1
0.698,1
0.7376,1
0.7262,1
0.2713,0
0.3987,0
0.7032,1
0.3647,0
0.3205,0
0.4193,0
0.43,0
0.4544,0
0.7238,1
0.4498,0
0.3782,0
0.344,0
0.348,0
0.7255,1
0.7327,1
0.7339,1
0.4067,0
0.2887,0
0.7124,1
0.6312,1
0.6548,1
0.2687,0
0.6838,1
0.4158,0
0.3681,0
0.3749,0
0.3753,0
0.743,1
0.7143,1
0.7212,1
0.3175,0
0.4531,0
0.3347,0
0.4588,0
0.4396,0
0.306,0
0.2906,0
0.3991,0
0.6769,1
0.7032,1
0.367,0
0.3593,0
0.7166,1
0.5101,0
0.6144,1
0.6839,1
0.6981,1
0.299,0
0.6893,1
0.2722,0
0.706,1
0.6817,1
0.4158,0
0.6325,1
0.3236,0
