score,class
0.3992,0
0.9803,1
0.2419,1
0.9985,1
0.9789,1
0.0565,0
0.9744,1
0.1378,0
0.0647,0
0.9458,1
0.9623,1
0.9531,1
0.0078,0
0.9731,1
0.9933,1
0.9099,1
0.0188,0
0.9983,1
0.2394,0
0.0205,0
0.3689,1
0.9075,1
0.0302,0
0.9925,1
0.126,0
0.0061,0
0.9923,1
0.0096,0
0.9872,1
0.0774,0
0.6756,0
0.0883,0
0.6545,0
0.9998,1
0.1102,0
0.1232,0
0.9967,1
0.9719,1
0.0811,0
0.8972,1
0.0022,0
0.9934,1
0.6966,0
0.0024,0
0.9853,1
0.9987,1
0.998,1
0.0172,0
0.0194,0
0.7168,0
0.8637,1
0.9962,1
0.0496,0
0.9896,1
0.0342,0
0.0071,0
0.0415,0
0.9824,1
0.999,1
0.0148,0
0.0144,0
0.0306,0
0.0329,0
0.0108,0
0.0418,0
0.8609,1
0.1838,0
0.032,0
0.0121,0
0.9987,1
0.5663,1
0.9774,1
0.0115,0
0.0301,0
0.0157,0
0.0129,0
0.9975,1
0.9502,1
0.8667,1
0.991,1
0.9787,1
0.0126,0
0.1026,0
0.0632,0
0.99,1
0.1002,0
0.9981,1
0.0463,0
0.8484,1
0.0487,0
0.996,1
0.2842,0
0.0407,0
0.0129,0
0.0457,0
0.0265,0
0.9838,1
0.0207,0
0.6647,0
0.0192,0
0.2102,0
0.0068,0
0.0226,0
0.022,0
0.9874,1
0.0295,0
0.3722,1
0.1932,0
0.1975,0
0.0087,0
0.7503,1
0.2997,0
0.0144,0
0.0449,0
0.0256,0
0.0032,0
0.9972,1
0.9737,1
0.8209,1
0.3962,0
0.0587,0
0.0545,0
0.1077,0
0.0787,0
0.9979,1
0.973,1
0.9827,1
0.0318,0
0.0467,0
0.2277,0
0.9977,1
0.9829,1
0.0463,0
0.0802,0
0.0124,0
0.5198,0
0.0526,0
0.9989,1
0.9264,1
0.5864,1
0.7364,0
0.0544,0
0.1308,0
0.0072,0
0.9986,1
0.0269,0
0.9922,1
0.9934,1
0.9965,1
0.993,1
0.0284,0
0.9878,1
0.7655,1
0.9774,1
0.1367,0
0.0027,0
0.8664,1
0.1365,0
0.9923,1
0.9663,0
0.0779,0
0.9779,1
0.0096,0
0.1809,1
0.0595,1
0.6794,0
0.0075,0
0.4124,0
0.9709,0
0.4262,1
0.0321,0
0.0163,0
0.9924,1
0.0287,0
0.9941,1
0.0103,0
0.9907,1
0.1083,0
0.9889,1
0.1408,0
0.0921,0
0.9872,1
0.9968,1
0.0597,0
0.0464,0
0.8561,1
0.0179,0
0.1323,0
0.9788,1
0.1071,0
0.0757,0
0.9988,1
0.9287,1
0.991,1
0.9996,1
0.9993,1
0.0082,0
0.2628,0
0.0081,0
0.9863,1
0.988,1
0.0085,0
0.9912,1
0.9622,1
0.0138,0
0.9785,1
0.994,1
0.0224,0
0.9992,1
0.0044,0
0.0191,0
0.9936,1
0.0325,0
0.7912,1
0.9962,1
0.026,0
0.9866,1
0.0165,0
0.0224,0
0.006,0
0.0169,0
0.0164,0
0.1573,0
0.9942,1
0.0278,0
0.0104,0
0.0095,0
0.0105,0
0.9638,1
0.0049,0
0.9852,1
0.0086,0
0.182,0
0.0078,0
0.9551,1
0.0565,0
0.9994,1
0.9941,1
0.9958,1
0.9985,1
0.0064,0
0.0703,0
0.0094,0
0.0414,0
0.9633,1
0.0097,0
0.9428,1
0.0287,0
0.9983,1
0.9619,1
0.1045,0
0.0562,0
0.992,1
0.9965,1
0.9351,1
0.0344,0
0.8865,1
0.8587,1
0.01,0
0.9969,1
0.0431,0
0.0109,0
0.9355,1
0.0239,0
0.9483,1
0.9881,1
0.0161,0
0.0052,0
0.01,0
0.9937,1
0.7177,1
0.0212,0
0.9965,1
0.0228,0
0.0185,0
0.9826,1
0.9941,1
0.0105,0
0.9824,1
0.0093,0
0.0211,0
0.9959,1
0.9423,1
0.987,1
0.9549,1
0.0032,0
0.0368,0
0.0238,0
0.0798,0
0.0079,0
0.8676,1
0.0244,0
0.0265,0
0.9942,1
0.0038,0
0.0127,0
0.973,1
0.9979,1
0.9926,1
0.9481,1
0.047,0
0.0198,0
0.9278,1
0.0071,0
0.004,0
0.0078,0
0.0058,0
0.062,0
0.0119,0
0.9989,1
0.9715,1
0.9844,1
0.0222,0
0.9993,1
0.9992,1
0.5813,1
0.9986,1
0.0887,0
0.995,1
0.146,0
0.9945,1
0.0058,0
0.0824,0
0.9883,1
0.9902,1
0.0034,0
0.0045,0
0.9981,1
0.0331,0
0.9905,1
0.9953,1
0.9963,1
0.0154,0
0.0073,0
0.999,1
0.0235,0
0.9818,1
0.999,1
0.0827,0
0.9993,1
0.9875,1
0.9898,1
0.0153,0
0.9947,1
0.0218,0
0.9921,1
0.0347,0
0.9961,1
0.9851,1
0.0118,0
0.0571,0
0.8882,1
0.9591,1
0.0346,0
0.9906,1
0.0644,0
0.0735,0
0.155,0
0.0208,0
0.9948,1
0.006,0
0.0112,0
0.9727,1
0.9923,1
0.9786,1
0.9494,1
0.9979,1
0.9834,1
0.9818,1
0.87,1
0.9992,1
0.0061,0
0.8392,1
0.9222,1
0.0029,0
0.0066,0
0.0122,0
0.0085,0
0.9607,1
0.0083,0
0.0762,0
0.005,0
