score,class
0.6376,0
0.042,0
0.1174,0
0.9599,1
0.2858,1
1.0,1
0.1246,0
0.1468,0
0.1039,0
0.2099,0
0.268,1
0.2527,1
0.1522,1
0.4681,0
0.1386,0
0.996,1
0.0808,0
1.0,1
0.2012,0
0.0523,0
0.8445,1
0.2157,0
0.0373,0
0.0907,0
0.8213,0
0.9813,1
0.2054,0
0.071,0
0.0566,0
0.8348,1
0.1525,0
0.4646,1
0.8991,1
0.2406,0
0.2791,0
1.0,1
0.9835,1
0.9904,1
0.1202,0
0.794,1
0.0355,0
0.0657,0
0.3212,1
0.2672,0
0.2235,0
0.7991,1
0.9409,1
0.1175,0
0.0775,0
0.5795,1
0.1084,0
0.0802,0
0.0895,0
0.2825,0
0.0451,1
0.9321,1
0.2188,0
0.0938,1
0.247,1
0.9847,1
0.0601,0
0.1692,0
1.0,1
0.9489,1
0.4466,0
0.7815,1
0.9979,1
0.057,0
0.3389,1
0.1844,0
0.2338,1
0.2162,0
0.1377,0
0.9684,1
0.0927,0
0.0513,0
0.9999,1
0.2832,1
0.935,1
0.6978,0
0.0379,0
0.1516,0
0.0755,0
0.1055,1
0.9938,1
0.9996,1
0.0363,0
0.9997,1
0.1176,1
0.5862,0
0.385,0
0.1667,0
0.0922,0
0.1322,0
0.9844,1
1.0,1
0.059,1
1.0,1
0.1141,0
0.4279,0
0.7652,1
0.6674,1
0.0343,0
0.5297,1
0.9211,1
0.6675,1
0.9999,1
0.9986,1
0.8102,1
0.0617,0
0.4412,1
0.0873,0
0.1285,0
0.2924,0
0.196,0
0.5882,0
0.249,0
0.0748,0
0.0891,0
0.0235,0
0.1473,0
0.6795,1
0.4479,0
0.929,1
0.9547,1
0.1756,0
0.4058,1
1.0,1
0.9998,1
0.2096,1
0.4451,1
0.5919,1
0.1128,0
0.0426,0
0.2066,0
0.2642,0
0.9986,1
0.9987,1
0.9803,1
0.5837,1
0.1917,0
0.9947,1
0.0797,0
0.1406,0
0.1542,1
0.0655,0
0.1947,0
0.2409,1
0.4845,1
0.2754,0
0.0509,0
0.0599,0
0.078,0
1.0,1
0.4028,0
0.0923,0
0.1346,0
1.0,1
0.1824,0
0.9923,1
0.9986,1
0.0574,0
0.2484,0
0.0598,0
0.2429,1
0.3162,1
0.9898,1
0.5552,1
0.142,1
0.9978,1
0.2247,1
0.9999,1
0.2116,0
0.0528,0
0.049,0
0.1366,0
0.1405,0
0.9909,1
0.1529,0
0.0751,0
0.8135,1
0.9986,1
0.0662,0
0.6322,1
0.8484,1
0.1574,0
0.0338,0
0.0777,0
0.1802,1
0.9849,1
0.1037,0
0.1868,0
0.3752,0
0.9952,1
0.2465,0
0.4423,1
0.2061,1
0.0568,0
0.2822,0
0.9486,1
0.9965,1
0.235,0
0.113,0
0.1791,1
0.9994,1
0.1367,0
0.3003,1
0.0514,0
0.1781,0
0.9803,1
0.7649,1
0.6025,1
0.1974,0
0.1021,0
0.2434,1
0.0807,0
0.2592,0
0.9996,1
0.7124,1
0.1857,0
0.2242,1
0.9966,1
0.0298,0
0.9999,1
0.2319,0
0.2899,1
0.221,0
0.0847,0
0.9149,1
0.0769,0
0.2025,0
0.1442,0
0.0892,0
0.0318,0
0.2092,0
0.2017,0
0.074,0
0.9267,1
0.7805,1
0.1584,0
0.1681,0
0.1306,0
0.999,1
0.9664,1
0.9975,1
0.0587,0
0.9134,1
0.0643,0
0.1872,0
0.4122,1
0.6849,1
0.9948,1
0.1364,0
0.0668,0
0.3016,0
0.1612,0
0.4623,1
0.0937,0
0.0766,0
0.9546,1
0.5559,1
0.9934,1
0.963,1
0.3369,1
0.1612,0
0.8992,1
0.18,0
0.4564,1
0.1276,0
0.2011,0
0.0765,0
0.3681,1
0.3092,0
0.9953,1
0.0623,0
0.1101,0
0.9942,1
0.7229,1
0.9333,1
0.8763,1
0.0548,0
0.364,1
0.107,0
0.2139,0
0.9983,1
0.1482,0
0.9983,1
0.9475,1
0.1574,0
0.4221,1
0.5575,1
0.0883,0
0.0396,0
0.9999,1
0.1965,0
0.0805,0
0.0754,0
0.7488,1
0.119,0
0.1726,0
0.0867,0
0.2216,0
0.2942,0
0.0436,0
0.9991,1
0.7565,1
0.9888,1
1.0,1
0.1126,0
0.9905,1
0.1219,0
0.104,0
0.1136,0
0.9999,1
0.1065,0
0.7029,1
0.2388,1
0.2006,1
0.1758,0
0.53,1
0.0779,0
0.2223,0
0.1489,0
0.0603,0
0.9997,1
0.144,0
0.0456,0
0.0774,0
0.4508,0
0.9986,1
0.9976,1
0.9886,1
0.9535,1
0.1222,0
0.9991,1
0.1355,0
0.097,0
0.0595,0
0.0847,0
0.0694,0
0.0661,0
0.2043,0
0.9997,1
0.2307,0
0.0482,0
0.3855,0
0.3088,1
0.9919,1
0.6548,1
0.8114,1
0.0511,0
0.2925,1
0.153,0
0.1072,0
0.6466,1
0.9989,1
0.9914,1
0.0852,0
0.0857,0
0.0734,0
0.096,0
0.9996,1
0.5381,1
0.1668,0
0.1158,0
0.3082,1
0.9493,1
0.0756,0
0.111,0
0.9663,1
0.048,0
0.2497,0
0.1578,0
0.3608,1
0.9464,1
0.147,0
0.9954,1
0.085,1
0.0345,0
0.164,0
0.077,0
0.4962,1
