score,class
0.5009,1
0.5603,1
0.5231,0
0.5843,1
0.5116,1
0.4342,0
0.3555,0
0.5721,1
0.5219,1
0.6267,1
0.4406,1
0.3496,0
0.3882,0
0.3806,0
0.4571,1
0.4786,1
0.3274,0
0.5052,1
0.3995,0
0.537,1
0.4371,0
0.4727,0
0.5113,1
0.565,1
0.502,1
0.5299,1
0.4475,0
0.4095,0
0.4601,0
0.5291,1
0.5466,1
0.3576,0
0.4577,0
0.5278,1
0.5695,1
0.4505,0
0.3512,0
0.4038,0
0.4251,1
0.401,0
0.4555,0
0.3614,0
0.4005,1
0.4898,1
0.4187,0
0.5217,1
0.493,0
0.4487,0
0.443,1
0.4024,0
0.5541,1
0.4149,0
0.432,0
0.4782,1
0.3938,0
0.5621,1
0.4682,1
0.4432,0
0.5282,1
0.5687,1
0.3585,0
0.4307,0
0.5193,1
0.4831,1
0.5031,1
0.3686,0
0.4604,1
0.434,0
0.4037,0
0.4383,0
0.4101,0
0.3721,0
0.4781,0
0.4811,0
0.3125,0
0.3995,0
0.3528,0
0.4121,0
0.4809,1
0.404,0
0.4824,0
0.4014,0
0.4108,0
0.5759,1
0.3395,0
0.4013,0
0.5493,1
0.4123,0
0.4341,1
0.613,1
0.3943,0
0.509,0
0.431,0
0.5075,1
0.4505,0
0.2703,0
0.5269,1
0.3794,0
0.5462,1
0.4847,1
0.3718,0
0.3978,0
0.4702,0
0.4347,0
0.4323,0
0.3851,0
0.5324,1
0.5535,1
0.463,1
0.5018,1
0.5155,1
0.4575,1
0.4418,1
0.4401,1
0.3794,0
0.4404,1
0.4823,1
0.4722,1
0.5839,1
0.5097,1
0.4036,1
0.4975,1
0.5292,1
0.3597,0
0.3459,0
0.4228,0
0.5709,1
0.4718,0
0.3327,0
0.3243,0
0.5122,1
0.3658,0
0.4263,0
0.384,0
0.4273,0
0.4197,0
0.4014,0
0.4219,0
0.5015,0
0.4825,0
0.5572,1
0.4523,1
0.5657,1
0.3829,0
0.5093,1
0.5138,1
0.5057,1
0.4627,1
0.5815,1
0.5482,1
0.3758,0
0.4501,1
0.4293,0
0.5471,1
0.4532,0
0.4052,0
0.4335,0
0.4612,1
0.3237,0
0.3907,0
0.5409,1
0.4698,1
0.3545,0
0.5082,1
0.4256,0
0.4227,0
0.4373,0
0.3997,0
0.3948,0
0.4137,0
0.475,0
0.5758,1
0.538,1
0.3113,0
0.4798,0
0.6016,1
0.3413,0
0.5588,1
0.6417,1
0.4526,0
0.3805,0
0.4545,0
0.4375,0
0.5207,1
0.5338,1
0.4818,0
0.4491,1
0.4213,1
0.544,1
0.3605,0
0.434,0
0.2274,0
0.3482,0
0.287,0
0.3229,0
0.6875,1
0.2892,0
0.4104,0
0.3836,0
0.296,0
0.2299,0
0.2159,0
0.3076,0
0.591,1
0.6528,1
0.6504,1
0.5344,1
0.6213,1
0.3373,0
0.3146,0
0.408,0
0.3233,0
0.3366,0
0.4151,0
0.5963,1
0.5946,1
0.3047,0
0.527,1
0.7029,1
0.3443,0
0.5882,1
0.3156,0
0.35,0
0.3823,0
0.6633,1
0.715,1
0.6538,1
0.306,0
0.2993,0
0.5666,1
0.3568,0
0.3333,0
0.6124,1
0.3997,0
0.536,1
0.5407,1
0.2561,0
0.2422,0
0.2822,0
0.388,0
0.2806,0
0.6629,1
0.3362,0
0.2506,0
0.3115,0
0.585,1
0.5776,1
0.607,1
0.326,0
0.5416,1
0.4291,0
0.6989,1
0.4022,0
0.6071,1
0.2509,0
0.661,1
0.4117,0
0.6394,1
0.5833,1
0.3098,0
0.302,0
0.309,0
0.6482,1
0.285,0
0.3093,0
0.2914,0
0.5892,1
0.4621,0
0.6637,1
0.2665,0
0.6089,1
0.5476,1
0.6248,1
0.6065,1
0.2582,0
0.3043,0
0.2991,0
0.3038,0
0.6286,1
0.2292,0
0.6447,1
0.5841,1
0.418,0
0.2858,0
0.5864,1
0.6198,1
0.627,1
0.3601,0
0.2698,0
0.3452,0
0.3019,0
0.6795,1
0.2694,0
0.2905,0
0.2899,0
0.6403,1
0.6995,1
0.2921,0
0.273,0
0.6764,1
0.6147,1
0.621,1
0.2601,0
0.2672,0
0.568,1
0.2854,0
0.552,1
0.5665,1
0.5416,1
0.2616,0
0.5616,1
0.6166,1
0.6551,1
0.597,1
0.2151,0
0.6232,1
0.2825,0
0.3229,0
0.533,1
0.5806,1
0.245,0
0.2732,0
0.5821,1
0.3251,0
0.2963,0
0.6018,1
0.291,0
0.5567,1
0.5627,1
0.4286,0
0.2669,0
0.584,1
0.3019,0
0.5929,1
0.6341,1
0.6531,1
0.6083,1
0.3225,0
0.5897,1
0.2193,0
0.3219,0
0.3566,0
0.7025,1
0.5664,1
0.2637,0
0.632,1
0.2097,0
0.5646,1
0.2711,0
0.6354,1
0.2309,0
0.686,1
0.6189,1
0.3025,0
0.6389,1
0.5768,1
0.6392,1
0.2839,0
0.5516,1
0.3129,0
0.3189,0
0.2257,0
0.2337,0
0.2417,0
0.6569,1
0.6301,1
0.2607,0
0.6221,1
0.6077,1
0.2825,0
0.6269,1
0.1807,0
0.3752,0
0.4012,0
0.3864,0
0.3426,0
0.6652,1
0.6945,1
0.6292,1
0.3528,0
0.3454,0
0.6977,1
