score,class
0.998,1
0.0088,0
0.1142,0
0.0048,0
0.837,1
0.0144,0
0.1333,0
0.8561,1
0.0029,0
0.0643,0
0.1352,0
0.7275,1
0.2154,0
0.0023,0
0.2227,1
0.0504,0
0.1413,0
0.0052,0
0.0045,0
0.9885,1
0.9715,1
0.5369,1
0.9791,1
0.0011,0
0.9394,1
0.8167,1
0.0867,0
0.0069,0
0.0233,0
0.9948,1
0.4939,0
0.936,1
0.9891,1
0.8664,1
0.9974,1
0.0075,0
0.5132,0
0.9931,1
0.1025,0
0.0062,0
0.1929,1
0.0017,0
0.0231,0
0.9893,1
0.0061,0
0.9825,1
0.0041,0
0.9355,1
0.9928,1
0.0007,0
0.001,0
0.9909,1
0.2132,0
0.0555,0
0.9583,1
0.9347,1
0.0025,0
0.0048,0
0.9873,1
0.9344,1
0.0047,0
0.0054,0
0.9684,1
0.1778,0
0.9795,1
0.2072,0
0.2654,0
0.0025,0
0.9884,1
0.98,1
0.3213,1
0.9747,1
0.7756,1
0.0054,0
0.5291,1
0.3204,0
0.9639,1
0.9671,1
0.0724,0
0.9153,1
0.0013,0
0.9092,1
0.293,0
0.1682,0
0.0031,0
0.0093,0
0.9896,1
0.0108,0
0.9939,1
0.0112,0
0.9748,1
0.2065,0
0.0037,0
0.0043,0
0.7126,1
0.0211,0
0.0045,0
0.9094,1
0.6601,1
0.8419,1
0.0215,0
0.9055,1
0.9458,1
0.8631,1
0.9913,1
0.0329,0
0.6924,1
0.9232,1
0.0042,0
0.0083,0
0.1154,0
0.0376,0
0.0021,0
0.0192,0
0.0167,0
0.0268,0
0.9907,1
0.974,1
0.9001,1
0.9903,1
0.0076,0
0.9912,1
0.9964,1
0.8225,1
0.9212,1
0.9897,1
0.0034,0
0.9703,1
0.3344,0
0.9217,0
0.0064,0
0.9898,1
0.3779,0
0.9777,1
0.0221,0
0.001,0
0.9239,1
0.0072,0
0.0034,0
0.7253,1
0.9889,1
0.0564,0
0.9773,1
0.0444,0
0.9855,1
0.8947,1
0.9656,1
0.0028,0
0.3828,1
0.1288,0
0.2691,0
0.9768,1
0.0972,0
0.6752,1
0.9905,1
0.0285,0
0.9903,1
0.0853,0
0.2492,0
0.9756,1
0.0017,0
0.7364,1
0.9012,1
0.0849,0
0.6253,1
0.9362,1
0.002,0
0.9279,1
0.8597,1
0.0024,0
0.0056,0
0.185,0
0.2635,0
0.9605,1
0.818,1
0.7738,1
0.3507,1
0.0083,0
0.137,0
0.9871,1
0.9711,1
0.0221,0
0.016,0
0.0623,0
0.4269,0
0.0103,0
0.0037,0
0.0472,0
0.1105,0
0.0322,0
0.9447,1
0.0107,0
0.9948,1
0.9908,1
0.0218,0
0.9995,1
0.0169,0
0.8333,1
0.0016,0
0.9892,1
0.0279,0
0.0031,0
0.9006,1
0.9578,1
0.0015,0
0.0043,0
0.981,1
0.0254,0
0.8053,1
0.0013,0
0.0023,0
0.979,1
0.7168,1
0.9857,1
0.0058,0
0.9903,1
0.1007,0
0.9843,1
0.0096,0
0.0675,0
0.8896,1
0.0263,0
0.9943,1
0.0575,0
0.0036,0
0.0065,0
0.0013,0
0.9533,1
0.889,1
0.006,0
0.0865,0
0.9829,1
0.0411,0
0.0051,0
0.9987,1
0.019,0
0.0288,0
0.0553,0
0.9835,1
0.0103,0
0.9721,1
0.8858,1
0.0013,0
0.9951,1
0.0714,0
0.95,1
0.0379,0
0.0223,0
0.0423,0
0.9477,1
0.9711,1
0.0475,0
0.0019,0
0.9453,1
0.9899,1
0.9916,1
0.9728,1
0.9961,1
0.0129,0
0.0067,0
0.003,0
0.0493,0
0.0304,0
0.8316,1
0.9319,1
0.0651,0
0.001,0
0.0024,0
0.0012,0
0.0545,0
0.9962,1
0.0182,0
0.0038,0
0.9863,1
0.9592,1
0.9975,1
0.1087,0
0.9937,1
0.0042,0
0.0441,0
0.0507,0
0.0019,0
0.9985,1
0.9487,1
0.0026,0
0.9675,1
0.1181,0
0.9258,1
0.0006,0
0.002,0
0.004,0
0.0018,0
0.0691,0
0.0022,0
0.9976,1
0.9927,1
0.101,0
0.0026,0
0.0256,0
0.0014,0
0.0016,0
0.9801,1
0.995,1
0.9816,1
0.0427,0
0.0015,0
0.0424,0
0.9868,1
0.9927,1
0.0392,0
0.9733,1
0.9793,1
0.1088,0
0.007,0
0.9934,1
0.9858,1
0.9961,1
0.0361,0
0.0018,0
0.9913,1
0.0401,0
0.9883,1
0.0089,0
0.012,0
0.0247,0
0.0412,0
0.9885,1
0.0094,0
0.8933,1
0.0047,0
0.0324,0
0.9883,1
0.986,1
0.0024,0
0.9936,1
0.0305,0
0.9818,1
0.9884,1
0.0105,0
0.3462,0
0.9112,1
0.0851,0
0.0059,0
0.9815,1
0.9922,1
0.0504,0
0.0151,0
0.9766,1
0.9861,1
0.9682,1
0.9002,1
0.9875,1
0.0069,0
0.0117,0
0.0254,0
0.9894,1
0.8416,1
0.9989,1
0.9959,1
0.051,0
0.9941,1
0.9116,1
0.0564,0
0.9966,1
0.9819,1
0.0107,0
0.0095,0
0.026,0
0.1514,0
0.9795,1
0.0143,0
0.9687,1
0.975,1
0.9967,1
0.0215,0
0.0019,0
0.9943,1
0.0278,0
0.0086,0
0.0518,0
0.1142,0
0.002,0
