score,class
0.1211,0
0.8945,1
0.0393,0
0.0409,0
0.053,0
0.978,1
0.6134,1
0.0748,0
0.0506,0
0.9705,1
0.0365,0
0.6252,1
0.0983,0
0.3312,1
1.0,1
1.0,1
0.0639,0
0.984,1
0.1446,0
0.9996,1
0.0363,0
0.0949,0
0.3805,1
0.3461,1
0.6013,1
0.0903,0
0.9046,1
0.1747,0
0.0745,0
0.9828,1
1.0,1
0.1131,0
0.0727,0
0.0734,0
0.9964,1
0.1127,0
0.9513,1
0.0933,0
0.8091,1
0.0551,0
0.9693,1
0.0542,0
0.999,1
0.0242,0
0.9767,1
0.9316,1
0.0472,0
0.0449,0
0.0779,0
0.3131,0
0.501,1
0.9932,1
0.2362,0
0.1319,0
0.0738,0
0.0589,0
0.9995,1
0.0461,0
0.2334,0
0.9637,1
0.6944,1
0.9937,1
0.1466,0
0.8691,1
0.0312,0
0.9887,1
0.0553,0
0.0315,0
1.0,1
0.0538,0
0.0648,0
0.1023,0
0.4057,1
0.0724,0
0.1717,0
0.08,0
0.9979,1
0.3741,1
0.0751,0
0.8259,1
0.0735,0
0.999,1
0.237,0
0.9695,1
0.6629,1
0.0797,0
0.029,0
0.0875,0
0.1119,0
0.9063,1
0.9885,1
0.1488,0
0.1287,0
0.1783,0
0.05,0
0.5622,0
1.0,1
0.0681,0
0.3677,1
0.0705,0
0.9998,1
0.3999,1
0.2581,0
0.0733,0
0.1781,0
0.0884,0
0.862,1
0.0874,0
0.1232,0
0.0953,0
0.0462,0
0.3491,1
0.0676,0
0.1123,0
0.3714,0
0.0428,0
0.9999,1
0.0909,0
0.9997,1
0.041,0
0.0423,0
0.9999,1
0.0753,0
1.0,1
0.9979,1
0.0669,0
0.2557,0
0.0505,0
0.2396,1
0.0573,0
0.1247,0
0.1265,0
0.9983,1
0.0917,0
0.2113,0
0.1669,0
0.2028,0
0.3682,1
0.0786,0
0.1494,0
0.1636,0
0.3486,1
0.9845,1
0.9999,1
1.0,1
0.5578,1
0.868,1
1.0,1
0.0622,0
0.7332,1
0.2625,0
0.2337,1
0.9223,1
0.9364,1
0.8489,1
0.652,1
0.9207,1
0.1364,0
0.6058,1
0.029,0
0.7906,1
0.9917,1
0.1319,0
0.0716,0
0.956,1
0.3439,1
0.0719,0
0.7882,1
0.089,0
0.9353,1
0.0548,0
0.7706,1
0.8584,1
0.089,0
0.9838,1
0.9778,1
0.166,0
1.0,1
0.3343,1
1.0,1
0.0545,0
0.9998,1
1.0,1
0.9995,1
0.0549,0
0.0987,0
0.2924,1
0.6164,1
0.1073,0
0.0722,0
0.4024,1
0.0839,0
0.6341,1
0.0503,0
0.0861,0
0.0438,0
0.9938,1
0.0512,0
0.9841,1
0.1629,0
0.9999,1
0.4156,1
0.1243,0
0.113,0
0.0451,0
0.9958,1
0.9913,1
0.046,0
0.0367,0
0.0395,0
0.5756,1
0.9903,1
0.1439,0
0.12,0
0.0392,0
0.0823,0
0.1849,1
0.1699,0
0.0267,0
0.7195,1
0.998,1
0.122,0
1.0,1
0.0791,0
0.0461,0
0.4371,1
0.0514,0
0.0293,0
0.4692,1
0.8419,1
0.4136,1
0.1603,0
0.9867,1
0.518,1
0.3629,1
0.0451,0
0.039,0
1.0,1
0.1143,0
0.1045,0
0.9886,1
0.9487,1
0.768,1
0.959,1
0.1221,0
0.718,1
0.5298,1
0.0593,0
0.2409,0
0.1126,0
0.0344,0
0.0272,0
0.0919,0
0.9805,1
0.0759,0
0.9992,1
0.078,0
1.0,1
0.6613,1
0.4642,1
0.1256,0
0.1323,0
0.238,0
0.9352,1
0.1336,0
0.3365,1
0.0756,0
0.0369,0
0.8094,1
0.7285,1
0.9997,1
0.037,0
0.2209,0
0.0836,0
0.0843,0
0.3838,1
0.9889,1
0.0632,0
0.0948,0
0.0564,0
0.0417,0
1.0,1
0.0484,0
0.9078,1
0.113,0
0.0894,0
0.0422,0
0.0662,0
0.4975,1
1.0,1
0.9985,1
1.0,1
0.9654,1
0.2269,0
0.0346,0
0.0883,0
0.0677,0
1.0,1
0.5892,1
0.4573,1
0.9996,1
0.1203,0
0.0861,0
0.9999,1
0.7638,1
0.9908,1
0.9921,1
0.4847,1
1.0,1
0.0312,0
0.0393,0
0.4279,1
0.3267,1
0.1121,0
0.057,0
0.9751,1
0.0758,0
0.1406,0
0.9897,1
0.1018,0
0.9507,1
0.8858,1
0.7867,1
0.0342,0
0.0887,0
0.1021,0
0.7379,1
0.9994,1
0.0462,0
0.0327,0
0.9952,1
0.6171,1
0.1376,0
0.0545,0
0.0951,0
0.9705,1
0.9126,1
0.9565,1
0.1126,0
0.8911,1
0.0613,0
0.9988,1
0.141,0
0.0561,0
0.9951,1
0.0885,0
0.4828,1
0.0493,0
0.0399,0
0.0791,0
0.0697,0
0.0488,0
0.1526,0
0.6552,0
0.0631,0
0.9877,1
0.0378,0
0.9999,1
0.1043,0
0.0848,0
0.071,0
0.4518,1
0.0685,0
0.464,1
0.1877,0
0.956,1
1.0,1
0.0957,0
0.5564,1
1.0,1
0.977,1
0.9998,1
0.9394,1
0.0649,0
0.0986,0
0.2098,0
0.4252,0
0.138,0
0.0401,0
0.0814,0
0.9982,1
