score,class
0.543,1
0.3352,0
0.5704,1
0.4661,0
0.2444,0
0.3687,1
0.8295,1
0.3526,1
0.3556,0
0.2985,0
0.5451,1
0.4707,1
0.2335,0
0.3354,0
0.4401,0
0.7487,1
0.3539,0
0.3704,1
0.3623,0
0.2965,0
0.4053,1
0.6987,1
0.35,0
0.3762,1
0.3077,1
0.301,0
0.7876,1
0.3148,0
0.3791,0
0.239,1
0.4776,0
0.3575,0
0.2505,0
0.2834,0
0.4364,1
0.3629,1
0.2738,0
0.3027,0
0.3439,0
0.2711,0
0.4861,0
0.5011,1
0.2903,0
0.9955,1
0.4048,0
0.971,1
0.3238,0
0.4854,0
0.6209,1
0.261,0
0.2766,0
0.7218,1
0.3177,0
0.3726,0
0.3109,0
0.5261,1
0.3085,0
0.3076,0
0.6163,1
0.298,0
0.3733,0
0.3324,1
0.6663,0
0.2346,0
0.3368,0
0.5165,0
0.3266,0
0.4279,0
0.2714,0
0.2436,0
0.4466,0
0.3519,0
0.8555,1
0.2697,0
0.395,0
0.3323,0
0.3744,0
0.9721,1
0.3013,0
0.3805,0
0.4712,1
0.3947,0
0.4145,0
0.3914,0
0.6281,0
0.3222,1
0.7361,1
0.3182,0
0.7445,1
0.3044,0
0.6004,1
0.2696,0
0.9417,1
0.3451,0
0.3253,0
0.4135,1
0.5275,1
0.3658,0
0.4304,1
0.3378,0
0.6601,1
0.3114,0
0.2213,0
0.5594,1
0.2794,0
0.2681,0
0.9688,1
0.9317,1
0.3041,0
0.4168,1
0.6899,1
0.3851,0
0.5415,1
0.4794,1
0.3307,0
0.9853,1
0.282,0
0.5676,1
0.3104,1
0.3725,0
0.3463,0
0.9903,1
0.3472,0
0.3423,0
0.5282,0
0.3778,1
0.3742,1
0.9934,1
0.5486,1
0.3835,1
0.259,0
0.2592,0
0.7394,1
0.4126,1
0.7294,1
0.4981,1
0.4744,1
0.3707,0
0.5425,1
0.2786,0
0.2837,1
0.3501,0
0.5271,0
0.3786,1
0.4044,0
0.2454,0
0.2261,1
0.3443,0
0.9699,1
0.3277,1
0.3388,0
0.8023,1
0.2866,0
0.3007,0
0.1999,0
0.3171,0
0.35,0
0.4802,1
0.317,1
0.3829,1
0.4443,0
0.3561,1
0.3531,1
0.4708,1
0.9721,1
0.2183,0
0.5008,0
0.2781,0
0.2801,0
0.4308,0
0.6503,1
0.3058,0
0.422,0
0.4137,1
0.9486,1
0.299,0
0.4698,0
0.3691,0
0.2626,0
0.4806,1
0.3718,0
0.6424,0
0.4937,1
0.2954,0
0.2994,0
0.9598,1
0.3005,0
0.3381,0
0.3062,0
0.3028,0
0.2916,0
0.3314,0
0.312,0
0.4523,1
0.517,1
0.6623,1
0.3003,0
0.3129,0
0.9116,1
0.494,0
0.9427,1
0.9895,1
0.4372,0
0.3135,0
0.8335,1
0.3884,0
0.6463,1
0.3373,0
0.3585,0
0.3137,0
0.6384,1
0.4094,0
0.3181,0
0.4847,1
0.2991,0
0.3262,0
0.3121,0
0.3213,0
0.2924,0
0.2301,1
0.2954,1
0.3835,0
0.326,0
0.4181,0
0.3263,0
0.3278,0
0.5759,1
0.2877,0
0.4229,0
0.5882,1
0.6997,1
0.99,1
0.2809,0
0.2688,1
0.6903,1
0.8953,1
0.475,0
0.3547,0
0.4671,1
0.3383,0
0.2754,0
0.3012,0
0.9853,1
0.356,0
0.286,1
0.2764,0
0.3403,0
0.3226,0
0.3079,0
0.3249,1
0.478,1
0.314,1
0.2562,1
0.2292,0
0.2986,0
0.9613,1
0.3747,0
0.8148,1
0.8561,1
0.2676,0
0.3217,0
0.3285,0
0.2922,0
0.2756,0
0.4365,1
0.5398,1
0.6475,1
0.2843,0
0.3777,1
0.262,0
0.9519,1
0.3755,1
0.268,0
0.371,0
0.5884,0
0.4089,1
0.8448,1
0.3261,1
0.4029,1
0.3024,0
0.3915,0
0.3216,0
0.4914,1
0.2622,0
0.624,1
0.3589,0
0.5624,0
0.3463,0
0.5478,0
0.3613,1
0.3022,0
0.8678,1
0.2736,0
0.3529,0
0.4054,1
0.3235,0
0.9397,1
0.2844,0
0.303,0
0.5066,1
0.5891,0
0.3633,1
0.2229,0
0.3068,0
0.9204,1
0.6734,1
0.7729,1
0.9731,1
0.2835,0
0.8204,1
0.2995,0
0.2936,0
0.6735,1
0.9859,1
0.2364,0
0.3749,0
0.2584,0
0.3122,0
0.3416,0
0.9552,1
0.2715,0
0.4756,1
0.3119,0
0.5984,1
0.4857,1
0.4796,1
0.5169,0
0.3322,1
0.3141,0
0.9842,1
0.8112,1
0.3469,0
0.3218,0
0.3174,0
0.234,0
0.2709,0
0.431,1
0.2695,0
0.9207,1
0.4097,0
0.3809,0
0.9679,1
0.3044,0
0.51,1
0.3183,1
0.4498,1
0.2907,0
0.5053,0
0.3885,1
0.2764,0
0.9593,1
0.3454,0
0.3416,1
0.8676,1
0.3112,0
0.3988,0
0.3139,1
0.3888,0
0.4911,1
0.5063,0
0.9861,1
0.6539,0
0.2693,0
0.9837,1
0.7896,0
0.2534,0
0.3336,0
0.3463,0
0.3102,1
0.3267,0
0.4091,0
0.3587,0
0.2545,0
0.3016,0
0.8034,1
0.8884,1
0.7017,1
0.983,1
0.4124,0
0.8739,1
0.9089,1
0.2785,1
0.5881,1
0.3502,0
0.2491,1
0.2974,0
0.3702,0
0.282,0
0.2617,0
0.3346,1
0.6853,0
0.7374,0
0.3554,0
0.3259,0
0.3536,0
0.5927,1
0.2986,1
0.6151,1
0.4103,1
0.6187,0
0.9083,1
0.303,0
0.9379,1
0.28,0
0.2698,0
0.239,0
0.4356,0
0.3215,0
0.5915,1
0.4709,1
0.3619,0
0.4192,1
0.2635,0
0.5202,0
0.5237,1
0.4841,1
0.4673,1
0.5601,0
0.283,0
0.3617,1
0.3795,1
0.3057,0
0.4629,1
0.3574,1
0.3139,0
0.4694,1
0.5433,1
0.3435,0
0.3272,0
0.3057,0
0.3299,0
0.64,1
0.2752,0
0.8336,1
0.9925,1
0.3279,0
0.557,0
0.8525,1
0.9697,1
0.3098,0
0.3455,0
0.3303,0
0.3219,0
0.5841,0
0.7674,0
0.6189,1
0.6019,1
0.3219,0
0.3828,0
0.3512,0
0.3916,1
0.3885,0
0.305,0
0.9909,1
0.2728,0
0.2971,0
0.5608,0
0.6172,1
0.2858,0
0.2595,0
0.2798,0
0.4226,1
0.2805,0
0.5219,1
0.483,0
0.3082,0
0.3081,0
0.2722,0
0.3057,0
0.9058,1
0.9572,1
0.3429,1
0.9749,1
0.3842,1
0.3677,0
0.9707,1
0.3076,0
0.3446,0
0.9836,1
0.9949,1
0.3138,0
0.4857,0
0.8206,1
0.872,1
0.3765,0
0.4137,0
0.3971,0
0.2862,0
0.9995,1
0.4033,0
0.3792,1
0.3284,0
0.4626,0
0.5127,1
0.3034,0
0.4166,1
0.4707,0
0.3221,1
0.4313,1
0.889,1
0.2488,0
0.7258,1
0.3536,1
0.3724,1
0.2376,0
0.2952,0
0.9542,1
0.3223,1
0.2745,0
0.286,0
0.6463,1
0.2333,0
0.3466,1
0.2723,1
0.3686,0
0.4069,0
0.2829,0
0.5202,0
0.762,1
0.8463,1
0.2943,0
0.7709,1
0.2795,0
0.9994,1
0.2972,0
0.2877,0
0.4332,0
0.4361,0
0.3507,0
0.3779,0
0.3783,0
0.641,1
0.2856,0
0.2809,0
0.6099,1
0.3576,1
0.206,0
0.3482,0
0.3231,1
0.2962,0
0.961,1
0.2615,0
0.3098,0
0.3147,1
0.7226,1
0.5247,0
0.5516,1
0.3055,0
0.2743,0
0.2992,0
0.3198,0
0.3153,1
0.8971,1
0.8748,1
