score,class
0.5002,1
0.4206,0
0.5417,1
0.3736,0
0.4329,0
0.4578,0
0.4872,0
0.5301,1
0.4453,0
0.5868,1
0.3858,0
0.4128,0
0.5601,1
0.4759,0
0.4445,0
0.5625,1
0.5101,1
0.4843,0
0.4065,0
0.4259,0
0.3915,0
0.3877,0
0.4645,0
0.5583,1
0.5475,1
0.472,0
0.5844,1
0.526,1
0.4193,0
0.4397,0
0.4086,0
0.5632,1
0.5082,1
0.5189,1
0.5383,1
0.591,1
0.4936,0
0.3864,0
0.4222,0
0.494,1
0.4377,0
0.5543,1
0.5716,1
0.4164,0
0.5826,1
0.5841,1
0.4736,0
0.4882,0
0.4724,1
0.4613,0
0.5194,1
0.3659,0
0.4621,0
0.5533,1
0.5144,1
0.3792,0
0.4855,0
0.4867,0
0.5457,1
0.5258,1
0.5526,1
0.5287,1
0.4204,0
0.5865,1
0.3907,0
0.5415,1
0.4417,0
0.375,0
0.5346,0
0.5338,1
0.5313,1
0.5136,1
0.5045,1
0.4687,0
0.4376,0
0.471,0
0.4406,0
0.4836,1
0.5557,1
0.4994,0
0.4146,0
0.5716,1
0.5577,1
0.5712,1
0.539,1
0.3862,0
0.5583,1
0.4035,0
0.6388,1
0.5495,1
0.601,1
0.4304,0
0.5247,0
0.4622,0
0.5396,1
0.579,1
0.4958,1
0.4853,0
0.4145,0
0.5196,1
0.4991,0
0.5736,1
0.5771,1
0.5062,1
0.5432,1
0.4488,0
0.52,1
0.5276,1
0.4271,0
0.5301,1
0.4988,1
0.4291,0
0.4593,0
0.4943,1
0.5548,1
0.521,1
0.5483,1
0.4059,0
0.4628,0
0.6006,1
0.4165,0
0.4142,0
0.5169,0
0.4816,0
0.4639,0
0.5841,1
0.5867,1
0.4531,0
0.4271,0
0.5261,1
0.5308,1
0.5754,1
0.4842,1
0.4963,0
0.5133,1
0.408,0
0.4406,0
0.4795,0
0.4827,1
0.45,0
0.4086,0
0.5642,1
0.3988,0
0.5161,1
0.4947,0
0.5251,1
0.5715,1
0.4928,1
0.3927,0
0.4465,0
0.4914,1
0.532,1
0.6094,1
0.5501,1
0.4715,0
0.4823,1
0.5519,1
0.5067,1
0.42,0
0.3981,0
0.447,0
0.4473,0
0.5977,1
0.576,1
0.4681,0
0.5609,1
0.5482,1
0.6201,1
0.54,1
0.5402,1
0.4989,1
0.3888,0
0.4357,0
0.523,1
0.5065,1
0.4666,0
0.623,1
0.4471,0
0.4931,0
0.6203,1
0.5028,0
0.5246,0
0.4746,1
0.4305,0
0.5796,1
0.4395,0
0.4481,0
0.4597,0
0.3958,0
0.4864,0
0.5678,1
0.5991,1
0.6179,1
0.3748,0
0.3895,0
0.3832,0
0.3882,0
0.3717,0
0.5086,0
0.5059,1
0.5636,1
0.6038,1
0.5361,0
0.5289,1
0.5265,1
0.5455,1
0.4729,0
0.5048,1
0.4211,0
0.5111,0
0.5183,1
0.4464,0
0.5157,1
0.4386,0
0.4257,0
0.4626,0
0.5081,0
0.4352,0
0.5483,1
0.5013,1
0.4207,0
0.4599,0
0.4969,1
0.5335,1
0.4261,0
0.5399,1
0.6199,1
0.4613,0
0.4653,0
0.4748,0
0.459,0
0.3694,0
0.5254,1
0.4715,0
0.4508,0
0.3878,0
0.4787,0
0.432,0
0.5005,1
0.5031,1
0.3936,0
0.3776,0
0.3948,0
0.4194,0
0.3957,0
0.5295,1
0.5634,1
0.5035,1
0.5055,0
0.4435,0
0.574,1
0.5243,1
0.4954,0
0.4906,0
0.5116,0
0.5182,1
0.3974,0
0.5471,1
0.365,0
0.4121,0
0.499,1
0.5763,1
0.5063,0
0.503,1
0.4147,0
0.483,0
0.5892,1
0.4869,1
0.5952,1
0.4627,0
0.4127,0
0.4603,0
0.489,0
0.4381,0
0.5343,1
0.6188,1
0.5582,1
0.4933,1
0.3713,0
0.5492,1
0.5709,1
0.4528,0
0.6255,1
0.5574,1
0.4799,0
0.5463,1
0.5951,1
0.4006,0
0.5455,1
0.5181,1
0.5674,1
0.4762,0
0.5115,1
0.44,0
0.6304,1
0.3999,0
0.5399,1
0.5255,1
0.4595,0
0.3791,0
0.404,0
0.4132,0
0.5289,1
0.5787,1
0.4509,0
0.3862,0
0.444,0
0.5348,1
0.4201,0
0.606,1
0.5509,1
0.4282,0
0.5384,1
0.4337,0
0.4611,0
0.478,0
0.3776,0
0.3818,0
0.5249,1
0.4569,0
0.3704,0
0.4954,0
0.4171,0
0.5218,1
0.3727,0
0.3928,0
0.4355,0
0.4005,0
0.528,1
0.3832,0
0.5979,1
0.4635,0
0.5346,1
0.4844,1
0.6176,1
0.407,0
0.5293,1
0.3941,0
0.5616,1
0.4322,0
0.4299,0
0.5936,1
0.4819,1
0.434,0
0.4435,0
0.4238,0
0.3715,0
0.3726,0
0.389,0
0.535,1
0.5571,1
0.5865,1
0.3948,0
0.4337,0
0.5463,1
0.3767,0
0.3981,0
0.4543,0
0.3553,0
0.3411,0
0.5726,1
0.4183,0
0.321,0
0.3817,0
0.3612,0
0.4137,0
0.3588,0
0.4461,0
0.552,1
0.5489,1
0.6348,1
0.3495,0
0.4158,0
0.372,0
0.4055,0
0.3792,0
0.4317,0
0.4408,0
0.5576,1
0.5615,1
0.4171,0
0.5212,1
0.5767,1
0.403,0
0.5141,1
0.3862,0
0.5866,1
0.6052,1
0.5884,1
0.5983,1
0.5242,1
0.3951,0
0.5195,1
0.3867,0
0.3731,0
0.584,1
0.3265,0
0.3679,0
0.3476,0
0.5421,1
0.5731,1
0.421,0
0.3608,0
0.5456,1
0.5464,1
0.4005,0
0.5524,1
0.3381,0
0.5512,1
0.5859,1
0.3653,0
0.3626,0
0.6149,1
0.4448,0
0.3766,0
0.6038,1
0.5937,1
0.4842,0
0.3646,0
0.4193,0
0.4384,0
0.4323,0
0.5854,1
0.5837,1
0.4578,0
0.5472,1
0.3475,0
0.5165,1
0.4701,0
0.5469,1
0.5543,1
0.4398,0
0.3747,0
0.5481,1
0.4326,0
0.5853,1
0.3716,0
0.4706,0
0.3921,0
0.4591,0
0.4985,0
0.6655,1
0.5864,1
0.36,0
0.5674,1
0.3956,0
0.5518,1
0.3343,0
0.566,1
0.5861,1
0.5686,1
0.4129,0
0.5549,1
0.566,1
0.6309,1
0.4124,0
0.5444,1
0.401,0
0.4647,1
0.4288,0
0.3547,0
0.4272,0
0.3625,0
0.384,0
0.5047,1
0.3743,0
0.4158,0
0.3556,0
0.4072,0
0.337,0
0.5133,1
0.4618,0
0.5124,1
0.5585,1
0.5886,1
0.6811,1
0.5134,1
0.5426,1
0.4515,0
0.5374,1
0.5161,1
0.4012,0
0.4364,0
0.6012,1
0.5656,1
0.5364,1
0.583,1
0.5902,1
0.6465,1
0.4392,0
0.5948,1
0.3535,0
0.3727,0
0.4426,0
0.5888,1
0.5901,1
0.336,0
0.3716,0
0.5589,1
0.5521,1
0.3928,0
0.5601,1
0.3761,0
0.4507,0
0.5589,1
0.3708,0
0.5061,1
0.3875,0
0.6013,1
0.5824,1
0.4132,0
0.4204,0
0.4203,0
0.3806,0
0.3668,0
0.579,1
0.3926,0
0.4832,0
0.3276,0
0.3206,0
0.5147,1
0.3909,0
0.5387,1
0.4346,0
0.3594,0
0.3724,0
0.6066,1
0.5105,1
0.4282,0
0.3745,0
0.5186,1
0.385,0
0.4258,0
0.5826,1
0.3983,0
0.6025,1
0.3935,0
0.4458,0
0.3985,0
0.6088,1
0.5662,1
0.5483,1
0.4643,0
0.4541,0
0.3629,0
0.4157,0
0.4209,0
0.6531,1
0.4464,0
0.5941,1
0.3801,0
0.4492,0
0.5692,1
0.5909,1
0.5977,1
0.5917,1
0.3935,0
0.3576,0
0.5674,1
0.5276,1
0.5903,1
0.547,1
0.5688,1
0.5766,1
0.5567,1
0.4012,0
0.5226,1
0.4467,0
0.3971,0
0.546,1
0.4212,0
0.5318,1
0.5354,1
0.4658,0
0.3529,0
0.5912,1
0.5339,1
0.6246,1
0.3776,0
0.3614,0
0.3375,0
0.4247,0
0.3326,0
0.4197,0
0.4403,0
0.4483,0
0.4464,0
0.5434,1
0.5814,1
0.6092,1
0.4721,0
0.3994,0
0.4321,0
0.5579,1
0.6202,1
0.6492,1
0.3233,0
0.384,0
0.4157,0
0.5079,1
0.3843,0
0.4071,0
0.6069,1
0.3822,0
0.5133,0
0.4429,0
0.4501,0
0.3457,0
0.4012,0
0.3578,0
