score,class
0.9872,1
0.9453,1
0.2687,0
0.8405,1
0.0507,0
0.9054,1
0.9716,1
0.9775,1
0.199,0
0.7615,1
0.7989,1
0.0039,0
0.0176,0
0.6857,1
0.037,0
0.0817,0
0.1765,0
0.9337,1
0.0381,0
0.086,0
0.8285,1
0.9248,1
0.1254,0
0.7283,0
0.8719,1
0.9503,1
0.3727,1
0.9921,1
0.884,1
0.0094,0
0.956,1
0.6256,1
0.0403,0
0.0046,0
0.0294,0
0.0047,0
0.0108,0
0.9512,1
0.0417,0
0.9851,1
0.9301,1
0.9701,1
0.7396,1
0.9894,1
0.9485,1
0.0222,0
0.7354,1
0.341,0
0.0179,0
0.0226,0
0.2202,0
0.5889,1
0.7186,1
0.9486,1
0.9848,1
0.0085,0
0.6295,1
0.5994,1
0.6523,1
0.1507,0
0.0279,0
0.0765,0
0.1297,0
0.0107,0
0.0099,0
0.1804,0
0.0238,0
0.0081,0
0.8126,1
0.0292,0
0.9892,1
0.0728,0
0.0995,0
0.1063,0
0.0144,0
0.4698,0
0.0153,0
0.9396,1
0.8953,1
0.0258,0
0.0142,0
0.0078,0
0.9898,1
0.9559,1
0.9482,1
0.0334,0
0.9646,1
0.024,0
0.985,1
0.9756,1
0.0089,0
0.0582,0
0.049,0
0.0216,0
0.7718,1
0.0139,0
0.9782,1
0.0107,0
0.9209,1
0.9881,1
0.1096,0
0.9712,1
0.8638,1
0.0111,0
0.9687,1
0.026,0
0.0662,0
0.7215,1
0.0048,0
0.0792,0
0.0227,0
0.0066,0
0.9429,1
0.7211,1
0.0595,0
0.9241,1
0.0598,0
0.0192,0
0.0711,0
0.7242,1
0.7939,1
0.0296,0
0.9816,1
0.9549,1
0.9756,1
0.0122,0
0.0442,0
0.0693,0
0.9556,1
0.0078,0
0.0063,0
0.9402,1
0.9785,1
0.9648,1
0.2783,0
0.0598,0
0.9858,1
0.9628,1
0.4515,1
0.0081,0
0.0029,0
0.4882,1
0.0132,0
0.0328,0
0.163,0
0.7514,1
0.9717,1
0.471,0
0.0062,0
0.0168,0
0.607,1
0.9686,1
0.0869,0
0.9721,1
0.0532,0
0.0183,0
0.8848,1
0.0173,0
0.0066,0
0.1169,0
0.0215,0
0.8423,1
0.9565,1
0.057,0
0.0404,0
0.0303,0
0.0749,0
0.9376,1
0.0286,0
0.9673,1
0.0034,0
0.0542,0
0.9929,1
0.1269,0
0.0042,0
0.0118,0
0.905,1
0.9796,1
0.0026,0
0.8305,1
0.0713,0
0.0094,0
0.0125,0
0.5548,1
0.8865,1
0.041,0
0.9891,1
0.0341,0
0.0192,0
0.9915,1
0.0339,0
0.0161,0
0.0289,0
0.9871,1
0.7742,1
0.8637,1
0.9697,1
0.008,0
0.0414,0
0.9334,1
0.9481,1
0.982,1
0.0586,0
0.9387,1
0.8952,1
0.5144,0
0.0207,0
0.085,0
0.0089,0
0.0132,0
0.01,0
0.1001,0
0.0231,0
0.0648,0
0.0214,0
0.1754,0
0.9222,1
0.9683,1
0.1217,0
0.1761,0
0.0265,0
0.9922,1
0.0335,0
0.0153,0
0.029,0
0.0087,0
0.9118,1
0.2181,0
0.9165,1
0.9879,1
0.9885,1
0.1925,0
0.9576,1
0.8314,1
0.9846,1
0.0222,0
0.9785,1
0.0173,0
0.0137,0
0.0318,0
0.8612,1
0.1424,0
0.082,0
0.9942,1
0.0092,0
0.9033,1
0.9723,1
0.8466,1
0.0301,0
0.0167,0
0.9415,1
0.0074,0
0.0131,0
0.9262,1
0.0436,0
0.0736,0
0.0748,0
0.9092,1
0.0577,0
0.8924,1
0.8924,1
0.0362,0
0.0166,0
0.701,1
0.1456,0
0.0429,0
0.0617,0
0.007,0
0.0147,0
0.0305,0
0.3711,0
0.0061,0
0.9719,1
0.0606,0
0.9637,1
0.0221,0
0.9689,1
0.9884,1
0.2304,0
0.9604,1
0.9024,1
0.9031,1
0.862,1
0.9657,1
0.9593,1
0.1403,0
0.0389,0
0.9943,1
0.0728,0
0.9655,1
0.9886,1
0.8939,1
0.0093,0
0.9898,1
0.0161,0
0.006,0
0.8298,1
0.9707,1
0.0405,0
0.2256,0
0.9146,1
0.9585,1
0.4868,0
0.2144,1
0.0464,0
0.9567,1
0.9738,1
0.0483,0
0.9774,1
0.1236,0
0.0033,0
0.0126,0
0.3791,0
0.0219,0
0.4997,0
0.0957,0
0.1308,0
0.7339,1
0.9928,1
0.0504,0
0.0662,0
0.0282,0
0.056,0
0.8163,0
0.6239,1
0.6383,1
0.6769,1
0.9956,1
0.0408,0
0.0362,0
0.9476,1
0.0187,0
0.9512,1
0.667,1
0.73,1
0.0597,0
0.5758,1
0.7683,1
0.9872,1
0.0412,0
0.0946,0
0.9689,1
0.9858,1
0.1242,0
0.9499,1
0.0087,0
0.9349,1
0.8558,1
0.0116,0
0.1918,0
0.0086,0
0.1104,0
0.0323,0
0.0753,0
0.036,0
0.6328,1
0.3834,1
0.0962,0
0.7374,1
0.9896,1
0.9794,1
0.9594,1
0.0281,0
0.9775,1
0.9686,1
0.0214,0
0.0248,0
0.0023,0
0.0038,0
0.9582,1
0.9845,1
0.9944,1
0.0339,0
0.0043,0
0.0109,0
0.0256,0
0.0099,0
0.0185,0
0.1412,0
0.9937,1
0.0101,0
0.0097,0
0.0209,0
0.0114,0
0.7851,1
0.0123,0
0.8166,1
0.0185,0
0.9507,1
0.9787,1
0.008,0
0.9943,1
0.9789,1
0.0066,0
0.0078,0
0.0202,0
0.9205,1
0.9775,1
0.8416,1
0.9537,1
0.0245,0
0.0236,0
0.989,1
0.0046,0
0.3265,1
0.0113,0
0.8215,1
0.9729,1
0.0137,0
0.9812,1
0.0138,0
0.973,1
0.4614,1
0.0207,0
0.0127,0
0.9742,1
0.0206,0
0.0054,0
0.9783,1
0.9203,1
0.0128,0
0.8916,1
0.0762,0
0.9279,1
0.0068,0
0.019,0
0.0564,0
0.0166,0
0.0561,0
0.0182,0
0.0152,0
0.0305,0
0.017,0
0.0083,0
0.1534,0
0.5736,0
0.9647,1
0.0347,0
0.0704,0
0.0145,0
0.0222,0
0.0271,0
0.9838,1
0.004,0
0.2669,0
0.9536,1
0.9065,1
0.9429,1
0.9614,1
0.5517,1
0.0112,0
0.9403,1
0.9678,1
0.0069,0
0.9743,1
0.6524,1
0.9968,1
0.0222,0
0.0201,0
0.9808,1
0.0018,0
0.9617,1
0.0137,0
0.7232,1
0.9503,1
0.0249,0
0.0269,0
0.988,1
0.0163,0
0.9853,1
0.9976,1
0.9667,1
0.9583,1
0.0204,0
0.8471,1
0.0365,0
0.0505,0
0.0099,0
0.9941,1
0.8477,1
0.7669,1
0.935,1
0.0273,0
0.0329,0
0.0168,0
0.9896,1
0.0073,0
0.8687,1
0.0253,0
0.9504,1
0.0229,0
0.0096,0
0.0384,0
0.9131,1
0.1375,0
0.0146,0
0.0134,0
0.3077,0
0.0092,0
0.0221,0
0.0215,0
0.9864,1
0.9769,1
0.9788,1
0.0367,0
0.4698,1
0.0232,0
0.0021,0
0.0172,0
0.9772,1
0.0214,0
0.9949,1
0.9766,1
0.0352,0
0.106,0
0.0286,0
0.0145,0
0.0145,0
0.0215,0
0.9807,1
0.9951,1
0.091,0
0.9826,1
0.9769,1
0.0166,0
0.5802,0
0.012,0
0.1281,0
0.0054,0
0.9911,1
0.0119,0
0.3205,0
0.8831,1
0.9647,1
0.0118,0
0.971,1
0.0114,0
0.7742,1
0.0176,0
0.0195,0
0.0167,0
0.9925,1
0.9836,1
0.0215,0
0.0091,0
0.9932,1
0.0379,0
0.9933,1
0.0339,0
0.9335,1
0.0322,0
0.9942,1
0.9073,1
0.0269,0
0.1014,0
0.9906,1
0.9227,1
0.9959,1
0.0567,0
0.8447,1
0.9746,1
0.9402,1
0.1452,0
0.8869,1
0.0629,0
0.0387,0
0.0146,0
0.0911,0
0.9367,1
0.9614,1
0.0081,0
0.9655,1
0.0059,0
0.0027,0
0.9804,1
0.9605,1
0.959,1
0.0152,0
0.9876,1
0.9865,1
0.0184,0
0.9229,1
0.074,0
0.8428,1
0.8276,1
0.9843,1
0.0629,0
0.0241,0
0.9347,1
0.8622,1
0.0148,0
0.0223,0
0.8921,1
0.0979,0
0.0166,0
0.037,0
0.0927,0
0.9891,1
0.9709,1
0.0501,0
0.0109,0
0.0868,0
0.0043,0
0.0773,0
0.9978,1
0.9827,1
0.0455,0
0.0135,0
0.152,0
0.9787,1
0.0438,0
0.1183,0
0.9799,1
0.9857,1
0.0054,0
0.0365,0
0.9095,1
0.0211,0
0.8749,1
0.0062,0
0.0498,0
0.0191,0
0.989,1
0.9673,1
0.0118,0
0.9646,1
0.9237,1
0.0083,0
0.9869,1
0.9042,1
0.136,1
0.009,0
0.0464,0
0.1741,0
0.2325,0
0.8203,1
0.0107,0
0.5351,0
0.0104,0
0.8825,1
0.9374,1
0.9618,1
0.0099,0
0.8626,1
0.9512,1
0.5319,0
0.9855,1
0.0134,0
0.9506,1
0.0068,0
0.0567,0
0.0323,0
0.877,1
0.9258,1
0.0069,0
0.0253,0
0.0062,0
0.9353,1
0.9829,1
0.0246,0
0.0097,0
0.9508,1
0.8975,1
0.0025,0
0.0542,0
0.0147,0
0.9733,1
0.9866,1
0.9777,1
0.0133,0
0.1088,0
0.0121,0
0.8394,1
0.9824,1
0.0585,0
0.0265,0
