score,class
0.896,1
0.1695,0
0.2523,0
0.2199,0
0.4724,0
0.0984,0
0.3665,1
0.9744,1
0.2767,1
0.0785,0
0.0837,0
0.3534,0
0.1009,0
0.2341,0
0.7752,1
0.2634,0
0.164,0
0.2229,0
0.1831,1
0.2709,0
0.3379,0
0.4311,0
0.1694,0
0.3518,0
0.0965,0
0.8625,1
0.563,1
0.0925,0
0.3823,0
0.4437,0
0.2907,1
0.9874,1
0.9391,1
0.4332,1
0.3557,0
0.5041,0
0.2135,0
0.1041,0
0.9372,1
0.3863,1
0.0997,0
0.1703,0
0.1748,0
0.4468,0
0.2695,1
0.7743,1
0.1721,0
0.9249,1
0.3665,1
0.9633,1
0.3659,1
0.1642,0
0.4405,1
0.1686,0
0.2225,0
0.3414,0
0.944,1
0.4493,1
0.3385,1
0.9978,1
0.4815,1
0.1969,0
0.2049,0
0.1226,0
0.9981,1
0.0906,0
0.5018,0
0.3123,0
0.5614,0
0.4045,0
0.5792,0
0.4707,0
0.3801,0
0.0974,0
0.9914,1
0.1822,0
0.1146,0
0.4221,1
0.5344,1
0.235,1
0.9538,1
0.8047,1
0.4063,0
0.194,1
0.2155,0
0.9379,1
0.4851,1
0.4536,0
0.2393,1
0.2515,0
0.1687,0
0.1833,1
0.6273,1
0.1805,0
0.992,1
0.3154,0
0.2156,0
0.3512,1
0.717,1
0.566,1
0.5924,0
0.2429,0
0.5677,1
0.5991,0
0.1519,0
0.8129,1
0.3852,1
0.1288,0
0.2962,1
0.1197,0
0.2092,0
0.9407,1
0.8362,1
0.9607,1
0.1347,0
0.1227,0
0.1027,0
0.6437,1
0.9463,1
0.1974,1
0.1022,0
0.2377,0
0.1888,0
0.9934,1
0.1958,0
0.2762,1
0.0924,0
0.1594,0
0.0927,0
0.1044,0
0.1409,0
0.3313,1
0.1804,0
0.1393,0
0.6685,1
0.2316,0
0.4318,1
0.7271,1
0.2703,1
0.2557,0
0.3033,0
0.2027,1
0.3726,1
0.2516,0
0.6393,0
0.1727,0
0.2752,0
0.2476,1
0.6554,1
0.9894,1
0.1177,0
0.6493,1
0.2065,0
0.6122,1
0.4892,0
0.6789,1
0.1624,0
0.0976,0
0.4302,0
0.3051,1
0.2315,1
0.2539,0
0.6794,1
0.1455,0
0.406,0
0.5982,0
0.1869,0
0.5715,0
0.3438,1
0.257,1
0.1527,0
0.5004,0
0.5012,1
0.2708,0
0.3531,0
0.1513,0
0.2574,0
0.228,0
0.237,0
0.3096,0
0.2132,0
0.7096,1
0.9696,1
0.1117,0
0.063,0
0.3021,1
0.7635,0
0.1463,0
0.2299,0
0.8206,1
0.2216,0
0.5016,1
0.5035,1
0.4206,1
0.3758,0
0.1032,0
0.1961,0
0.4017,1
0.798,1
0.3548,1
0.2281,0
0.9666,1
0.108,0
0.2775,1
0.2064,0
0.7319,0
0.9946,1
0.2371,0
0.9841,1
0.1034,0
0.9979,1
0.1722,1
0.2907,1
0.8851,1
0.0974,0
0.8492,1
0.745,0
0.5886,1
0.1237,0
0.0992,0
0.4102,1
0.4178,0
0.5081,1
0.3322,0
0.105,1
0.7433,1
0.1441,0
0.2654,0
0.7299,1
0.2853,0
0.7098,1
0.1651,0
0.2776,1
0.7628,1
0.1578,0
0.2852,1
0.2378,0
0.5151,0
0.0966,0
0.3759,0
0.9965,1
0.3266,0
0.1148,0
0.3874,1
0.5451,1
0.2834,0
0.3148,1
0.5208,0
0.7918,0
0.9811,1
0.9062,1
0.112,0
0.1123,0
0.189,0
0.5613,1
0.9873,1
0.7991,1
0.2566,0
0.1966,0
0.1996,0
0.2556,0
0.2826,1
0.1819,0
0.3791,1
0.2447,0
0.4425,1
0.1794,0
0.1578,0
0.3904,0
0.3334,1
0.0731,0
0.2189,1
0.3836,1
0.1667,0
0.2622,0
0.9115,1
0.1074,0
0.1051,0
0.6194,1
0.1074,0
0.5862,1
0.4243,0
0.4991,1
0.2165,1
0.7261,0
0.1067,0
0.2634,0
0.9128,1
0.6024,1
0.4214,0
0.1254,0
0.369,0
0.1537,1
0.3756,1
0.9844,1
0.3871,0
0.2476,0
0.4566,1
0.0852,0
0.4102,1
0.6916,0
0.1584,0
0.9585,1
0.4468,0
0.092,0
0.5238,1
0.3482,0
0.2648,0
0.1143,0
0.5942,1
0.3874,0
0.1703,0
0.1436,1
0.9988,1
0.9998,1
0.3816,0
0.795,0
0.3301,1
0.2843,0
0.3306,0
0.4114,1
0.419,1
0.3261,0
0.1457,0
0.2429,1
0.3805,1
0.2724,0
0.2999,0
0.4098,1
0.4059,0
0.5565,1
0.2237,0
0.936,1
0.3947,1
0.4138,1
0.1803,1
0.9382,1
0.9673,1
0.1904,0
0.1259,0
0.9969,1
0.1015,0
0.1408,0
0.5199,1
0.0776,0
0.3375,1
0.6038,0
0.2195,0
0.5421,1
0.2061,0
0.6097,1
0.1759,0
0.5173,1
0.5465,1
0.2791,0
0.3415,0
0.085,0
0.9663,1
0.2287,0
0.3853,1
0.3181,1
0.9871,1
0.1185,0
0.8172,1
0.1347,0
0.997,1
0.2133,0
0.341,1
0.9518,1
0.3801,1
0.3522,0
0.3849,0
0.3167,1
0.1008,0
0.6857,0
0.4068,0
0.1933,1
0.2566,0
0.147,0
0.719,0
0.3618,0
0.4272,0
0.9917,1
0.272,1
0.347,1
0.1148,0
0.571,1
0.1298,0
0.0926,0
0.8674,1
0.127,0
0.2567,0
0.7693,0
0.636,1
0.5114,1
0.9946,1
0.213,0
0.1768,0
0.5815,0
0.8873,1
0.4257,1
0.1818,0
0.3772,0
0.1642,0
0.8848,1
0.3899,1
0.7313,1
0.0982,0
0.4159,1
0.0729,0
0.4416,0
0.4456,1
0.1908,0
0.0768,0
0.0768,0
0.1183,0
0.3989,0
0.9672,1
0.085,0
0.1836,0
0.0937,0
0.7343,1
0.9973,1
0.3384,1
0.6849,1
0.3558,0
0.4334,1
0.2581,0
0.069,0
0.9818,1
0.1919,0
1.0,1
0.994,1
0.8034,1
0.2547,0
0.8018,1
0.9616,1
0.442,1
0.4769,0
0.2992,1
0.2482,0
0.9994,1
0.9999,1
0.9415,1
0.4305,1
0.0928,0
0.1211,0
0.0931,0
0.4213,1
1.0,1
0.9878,1
0.2822,1
0.4337,0
0.999,1
0.4715,0
0.3121,1
0.419,0
0.4443,0
0.5834,1
0.266,0
0.6972,1
0.489,0
0.2215,0
0.7173,1
0.1259,0
0.2368,0
0.1417,0
0.192,0
0.7693,1
0.3544,0
0.8654,0
0.0907,0
0.897,1
0.2679,0
0.0839,0
0.9991,1
0.6165,0
0.5849,1
0.1368,0
0.9991,1
0.1968,0
0.359,1
0.2033,0
0.5794,1
0.2584,0
0.2301,0
0.3554,1
0.4443,1
0.1611,0
0.1689,0
0.098,1
