score,class
0.3903,0
0.4207,1
0.3922,0
0.3889,1
0.3894,0
0.3905,0
0.3915,0
0.4145,0
0.3893,0
0.3894,0
0.4199,1
0.4094,0
0.4107,0
0.3878,1
0.4175,0
0.4194,1
0.421,1
0.3884,1
0.394,0
0.4166,1
0.3894,1
0.4136,0
0.3897,0
0.425,1
0.4145,0
0.417,1
0.4101,1
0.39,0
0.3918,0
0.4089,1
0.4172,1
0.3891,1
0.4192,0
0.4106,0
0.4158,1
0.4148,0
0.4149,1
0.419,1
0.4154,0
0.4159,0
0.4131,1
0.39,0
0.4142,0
0.3859,0
0.3856,0
0.4213,0
0.4134,1
0.4213,1
0.4182,0
0.4174,0
0.4124,0
0.3867,0
0.3875,0
0.4163,0
0.3894,1
0.3882,1
0.4119,1
0.3892,1
0.41,0
0.4139,1
0.4165,0
0.391,0
0.4139,0
0.4213,1
0.3858,0
0.4137,0
0.4129,1
0.4214,1
0.3872,0
0.4169,1
0.4142,0
0.39,1
0.4155,1
0.4124,1
0.3917,0
0.4131,1
0.422,1
0.4162,1
0.4191,0
0.3904,1
0.4183,1
0.4155,0
0.4134,0
0.4105,0
0.3874,0
0.4135,1
0.4163,1
0.3862,0
0.3882,1
0.393,0
0.4161,1
0.4169,1
0.4165,1
0.3875,0
0.4122,1
0.3904,0
0.3954,0
0.4219,1
0.3917,0
0.3894,0
0.3906,1
0.3883,1
0.3907,0
0.3893,0
0.4127,1
0.3896,0
0.389,1
0.3905,0
0.3894,0
0.4116,1
0.4174,0
0.3871,1
0.4138,0
0.4223,0
0.3898,1
0.4154,1
0.4074,1
0.3864,1
0.3895,0
0.3882,1
0.4169,1
0.4222,1
0.4124,0
0.4141,1
0.3883,1
0.3864,0
0.4192,0
0.3883,1
0.3898,0
0.4188,1
0.4167,0
0.419,1
0.3905,0
0.4145,0
0.3864,0
0.3921,1
0.3883,0
0.4218,1
0.4191,0
0.4127,1
0.3906,0
0.4149,1
0.3878,0
0.4188,1
0.4119,0
0.4107,0
0.4156,1
0.4158,0
0.4118,0
0.3912,0
0.4156,0
0.3902,0
0.4161,0
0.4123,1
0.4152,1
0.4144,0
0.3901,1
0.4231,1
0.3959,0
0.4152,1
0.4231,1
0.3892,0
0.3887,1
0.4167,1
0.4171,1
0.3939,0
0.3867,1
0.39,1
0.4109,0
0.418,1
0.4168,0
0.4113,0
0.414,1
0.4127,0
0.4182,0
0.3855,0
0.4086,1
0.3868,0
0.4124,0
0.3892,1
0.3869,0
0.4145,1
0.4112,0
0.4119,0
0.4174,0
0.3923,0
0.3908,0
0.4162,0
0.3877,1
0.4197,1
0.4117,0
0.3905,1
0.4174,1
0.4151,0
0.4113,0
0.3899,0
0.4101,0
0.4172,0
0.4134,0
0.4184,0
0.3894,0
0.39,1
0.3904,1
0.3861,0
0.4207,1
0.3955,0
0.3869,0
0.3902,0
0.4204,1
0.3905,0
0.4115,0
0.4166,1
0.3922,0
0.3892,1
0.3873,0
0.4162,1
0.3906,0
0.3901,1
0.4185,1
0.4123,0
0.3913,0
0.4188,1
0.4097,0
0.4122,1
0.386,0
0.3885,0
0.4165,1
0.3872,0
0.4178,0
0.4148,1
0.3902,1
0.3878,1
0.4189,0
0.4151,1
0.4155,1
0.3892,0
0.4196,1
0.3871,1
0.3885,1
0.4096,1
0.4206,1
0.3876,1
0.4109,0
0.3887,1
0.4191,0
0.3898,0
0.3899,0
0.39,1
0.3897,1
0.4138,0
0.4212,0
0.4187,1
0.3879,0
0.4132,1
0.3898,0
0.416,0
0.415,1
0.3886,1
0.3884,1
0.389,0
0.3869,1
0.4195,1
0.4167,0
0.3881,1
0.4082,0
0.3874,1
0.3882,0
0.3915,0
0.3877,1
0.4129,0
0.4169,0
0.3891,1
0.3904,0
0.4161,0
0.4197,1
0.4139,1
0.4137,0
0.4231,0
0.4172,1
0.4131,0
0.3891,0
0.391,0
0.4124,0
0.4176,0
0.4128,0
0.4203,1
0.3901,1
0.4143,0
0.4146,1
0.4162,1
0.4128,1
0.3887,0
0.4148,0
0.4108,0
0.4185,1
0.3889,0
0.4164,1
0.415,1
0.4175,0
0.4171,1
0.3882,1
0.3901,1
0.4095,1
0.4144,1
0.3888,1
0.386,0
0.4138,1
0.42,1
0.4114,1
0.4174,1
0.4199,1
0.3893,1
0.3915,0
0.3854,0
0.4115,1
0.4204,1
0.3903,0
0.3911,0
0.3877,1
0.3887,0
0.3896,1
0.3874,1
0.4151,0
0.3879,1
0.3913,0
0.4126,0
0.3914,1
0.4173,0
0.3878,0
0.3885,1
0.3872,1
0.3914,1
0.42,1
0.4123,0
0.4098,0
0.416,1
0.394,0
0.4169,1
0.4107,1
0.4224,1
0.4186,1
0.4155,0
0.4118,1
0.4108,0
0.4105,1
0.3861,0
0.3914,0
0.4136,1
0.4134,0
0.4152,0
0.3882,1
0.3937,0
0.3937,0
0.4171,1
0.3895,1
0.4161,0
0.4141,0
0.3892,0
0.4157,0
0.4207,0
0.4167,0
0.4154,1
0.389,1
0.3902,0
0.4172,1
0.3878,0
0.4132,1
0.413,1
0.3874,0
0.4179,0
0.4133,1
0.389,0
0.4175,0
0.4144,1
0.3886,0
0.3876,0
0.4188,1
0.3878,0
0.4159,0
0.4193,1
0.389,1
0.3874,1
0.389,1
0.4111,1
0.3904,0
0.3928,0
0.3882,1
0.3907,0
0.3902,0
0.4141,0
0.3903,0
0.4171,1
0.417,0
0.4079,1
0.3859,0
0.4206,0
0.3882,1
0.3865,0
0.4166,1
0.3893,0
0.3901,0
0.4153,0
