score,class
0.1533,1
0.0769,0
0.7853,1
0.3672,0
0.1133,0
0.1446,0
0.2727,1
0.0431,0
0.6636,1
0.6252,1
0.4658,1
0.0714,0
0.7116,1
0.785,1
0.0279,0
0.661,1
0.4563,1
0.0672,0
0.5077,1
0.614,1
0.5082,1
0.6539,1
0.9532,0
0.9661,1
0.0786,0
0.6885,1
0.8202,1
0.5996,1
0.3548,0
0.5191,1
0.0713,0
0.065,0
0.2172,0
0.6926,1
0.92,1
0.1648,0
0.8055,1
0.2274,0
0.2791,0
0.1993,1
0.9954,1
0.1139,0
0.0757,0
0.279,0
0.8968,1
0.0944,0
0.3608,1
0.0909,0
0.1669,0
0.7279,1
0.6174,0
0.8672,1
0.5214,1
0.6217,1
0.723,0
0.6236,1
0.0524,0
0.8484,1
0.1907,0
0.3663,1
0.9089,1
0.0821,0
0.0401,0
0.0784,0
0.3979,0
0.2725,1
0.2489,0
0.2147,0
0.5226,1
0.3157,1
0.0703,0
0.2896,1
0.0613,0
0.2043,0
0.3843,1
1.0,1
0.8799,1
0.9993,1
0.2344,1
0.0587,0
0.0824,0
0.6766,0
0.6924,1
0.1178,0
0.5365,1
0.118,0
0.099,1
0.3098,0
0.2204,1
0.6043,1
0.0773,0
0.1356,0
0.1655,1
0.1987,0
0.4988,1
0.5903,1
0.0299,0
0.1407,0
0.058,0
0.1833,1
0.0914,0
0.2022,0
0.5353,1
0.9825,1
0.9913,1
0.6885,1
0.0854,0
0.0595,0
0.9602,1
0.999,1
0.1375,0
0.8518,1
0.0461,0
0.161,1
0.0584,0
0.407,0
0.9713,1
0.4433,0
0.067,0
0.1228,0
0.2003,0
0.4687,1
0.998,1
0.3717,0
0.0416,0
0.6319,1
0.1767,0
0.0915,0
0.9696,1
0.0974,0
0.1577,0
0.3366,1
0.1549,0
0.6786,1
0.9612,1
0.1545,0
0.0383,0
0.442,1
0.5917,1
0.1026,0
0.5213,1
0.2372,0
0.1226,0
0.5729,1
0.7728,1
1.0,1
0.7849,1
0.1814,0
0.4309,1
0.6016,1
0.9999,1
0.1105,0
0.432,1
0.8705,1
0.4381,0
0.4897,1
0.0395,0
0.2416,1
0.0365,0
0.2107,1
0.284,0
0.4629,0
0.6176,1
0.0328,0
0.0848,0
0.7006,1
0.2192,0
0.9996,1
0.0429,0
0.9265,1
0.0849,0
0.0338,0
0.5135,1
0.0952,0
0.9514,1
0.7301,1
0.258,0
1.0,1
0.7409,1
0.0834,0
0.2371,1
0.1726,0
0.0704,0
0.1774,1
0.2351,0
0.1188,0
0.692,1
0.0454,0
0.192,1
0.0476,0
0.0504,0
0.0914,0
0.8828,1
0.4081,1
0.1836,1
0.2778,0
0.5151,1
0.1851,1
0.4557,1
0.1112,0
0.0895,0
0.2645,1
0.3029,0
0.7652,1
0.6696,1
0.8611,1
0.9999,1
0.992,1
0.274,0
0.113,0
0.066,0
0.9973,1
0.094,0
0.8494,1
0.0696,0
0.5975,1
0.9996,1
0.0539,0
0.3485,0
1.0,1
0.1313,0
0.7822,1
0.7884,1
0.9991,1
0.0503,0
0.8038,1
0.3457,0
0.0404,0
0.1715,0
0.1063,0
0.6481,1
0.0558,0
0.2287,0
0.0989,0
0.9136,1
0.0747,0
0.6404,0
0.0334,0
0.3517,0
0.2914,0
0.044,0
0.5844,1
0.1129,0
0.7258,1
0.1017,0
0.7428,1
1.0,1
0.0959,0
0.7157,1
0.1194,0
0.2356,1
0.5092,0
0.0975,0
0.9655,1
0.4057,0
0.0634,0
0.8249,1
0.6536,1
0.7302,1
0.9203,1
0.9512,1
0.0352,0
0.0484,0
0.2001,1
0.1155,0
0.0965,0
0.036,0
0.4774,0
0.9337,1
0.9999,1
0.972,1
0.2884,1
0.0576,0
0.531,0
0.1683,0
0.7588,1
0.6645,1
0.4958,0
0.165,1
0.6387,1
0.0742,0
0.2188,0
0.2637,0
0.0515,0
0.0676,0
0.0361,0
0.0443,0
0.0468,0
0.0355,0
0.4559,0
0.9752,1
0.1233,0
0.1172,0
0.1609,0
0.0596,0
0.3418,1
0.9659,1
0.8044,1
0.6777,0
0.2679,1
0.723,1
0.7855,1
0.1058,0
0.0739,0
0.1174,0
0.0979,0
0.9242,1
0.0299,0
0.1304,0
0.1038,0
0.8111,1
0.089,0
0.0977,0
0.6255,1
0.0798,0
0.1715,0
0.768,1
0.6335,1
0.308,0
0.7335,1
0.1017,0
0.0833,0
1.0,1
0.8265,1
0.0794,0
0.3101,0
0.1152,0
0.039,0
0.164,0
0.6478,1
0.7713,1
0.2593,0
0.7883,0
0.9165,1
0.1109,0
0.0335,0
0.0851,0
0.1231,0
0.7371,1
0.9023,1
0.8184,1
0.9548,1
0.3166,1
0.5688,0
0.0317,0
0.0323,0
0.0439,0
0.1725,0
0.8093,1
0.0955,0
0.0403,0
0.0354,0
0.2432,1
0.6384,1
0.0949,0
0.9875,1
0.3429,1
0.7093,1
0.7395,1
0.6391,1
0.6031,0
0.0668,0
0.647,1
0.2472,0
0.5474,1
0.0863,0
0.036,0
0.0572,0
0.1783,0
0.0672,0
0.1828,0
0.1251,0
0.9847,1
0.1002,0
0.9279,1
0.5579,1
0.6098,1
0.0452,0
0.2949,0
0.1372,0
0.257,0
0.0513,0
0.1186,0
0.2177,0
0.2994,0
0.5753,1
0.4483,0
0.5842,1
0.9942,1
0.8281,1
0.9974,1
0.0268,0
0.7478,1
1.0,1
0.1327,0
0.1779,1
0.1237,0
1.0,1
0.6233,1
0.2609,0
0.1965,0
0.1244,0
0.1607,0
0.0982,0
0.1066,0
0.6749,1
0.0835,0
0.0616,0
0.0735,0
0.0551,0
0.0349,0
0.7224,1
0.0427,0
0.0297,0
0.6809,1
0.9938,1
0.4996,1
0.096,0
0.1577,0
0.4993,1
0.0529,0
0.1221,0
1.0,1
0.1068,0
0.2017,0
0.0688,0
0.1258,0
0.8445,1
0.764,1
0.2129,0
0.7022,1
0.0826,0
0.1456,0
0.079,0
0.0306,0
0.0535,0
0.2834,0
0.5018,1
0.0571,0
0.9997,1
0.1275,0
0.2102,0
0.0756,0
0.3024,1
0.1081,0
0.4226,1
