score,class
0.3053,0
0.8654,1
0.9145,1
0.3827,0
0.3281,0
0.3023,0
0.3423,0
0.7208,1
0.3296,0
0.3048,0
0.3473,0
0.2502,0
0.3231,0
0.747,1
0.2585,0
0.4348,1
0.252,0
0.2856,0
0.5619,1
0.4101,0
0.3727,0
0.2993,0
0.348,0
0.3125,1
0.3181,0
0.582,1
0.2937,0
0.3407,0
0.4991,1
0.2833,0
0.3031,0
0.3494,0
0.3352,0
0.5063,0
0.3315,0
0.8164,1
0.3127,1
0.2999,0
0.305,1
0.5226,1
0.3206,0
0.5523,1
0.4052,1
0.2827,0
0.2769,0
0.378,0
0.3108,1
0.4733,1
0.3273,1
0.3931,1
0.3469,0
0.2998,0
0.2857,1
0.3248,0
0.315,1
0.2997,1
0.3454,0
0.2761,1
0.7877,1
0.4744,1
0.3037,0
0.2727,0
0.292,0
0.4203,0
0.2625,0
0.3062,0
0.4329,0
0.2722,0
0.3707,1
0.3674,1
0.5435,0
0.2906,0
0.2901,0
0.3433,1
0.2871,1
0.3601,0
0.2952,0
0.3911,0
0.3198,0
0.2975,0
0.2379,1
0.4648,0
0.3374,0
0.4284,1
0.3596,0
0.3584,0
0.5147,1
0.8214,1
0.4709,0
0.2868,0
0.4233,1
0.2929,0
0.3159,0
0.3088,0
0.285,1
0.4436,1
0.5452,1
0.2963,0
0.5176,0
0.5143,1
0.3306,0
0.2651,0
0.3343,0
0.4838,1
0.4919,1
0.3248,1
0.2902,0
0.518,1
0.2938,0
0.33,0
0.424,1
0.2712,0
0.3199,0
0.3249,0
0.5335,1
0.3079,1
0.3189,1
0.4875,1
0.2484,1
0.3619,0
0.3106,1
0.3029,0
0.4841,1
0.4467,0
0.3563,0
0.2049,1
0.5112,1
0.3471,0
0.3565,0
0.2894,1
0.3477,0
0.7608,1
0.451,0
0.5134,1
0.3295,1
0.267,0
0.3893,0
0.2825,0
0.3392,1
0.2654,1
0.5212,1
0.444,1
0.5262,1
0.5376,1
0.5749,1
0.4586,0
0.3512,0
0.376,1
0.3064,0
0.3391,0
0.289,0
0.4794,1
0.4916,1
0.3854,0
0.3577,0
0.2591,0
0.3369,0
0.3207,0
0.3253,0
0.2947,0
0.2881,0
0.3641,0
0.2883,0
0.7795,1
0.333,0
0.5762,1
0.2736,0
0.3048,0
0.3221,1
0.3727,0
0.3782,1
0.748,1
0.7978,1
0.2807,0
0.7586,1
0.2818,0
0.7767,1
0.3316,0
0.2853,0
0.2778,1
0.2719,0
0.4835,1
0.4949,1
0.3499,0
0.3778,0
0.2887,0
0.3561,0
0.3249,0
0.3531,0
0.5364,1
0.2637,0
0.3296,0
0.2754,0
0.3532,0
0.4255,1
0.5689,1
0.3933,1
0.3059,1
0.2763,0
0.3748,0
0.5398,1
0.293,0
0.361,0
0.544,1
0.3452,0
0.7675,1
0.2918,1
0.2825,0
0.4491,0
0.3308,0
0.3,0
0.3138,0
0.3715,0
0.3209,0
0.413,0
0.3043,0
