score,class
0.3951,0
0.3868,0
0.4037,0
0.4031,0
0.4262,0
0.4089,1
0.392,1
0.4441,1
0.4263,0
0.3924,1
0.4153,1
0.4194,0
0.4076,1
0.4092,1
0.4439,1
0.3859,0
0.4197,0
0.3914,1
0.4263,0
0.3816,1
0.3926,1
0.395,0
0.4176,1
0.4171,1
0.4314,0
0.388,0
0.4262,0
0.3929,1
0.4316,0
0.4263,0
0.3912,1
0.4022,0
0.4316,0
0.3865,0
0.4314,0
0.4034,0
0.4028,0
0.3582,0
0.4028,0
0.3942,0
0.4019,0
0.3918,1
0.4144,0
0.3831,1
0.417,1
0.4032,0
0.4091,1
0.3813,1
0.3581,0
0.3881,0
0.3861,0
0.393,1
0.3825,1
0.414,0
0.3832,1
0.4131,0
0.443,1
0.3574,0
0.3928,1
0.4321,0
0.3819,1
0.4034,1
0.3931,1
0.393,0
0.4315,0
0.4203,0
0.4076,1
0.4266,0
0.3864,0
0.3862,0
0.4157,1
0.3613,1
0.3934,0
0.4152,1
0.3943,0
0.4077,1
0.3858,0
0.3925,1
0.3822,1
0.393,1
0.4423,1
0.4191,0
0.4083,1
0.4137,0
0.3907,1
0.4146,0
0.4191,0
0.4145,0
0.386,0
0.4186,1
0.443,1
0.4263,0
0.4265,0
0.4053,1
0.3945,0
0.4263,0
0.4316,0
0.3939,0
0.3833,1
0.4208,0
0.3867,0
0.4018,0
0.4144,0
0.3834,1
0.4261,0
0.3943,0
0.4202,0
0.4036,0
0.403,0
0.3828,1
0.4262,0
0.409,1
0.402,0
0.4147,0
0.4097,1
0.3853,0
0.4189,0
0.3939,0
0.4426,1
0.3574,0
0.4088,1
0.4264,0
0.3863,0
0.3823,1
0.3866,0
0.3937,0
0.3915,1
0.415,1
0.3937,0
0.4088,1
0.4092,1
0.4315,0
0.4437,1
0.3613,1
0.402,0
0.3877,0
0.4177,1
0.4153,1
0.4194,0
0.3818,1
0.3871,0
0.3948,0
0.4171,1
0.3935,0
0.3575,0
0.4088,1
0.3832,1
0.4021,0
0.3943,0
0.4042,1
0.4264,0
0.3967,0
0.4066,0
0.3814,1
0.4046,0
0.4318,0
0.3639,0
0.3914,1
0.3877,0
0.4019,0
0.3588,0
0.3922,1
0.403,0
0.4123,0
0.4434,1
0.4318,0
0.4435,1
0.3935,0
0.403,0
0.3574,0
0.394,0
0.393,0
0.4445,1
0.4318,0
0.4264,0
0.3821,1
0.4262,0
0.3883,0
0.4316,0
0.4202,0
0.4263,0
0.402,0
0.4032,0
0.386,0
0.4151,1
0.4034,0
0.4265,0
0.4053,1
0.4442,1
0.4143,0
0.3855,0
0.3927,1
0.3864,0
0.3866,0
0.4266,0
0.3815,1
0.3875,0
0.4089,1
0.3863,0
0.383,1
0.4197,0
0.4439,1
0.3883,0
0.3816,1
0.3854,0
0.3904,1
0.3571,0
0.3815,1
0.417,1
0.432,0
0.4192,0
0.443,1
0.426,0
0.3954,0
0.3886,0
0.3876,0
0.3924,0
0.3941,0
0.4095,1
0.3875,0
0.3941,0
0.402,0
0.3855,0
0.4036,0
0.4145,0
0.4084,1
0.4425,1
0.3939,0
0.4259,0
0.4195,0
0.4261,0
0.3914,1
0.3835,1
0.4436,1
0.3832,0
0.4043,1
0.4435,1
0.3925,1
0.3883,0
0.3857,0
0.403,1
0.3931,0
0.3926,1
0.383,1
0.4022,0
0.3579,0
0.3931,1
0.4202,0
0.3879,0
0.3828,1
0.4262,0
0.4031,0
0.4439,1
0.4021,0
0.3928,0
0.3586,0
0.3929,1
0.3822,1
0.4083,1
0.402,0
0.4439,1
0.3925,1
0.4315,0
0.4436,1
0.4046,0
0.3576,0
0.3578,0
0.3863,0
0.3962,0
0.3585,0
0.4193,0
0.4318,0
0.4185,0
0.432,0
0.3929,1
0.4088,1
0.4192,0
0.4026,0
0.4199,0
0.3964,0
0.4019,0
0.4442,1
0.386,0
0.402,0
0.383,1
0.3947,0
0.3957,0
0.3613,1
0.4051,1
0.3909,1
0.4193,0
0.3925,1
0.3959,0
0.4317,0
0.3819,1
0.3814,1
0.4439,1
0.4036,0
0.3828,1
0.408,1
0.3827,1
0.4032,0
0.3937,0
0.3921,1
0.4445,1
0.4169,0
0.4206,0
0.4317,0
0.3937,1
0.406,0
0.4261,0
0.3932,0
0.3941,0
0.4089,1
0.4173,0
0.4445,1
0.4444,1
0.3861,0
0.3931,1
0.3935,1
0.4126,0
0.3854,0
0.4092,1
0.3931,1
0.4021,0
0.3855,0
0.3938,0
0.4192,0
0.4133,0
0.3935,0
0.4135,0
0.4071,1
0.4079,1
0.3938,0
0.3853,0
0.4084,1
0.409,1
0.4261,0
0.3581,0
0.4204,0
0.4084,1
0.3584,0
0.4315,0
0.4446,1
0.4095,1
0.4199,0
0.4089,1
0.4322,0
0.3583,0
0.415,1
0.432,0
0.3833,1
0.4089,1
0.4107,1
0.4041,0
0.4444,1
0.4263,0
0.4262,0
0.3945,0
0.418,1
0.4203,0
0.4197,0
0.402,0
0.3923,1
0.4025,0
0.4447,1
0.4176,1
0.3862,0
0.402,0
0.3948,0
0.4039,1
0.4442,1
0.4023,0
0.3672,1
0.3881,0
0.4435,1
0.4064,1
0.3665,1
0.4038,0
0.404,1
0.4154,1
0.3931,1
0.4089,1
0.4184,0
0.4316,0
0.3915,1
0.3883,0
0.3908,1
0.4195,0
0.3903,1
0.3574,0
0.4033,0
0.4195,0
0.4193,0
0.4147,0
0.3929,1
0.4193,0
0.3911,0
0.383,1
0.4193,0
0.3576,0
0.4322,0
0.4155,1
0.4054,1
0.3592,0
0.3915,1
0.4435,1
0.4022,0
0.3962,0
0.3936,0
0.3934,1
0.3828,1
0.4146,0
0.391,1
0.4058,0
0.4023,0
0.3831,1
0.4086,1
0.4316,0
0.3912,1
0.4145,0
0.3929,1
0.3905,1
0.3859,0
0.402,0
0.4264,0
0.4021,0
0.3929,1
0.3948,0
0.3818,1
0.3575,0
0.3584,0
0.4018,0
0.3947,0
0.4315,0
0.4036,0
0.3831,1
0.3826,1
0.3945,0
0.4191,0
0.4081,1
0.4088,1
0.4263,0
0.4092,1
0.4033,0
0.3877,0
0.4035,0
0.4262,0
0.4019,0
0.3919,1
0.3925,0
0.3837,1
0.4265,0
0.4441,1
0.4092,1
0.3577,0
0.4089,1
0.3611,1
0.4123,0
0.3865,0
0.4265,0
0.393,1
0.3577,0
0.3914,1
0.3829,1
0.418,1
0.393,1
0.3941,0
0.4022,0
0.3945,0
0.4261,0
0.4198,0
0.3832,0
0.4071,1
0.4442,1
0.4085,1
0.4193,0
0.4031,0
0.3899,0
0.4317,0
0.3914,1
0.3919,1
0.4018,0
0.3931,1
0.4144,0
0.4264,0
0.3815,1
0.4024,0
0.393,0
0.403,0
0.3927,1
0.4176,1
0.397,0
0.3934,0
0.4091,1
0.4444,1
0.3926,1
0.4019,0
0.3912,1
0.4263,0
0.404,0
0.3945,0
0.3879,0
0.4194,0
0.3927,0
0.4156,1
0.3871,0
0.4021,0
0.3949,0
0.3822,1
0.3577,0
0.3931,0
0.3822,1
0.4263,0
0.3923,0
0.3863,0
0.3935,1
0.4149,0
0.4089,1
0.4263,0
0.4032,0
0.4446,1
0.3933,0
0.4023,0
0.4316,0
0.3856,0
0.413,0
0.4062,0
0.4123,0
0.3859,0
0.383,1
0.3945,0
0.4177,1
0.3862,0
0.3946,0
0.3946,0
0.3975,0
0.3892,0
0.3947,0
0.4086,1
0.3943,0
0.3873,0
0.4191,0
0.4437,1
0.4433,1
0.3855,0
0.4096,1
0.4435,1
0.3576,0
0.392,1
0.415,0
0.4319,0
0.3968,0
0.4438,1
0.3974,0
0.4193,0
0.357,0
0.4192,0
0.4037,0
0.4088,1
0.4123,0
0.432,0
0.4442,1
0.4087,1
0.3819,1
0.393,1
0.4258,0
0.3925,1
0.3613,1
0.4264,0
0.3581,0
0.3863,0
0.402,0
0.3916,1
0.4022,0
0.4019,0
0.4444,1
0.4142,0
0.4444,1
0.4181,1
0.3575,0
0.3917,1
0.3669,1
0.4125,0
0.4424,1
0.4136,0
0.3575,0
0.3949,0
0.3831,1
0.4083,1
0.4435,1
0.3889,0
0.3963,0
0.4031,0
0.387,0
0.3824,1
0.4318,0
0.39,0
0.4266,0
0.3578,0
0.4084,1
0.3876,0
0.3862,0
0.3931,0
0.4147,0
0.3935,1
0.3863,0
0.3582,0
0.3577,0
0.4193,0
0.4192,0
0.3935,0
0.4266,0
0.4265,0
0.4096,1
0.3869,0
0.4445,1
0.4204,0
0.4048,1
0.3885,0
0.391,1
0.4205,0
0.4107,1
0.402,0
0.4094,1
0.3932,1
0.4054,0
0.3918,0
0.3933,0
0.3933,1
0.4438,1
0.3931,1
0.3868,0
0.4154,1
0.3578,0
0.3832,0
0.409,1
0.407,1
0.395,0
0.4166,0
0.4025,0
0.3938,1
0.4052,1
0.4039,0
0.4193,0
0.3945,0
0.3575,0
0.3877,0
0.3934,1
0.4324,0
0.42,0
0.4077,1
0.4193,0
0.3855,0
0.3943,0
0.4316,0
0.4147,0
0.3934,0
0.3912,1
0.4045,1
0.4262,0
0.3927,1
0.3882,0
0.4265,0
0.4261,0
0.432,0
0.3828,1
0.4157,1
0.4437,1
0.4082,1
0.3855,0
0.4092,1
0.3873,0
0.3816,1
0.4088,1
0.382,1
0.4051,0
0.4267,0
0.3935,1
0.4199,0
0.4426,1
0.4137,0
0.383,1
0.4155,1
0.4012,0
0.4264,0
0.4089,1
0.3934,1
0.4266,0
0.3948,0
0.4322,0
0.4031,0
0.4084,1
0.3578,0
0.4021,0
0.4082,1
0.4088,1
0.3936,0
0.402,0
0.3926,1
0.4094,1
0.4158,1
0.3936,0
0.4447,1
0.3881,0
0.3928,1
0.3923,0
0.4319,0
0.3858,0
0.4052,1
0.4091,1
0.3827,1
0.4094,1
0.4018,0
0.402,0
0.4177,1
0.4212,0
0.4315,0
0.4012,0
0.4021,0
0.3934,0
0.4324,0
0.3635,0
0.4031,0
0.3929,1
0.402,0
0.3934,0
0.3879,0
0.3979,0
0.3913,1
0.3814,1
0.3917,0
0.4119,0
0.3821,1
0.3964,0
0.4087,1
0.4264,0
0.4184,1
0.386,0
0.3582,0
0.3929,0
0.393,0
0.4313,0
0.4077,1
0.3878,0
0.4017,0
0.4021,0
0.4022,0
0.3964,0
0.4011,0
0.3969,0
0.4053,1
0.4194,0
0.4433,1
0.3579,0
0.3819,1
0.4101,1
0.4264,0
0.4263,0
0.3855,0
0.3925,1
0.3891,0
0.3959,0
0.4199,0
0.4263,0
0.4198,0
0.4151,1
0.4193,0
0.4087,1
0.3942,0
0.4042,1
0.3943,0
0.4035,0
0.3879,0
0.4441,1
0.3926,0
0.4055,1
0.4317,0
0.3932,1
0.392,0
0.3939,0
0.4043,0
0.4136,0
0.3826,1
0.4031,1
0.4264,0
0.4137,0
0.3916,1
0.4317,0
0.4444,1
0.4259,0
0.389,0
0.4078,1
0.3576,0
0.3951,0
0.4199,0
0.3931,1
0.3874,0
0.4156,1
0.4123,0
0.4444,1
0.3932,0
0.3968,0
0.3934,0
0.4441,1
0.4019,0
0.4052,1
0.4088,1
0.3943,0
0.3927,1
0.3574,0
0.3816,1
0.39,1
0.4264,0
0.4193,0
0.3961,0
0.393,0
0.3939,0
0.4319,0
0.4085,1
0.4211,0
0.4428,1
0.3827,1
0.389,0
0.4021,0
0.3916,1
0.427,0
0.4021,0
0.4447,1
0.391,1
0.3935,1
0.4441,1
0.4318,0
0.3864,0
0.4021,0
0.4093,1
0.4317,0
0.4318,0
0.3972,0
0.3934,1
0.3862,0
0.4264,0
0.3937,0
0.4447,1
0.4052,1
0.3928,1
0.4137,0
0.3854,0
0.4194,0
0.4081,1
0.406,0
0.4317,0
0.4156,1
0.3573,0
0.4023,0
0.4446,1
0.395,0
0.4194,0
0.4321,0
0.3951,0
0.4035,0
0.4317,0
0.3942,0
0.4088,1
0.3949,0
0.4443,1
0.4091,1
0.42,0
0.4076,1
0.4265,0
0.3671,1
0.3916,1
0.3928,1
0.4077,1
0.3935,0
0.4444,1
0.4439,1
0.4193,0
0.4263,0
0.4021,0
0.4441,1
0.3945,0
0.3876,0
0.444,1
0.3933,1
0.3928,1
0.4262,0
0.4321,0
0.4318,0
0.4148,0
0.4091,1
0.4089,1
0.4448,1
0.4031,0
0.4089,1
0.3975,0
0.4193,0
0.3948,0
0.3668,1
0.4172,1
0.4436,1
0.4053,1
0.383,1
0.4182,1
0.4023,0
0.4319,0
0.3882,0
0.3885,0
0.3855,0
0.3613,1
0.4313,0
0.4165,1
0.3857,0
0.3943,0
0.4153,1
0.4193,0
0.3579,0
0.3945,0
0.3934,0
0.4262,0
0.4263,0
0.3921,1
0.4261,0
0.4259,0
0.3817,1
0.4192,0
0.3922,1
0.4265,0
0.382,1
0.3828,1
0.3856,0
0.4037,0
0.3886,0
0.4037,0
0.4323,0
0.3862,0
0.3938,1
0.3964,0
0.4266,0
0.388,0
0.4088,1
0.4046,1
0.402,0
0.3577,0
0.394,0
0.398,0
0.4091,1
0.4263,0
0.4186,1
0.404,0
0.3823,1
0.3822,1
0.4051,1
0.4317,0
0.3846,1
0.3978,0
0.4192,0
0.4021,0
0.3824,1
0.3944,0
0.3893,0
0.4059,1
