score,class
0.502,1
0.4533,1
0.4583,0
0.4279,0
0.4266,0
0.4082,1
0.5086,1
0.4502,0
0.3923,0
0.4449,0
0.4011,0
0.3964,0
0.4032,0
0.4533,1
0.446,0
0.4754,1
0.4758,1
0.4975,1
0.4345,1
0.5229,1
0.421,0
0.4605,0
0.4878,1
0.389,0
0.3979,0
0.3794,0
0.4339,0
0.4034,0
0.4021,0
0.4233,0
0.4562,1
0.5031,1
0.4284,1
0.3979,0
0.4649,1
0.4638,0
0.4689,1
0.417,0
0.4009,1
0.4292,0
0.417,0
0.4039,0
0.4542,1
0.4298,0
0.4607,0
0.4765,1
0.3815,0
0.4099,0
0.41,0
0.3988,0
0.3736,1
0.5221,1
0.408,0
0.4247,1
0.4471,1
0.4977,1
0.402,0
0.4139,0
0.4411,1
0.4401,0
0.4169,0
0.4396,0
0.3965,0
0.4701,0
0.5168,1
0.51,1
0.4153,1
0.4452,0
0.5057,1
0.4174,0
0.4235,1
0.4877,1
0.4211,1
0.4244,1
0.4109,0
0.3635,0
0.4022,1
0.4327,0
0.4178,0
0.3983,0
0.4512,0
0.5021,1
0.3981,0
0.4286,1
0.4519,0
0.4067,0
0.4772,1
0.4704,1
0.5179,1
0.4258,0
0.4189,0
0.4376,1
0.4341,0
0.5184,1
0.451,0
0.4456,1
0.4385,0
0.5259,1
0.439,1
0.419,0
0.451,1
0.5035,1
0.4269,1
0.404,0
0.4337,0
0.4655,0
0.3919,0
0.3731,0
0.4887,1
0.5068,1
0.426,1
0.4449,1
0.4074,0
0.3912,0
0.5025,1
0.39,0
0.3732,0
0.5003,1
0.4171,1
0.3999,0
0.4262,0
0.4186,0
0.4389,0
0.448,0
0.4043,1
0.4196,1
0.4781,1
0.4259,1
0.4916,1
0.4107,0
0.4045,0
0.4461,0
0.401,0
0.4617,1
0.3956,0
0.4331,1
0.4308,0
0.423,0
0.4018,0
0.4242,1
0.4287,1
0.4436,1
0.4275,1
0.3867,1
0.4318,0
0.4201,1
0.4245,1
0.428,0
0.4634,1
0.4704,1
0.3971,0
0.4071,1
0.4229,1
0.4105,0
0.3629,0
0.4375,1
0.4244,0
0.4883,1
0.4906,1
0.4482,0
0.4243,0
0.4299,0
0.4284,1
0.4388,0
0.4196,1
0.463,0
0.4368,1
0.4168,0
0.4334,0
0.4376,0
0.4281,0
0.4384,0
0.4432,0
0.4568,0
0.3908,1
0.3952,0
0.4209,1
0.4386,0
0.3965,0
0.3785,0
0.3707,0
0.4881,1
0.4093,0
0.4524,0
0.5014,1
0.4564,0
0.5387,1
0.5201,1
0.4446,1
0.4403,0
0.4367,1
0.4444,1
0.4159,1
0.414,1
0.5102,1
0.4472,0
0.4393,0
0.4577,1
0.4416,0
0.5209,1
0.4217,0
0.5026,1
0.4186,0
0.4085,0
0.4837,1
0.4057,0
0.4267,0
0.4306,0
0.3955,0
0.3675,0
0.5382,1
0.3916,0
0.4503,1
0.425,0
0.4238,0
0.4582,1
0.4044,0
0.4116,0
0.4472,0
0.5005,1
0.4693,1
0.4142,0
0.4127,0
0.4039,0
0.3834,0
0.4255,0
0.4097,0
0.4481,0
0.5202,1
0.4479,0
0.4111,0
0.415,0
0.3815,0
0.4643,0
0.4088,0
0.481,1
0.4902,1
0.4401,1
0.4185,0
0.404,0
0.4408,0
0.4122,0
0.5006,1
0.4199,1
0.4058,0
0.4623,1
0.4246,1
0.4362,1
0.4363,1
0.4237,1
0.4356,1
0.5315,1
0.4023,0
0.5015,1
0.432,0
0.4459,0
0.3893,0
0.4473,0
0.4198,1
0.4087,0
0.4602,0
0.4721,0
0.3993,0
0.4485,1
0.4454,0
0.4775,1
0.4098,0
0.4386,0
0.4879,1
0.4491,1
0.5004,1
0.4257,0
0.3752,0
0.4014,0
0.5091,1
0.5047,1
0.3969,0
0.5293,1
0.3993,0
0.4468,1
0.4146,1
0.4453,0
0.4377,0
0.3873,1
0.4255,0
0.4177,0
0.4253,1
0.3767,0
0.4373,0
0.4319,0
0.4649,0
0.4074,0
0.4566,0
0.4499,1
0.3922,0
0.3934,0
0.4135,0
0.4461,0
0.5202,1
0.445,0
0.424,0
0.4054,1
0.4656,1
0.4377,0
0.3855,0
0.4192,0
0.4253,1
0.3691,0
0.4492,1
0.45,0
0.4388,0
0.4941,1
0.5082,1
0.407,1
0.4395,1
0.4056,0
0.4086,0
0.4341,0
0.4041,0
0.42,0
0.4089,1
0.4412,1
0.4533,0
0.4488,0
0.523,1
0.4162,0
0.4987,1
0.4515,1
0.4191,0
0.3902,0
0.4192,1
0.4665,0
0.4217,0
0.4207,0
0.3914,0
0.4183,1
0.4225,1
0.4508,0
0.4145,0
0.3912,0
0.4557,1
0.4006,0
0.448,0
0.4747,1
0.507,1
0.4749,1
0.4389,1
0.5228,1
0.4151,0
0.436,0
0.4237,1
0.4124,0
0.372,0
0.4238,0
0.3983,0
0.5026,1
0.43,1
0.4475,1
0.4221,0
0.4225,1
0.4057,0
0.4363,0
0.5048,1
0.3932,0
0.4474,1
0.4456,0
0.4444,0
0.4334,0
0.4093,0
