score,class
0.2387,0
0.1889,0
0.7338,1
0.7211,1
0.4246,1
0.5503,1
0.2895,0
0.1201,0
0.4457,0
0.8215,1
0.1682,0
0.1473,0
0.6429,1
0.3969,1
0.2498,0
0.1083,0
0.5321,1
0.6283,1
0.7883,1
0.0612,0
0.8477,1
0.0611,0
0.0697,0
0.1538,0
0.2001,0
0.7144,1
0.2953,0
0.1623,0
0.1341,0
0.2443,0
0.896,1
0.5271,1
0.7973,1
0.1262,0
0.5782,1
0.3919,0
0.1319,0
0.1303,0
0.7896,1
0.7333,1
0.2498,0
0.2806,0
0.1392,0
0.7414,1
0.4859,1
0.3595,0
0.1011,0
0.1704,0
0.1821,0
0.4041,1
0.4127,1
0.8121,1
0.9387,1
0.1808,0
0.1852,0
0.1419,0
0.9004,1
0.0649,0
0.5733,1
0.3893,1
0.6899,1
0.7654,1
0.1177,0
0.6068,0
0.1605,1
0.409,1
0.2881,0
0.119,0
0.3679,1
0.8684,1
0.2671,0
0.1726,0
0.5662,1
0.1511,0
0.1639,0
0.0868,0
0.1412,0
0.2109,0
0.6679,1
0.375,1
0.7202,1
0.8111,1
0.7947,1
0.906,1
0.1842,0
0.6007,1
0.2635,0
0.4695,1
0.4438,1
0.2141,0
0.1733,0
0.497,1
0.348,0
0.8326,1
0.1551,0
0.2357,0
0.2068,0
0.6233,1
0.2614,0
0.3045,0
0.3518,0
0.2737,0
0.0746,0
0.2584,0
0.1336,0
0.0691,0
0.1489,0
0.5356,1
0.9432,1
0.1055,0
0.1877,0
0.177,0
0.867,1
0.786,1
0.4105,1
0.3925,0
0.2767,0
0.8555,1
0.3318,1
0.6791,1
0.2109,0
0.1969,0
0.3279,0
0.1643,0
0.2386,0
0.927,1
0.1773,0
0.8966,1
0.1391,0
0.1684,0
0.2753,1
0.3582,0
0.4375,1
0.1063,0
0.1809,0
0.121,0
0.1359,0
0.845,1
0.1633,0
0.5236,1
0.4384,0
0.2209,0
0.0709,0
0.9435,1
0.5419,1
0.1749,0
0.423,1
0.8349,1
0.047,0
0.5599,1
0.3308,0
0.4317,0
0.1715,0
0.165,0
0.223,0
0.7053,1
0.1393,0
0.9208,1
0.2517,0
0.6487,1
0.8276,1
0.2926,0
0.3529,0
0.17,0
0.7547,1
0.3224,0
0.1878,0
0.5738,1
0.4006,0
0.3403,0
0.3034,1
0.1233,0
0.2159,0
0.682,1
0.0521,0
0.2045,0
0.0786,0
0.7399,1
0.1075,0
0.1846,0
0.5149,1
0.1757,0
0.3368,0
0.2134,1
0.0952,0
0.1181,0
0.101,0
0.0903,0
0.4302,1
0.2119,0
0.1905,1
0.1496,0
0.9027,1
0.1024,0
0.1033,0
0.0841,0
0.758,1
0.1556,0
0.2655,0
0.2911,1
0.5038,1
0.1817,0
0.5969,1
0.1055,0
0.133,0
0.8065,1
0.4698,1
0.5395,0
0.8603,1
0.4685,1
0.1587,0
0.3951,1
0.2124,0
0.1218,0
0.4951,0
0.1851,0
0.2785,0
0.6437,1
0.4255,1
0.5575,1
0.1884,0
0.2773,0
0.6047,1
0.3033,0
0.1895,0
0.3978,0
0.8117,1
0.1382,0
0.1809,0
0.4388,0
0.2073,0
0.2704,0
0.5659,0
0.1298,0
0.0448,0
0.5162,1
0.8011,1
0.427,1
0.1228,0
0.7736,1
0.4006,0
0.1391,0
0.4771,1
0.4877,1
0.1038,0
0.087,0
0.0561,0
0.909,1
0.0941,0
0.5136,1
0.1491,0
0.7004,1
0.1728,0
0.2223,1
0.9216,1
0.1285,0
0.1008,0
0.061,0
0.2308,0
0.0637,0
0.3016,1
0.7929,1
0.8917,1
0.7785,1
0.0484,0
0.377,1
0.071,0
0.8487,1
0.1319,0
0.1023,0
0.4666,1
0.347,1
0.1358,0
0.4214,0
0.9216,1
0.1838,0
0.2817,1
0.2802,0
0.5268,1
0.1885,0
0.9413,1
0.3476,0
0.1308,0
0.399,1
0.1516,0
0.9373,1
0.5197,1
0.3108,0
0.3214,1
0.5719,1
0.6387,1
0.4768,1
0.2181,0
0.2196,0
0.3257,0
0.2748,0
0.8976,1
0.3316,1
0.7769,1
0.089,0
0.0602,0
0.9115,1
0.4211,1
0.1471,0
0.2098,0
0.3485,0
0.1245,0
0.4187,0
0.3222,1
0.6425,1
0.1706,0
0.2078,0
0.2639,0
0.0828,0
0.1065,0
0.3417,1
0.1804,0
0.4659,1
0.3047,0
0.3863,0
0.1638,0
0.9156,1
0.1468,0
0.1141,0
0.1828,0
0.2262,0
0.4272,1
0.1397,0
0.0903,0
0.1724,0
0.37,1
0.1722,0
0.8143,1
0.3041,0
0.0967,0
0.2905,0
0.8356,1
0.9385,1
0.3112,1
0.73,1
0.1394,0
0.5886,0
0.5554,1
0.2993,1
0.7898,1
0.0918,0
0.3236,0
0.3263,0
0.3572,0
0.3916,0
0.0927,0
0.0611,0
0.5093,1
0.2255,0
0.916,1
0.5641,1
0.2927,0
0.0824,0
0.4602,0
0.4949,1
0.7142,1
0.466,1
0.2658,0
0.276,1
0.4968,1
0.1708,0
0.1403,0
0.1985,0
0.3196,0
0.5377,1
0.9005,1
0.1725,0
0.1042,0
0.9288,1
0.3721,0
0.2987,0
0.6447,1
0.3444,0
0.8914,1
0.1225,0
0.5788,1
0.2123,0
0.0702,0
0.7867,1
0.7817,1
0.1595,0
0.2582,0
0.5594,1
0.1363,0
0.3291,0
0.3567,0
0.1441,0
0.22,0
0.085,0
0.1252,0
0.5967,1
0.4413,0
0.0829,0
0.1559,0
0.1006,0
0.7848,1
0.4255,0
0.0617,0
0.1067,0
0.9131,1
0.4167,1
0.8246,1
0.1719,0
0.3052,0
0.645,1
0.1251,0
0.3004,0
0.1493,0
0.1445,0
0.3751,0
0.2097,0
0.1396,0
0.5764,1
0.8982,1
0.1049,0
0.6042,1
0.3348,0
0.4828,1
0.1035,0
0.2432,1
0.3944,0
0.2101,0
0.6855,1
0.2608,0
0.1946,0
0.066,0
0.0879,0
0.2342,0
0.6309,1
0.6359,1
0.9277,1
0.0492,0
0.7898,1
0.1775,0
0.6425,1
0.165,0
0.2286,0
0.92,1
0.2214,0
0.2579,0
0.3395,0
0.4874,1
0.4672,0
0.1642,0
0.7784,1
0.2998,0
0.3675,0
0.1303,0
0.8989,1
0.4746,1
0.4163,1
0.2732,0
0.25,0
0.5931,1
0.3809,1
0.1413,0
0.4718,0
0.3545,1
0.6097,0
0.52,1
0.3529,0
0.2688,0
0.3317,0
0.2196,0
0.5394,1
0.3711,1
0.2143,0
0.3412,1
0.6194,1
0.0422,0
0.3816,0
0.5901,1
0.2965,0
0.605,1
0.7415,1
0.1114,0
0.3194,0
0.2495,0
0.2464,0
0.9133,1
0.63,1
0.4783,0
0.3413,0
0.2906,0
0.0428,0
0.4805,1
0.3042,1
0.7672,1
0.5432,1
0.6625,1
0.4748,1
0.8595,1
0.0396,0
0.1257,0
0.0476,0
0.1137,0
0.7806,1
0.2647,0
0.5919,0
0.1136,0
0.4876,1
0.5988,1
0.8177,1
0.8192,1
0.1697,0
0.0763,0
0.9032,1
0.9147,1
0.7537,1
0.0575,0
0.1226,0
0.3437,0
0.2778,0
0.1073,0
0.33,0
0.1277,0
0.4112,1
0.085,0
0.5218,1
0.2192,0
0.2272,0
0.9225,1
0.6632,1
0.2944,0
0.2192,0
0.1005,0
0.352,0
0.8788,1
0.1677,0
0.614,1
0.1006,0
0.606,1
0.2705,0
0.1248,0
0.3358,0
0.1073,0
0.3741,1
0.0538,0
0.5833,1
0.3369,0
0.184,0
0.1548,0
0.782,1
0.1898,0
0.8386,1
0.4715,0
0.2395,0
0.2112,0
0.5249,1
0.2015,1
0.1052,0
0.1966,0
0.6115,1
0.4143,0
0.2743,0
0.1682,1
0.1247,0
0.4098,1
0.4153,0
0.1758,0
0.4797,1
0.2301,0
0.9273,1
0.3019,0
0.2427,0
0.8281,1
0.7746,1
0.4591,0
0.4464,0
0.4132,0
0.118,0
0.5646,1
0.1802,0
0.2625,0
0.5516,1
0.0824,0
0.2585,0
0.14,0
0.1319,0
0.1482,0
0.3122,0
0.6853,1
0.1841,0
0.052,0
0.2178,0
0.4876,0
0.3657,0
0.2154,0
0.3921,1
0.6463,1
0.9296,1
0.6803,1
0.4578,1
0.3695,0
0.9147,1
0.7998,1
0.3825,0
0.9368,1
0.8066,1
0.2042,0
0.1713,0
0.8046,1
0.18,0
0.0502,0
0.7637,1
0.2298,0
0.664,1
0.2163,0
0.3981,1
0.0918,0
0.0505,0
0.3209,0
0.7575,1
0.933,1
0.5092,1
0.1365,0
0.1879,0
0.3484,0
0.3612,0
0.2141,0
0.2871,0
0.0948,0
0.2793,0
0.4707,0
0.533,1
0.4548,1
0.378,0
0.2754,0
0.1147,0
0.5487,1
0.1084,0
0.5818,1
0.2265,0
0.1143,0
0.7574,1
0.1514,0
0.0991,0
0.4138,0
0.0759,0
0.7796,1
0.2735,1
0.9064,1
0.4739,0
0.6816,1
0.137,0
0.7016,1
0.4161,1
0.9393,1
