score,class
0.1904,1
0.2819,0
0.1227,0
0.38,1
0.5266,1
0.1002,0
0.1073,0
0.1332,0
0.1162,0
0.135,0
0.1379,0
0.2232,1
0.2599,0
0.1529,0
0.1955,0
0.4026,0
0.1136,0
0.1297,0
0.1232,0
0.1065,0
0.1062,0
0.0922,0
0.1258,0
0.1009,0
0.5165,0
0.1123,0
0.1608,0
0.1268,0
0.1547,0
0.3571,1
0.111,0
0.4209,0
0.1311,0
0.8454,1
0.1266,0
0.547,0
0.2571,1
0.8289,1
0.1412,0
0.1334,0
0.2719,0
0.2501,0
0.7297,1
0.1246,0
0.5337,0
0.1233,0
0.1242,0
0.138,0
0.2212,0
0.1736,0
0.1323,0
0.1424,0
0.1199,0
0.0976,0
0.104,0
0.1006,0
0.8866,1
0.1218,0
0.1292,0
0.1812,0
0.6853,1
0.1923,0
0.1387,0
0.1386,0
0.1209,0
0.6562,1
0.1208,0
0.1826,0
0.5977,1
0.444,0
0.1093,0
0.2662,0
0.1517,0
0.1335,0
0.2674,0
0.2475,0
0.1384,0
0.1227,0
0.1273,0
0.3143,0
0.2592,0
0.1772,0
0.1379,0
0.331,1
0.1262,0
0.1087,0
0.1829,0
0.5568,1
0.0994,0
0.2563,0
0.3498,1
0.226,0
0.5891,1
0.618,1
0.159,0
0.0999,0
0.6172,1
0.1436,0
0.1069,0
0.1816,0
0.147,0
0.1022,0
0.1054,0
0.1714,0
0.1053,0
0.1282,0
0.1356,0
0.4564,1
0.0963,0
0.1298,0
0.1233,0
0.112,0
0.1017,0
0.2489,1
0.137,0
0.1198,0
0.4278,0
0.1259,0
0.546,1
0.123,0
0.122,0
0.1561,0
0.1426,0
0.731,0
0.7741,1
0.1893,0
0.8092,1
0.1355,0
0.256,0
0.4584,1
0.1334,0
0.1263,0
0.204,0
0.1418,0
0.2404,1
0.1316,1
0.2136,0
0.1151,1
0.1393,0
0.1565,0
0.1713,0
0.1183,0
0.1369,0
0.1218,0
0.3315,1
0.1023,0
0.1678,0
0.2031,0
0.2397,0
0.1419,0
0.5144,1
0.1178,0
0.31,1
0.1765,0
0.1598,1
