score,class
0.1734,0
0.242,0
0.2493,1
0.1752,0
0.254,0
0.1758,0
0.2118,1
0.2542,0
0.251,1
0.2532,0
0.1913,1
0.2664,0
0.2345,0
0.1813,0
0.2498,1
0.1712,0
0.258,0
0.2495,0
0.2469,0
0.2386,1
0.17,0
0.1744,0
0.1861,1
0.1789,1
0.2514,0
0.1793,0
0.2499,1
0.2462,0
0.2623,0
0.1917,1
0.1868,0
0.2534,0
0.2494,0
0.1831,0
0.2457,1
0.1884,1
0.1786,1
0.2407,0
0.1866,0
0.1763,0
0.1782,0
0.1785,0
0.192,1
0.2474,0
0.1725,0
0.1774,0
0.2497,0
0.2549,0
0.1753,0
0.1717,0
0.2624,1
0.2486,1
0.249,1
0.2592,0
0.1891,0
0.1671,0
0.2576,0
0.1904,1
0.2539,1
0.1754,0
0.2616,0
0.1688,0
0.1733,0
0.2394,0
0.1822,1
0.252,0
0.1749,0
0.2427,0
0.2411,1
0.2422,0
0.2276,0
0.1824,0
0.2501,0
0.2545,0
0.269,0
0.269,0
0.2465,0
0.2368,0
0.256,0
0.1696,0
0.2576,0
0.179,0
0.2638,0
0.2545,0
0.2011,0
0.2573,0
0.2425,0
0.2435,1
0.2513,0
0.187,0
0.1722,0
0.1895,1
0.2526,0
0.2659,1
0.1756,0
0.2487,0
0.1791,0
0.2454,0
0.1826,0
0.2577,1
0.2614,0
0.1777,0
0.1751,0
0.1673,0
0.1766,0
0.2571,0
0.2416,1
0.1758,0
0.2519,0
0.2626,1
0.2489,1
0.2547,0
0.2655,0
0.1731,0
0.2518,0
0.2618,0
0.2371,0
0.2432,0
0.2603,0
0.2485,1
0.2335,0
0.2471,0
0.2552,0
0.2424,0
0.2436,0
0.1985,1
0.1745,0
0.1759,0
0.2559,0
0.2546,0
0.1728,0
0.2641,1
0.1747,0
0.1748,0
0.17,0
0.2545,0
0.18,1
0.2671,0
0.1739,0
0.1761,0
0.2391,1
0.1684,0
0.2413,1
0.2602,0
0.2491,1
0.2482,1
0.173,0
0.183,0
0.1785,0
0.2399,0
0.2379,0
0.2632,0
0.1762,0
0.2462,1
0.1698,0
0.27,0
0.254,0
0.2778,1
0.1757,1
0.2668,0
0.191,1
0.1784,0
0.2447,0
0.1762,0
0.2478,1
0.2432,0
0.1941,1
0.1932,1
0.2089,1
0.2604,0
0.2502,1
0.1762,0
0.2433,0
0.1703,0
0.2405,0
0.1751,0
0.2422,0
0.1748,0
0.1798,0
0.1718,0
0.1706,0
0.2452,0
0.2591,0
0.2473,1
0.1678,0
0.1839,0
0.2703,0
0.249,1
0.1779,1
0.2494,0
0.2578,1
0.2629,0
0.2576,0
0.1718,0
0.1655,0
0.1744,0
0.1743,0
0.2447,0
0.2529,0
0.2532,0
0.1743,0
0.2471,0
0.1769,0
0.1738,0
0.1728,0
0.1718,0
0.1813,0
0.1758,0
0.2582,0
0.1777,0
0.2366,0
0.1726,0
0.1801,0
0.2571,0
0.25,1
0.2537,0
0.2487,0
0.277,1
0.2417,1
0.2616,0
0.1737,0
0.2552,1
0.246,0
0.2454,0
0.1835,0
0.2599,0
0.1802,0
0.1814,0
0.1729,0
0.2405,0
0.1851,0
0.1935,1
0.2558,0
0.1733,1
0.2474,0
0.2479,0
0.1789,0
0.249,0
0.1753,0
0.1998,1
0.2594,0
0.1721,0
0.2551,0
0.1697,0
0.1788,0
0.1752,0
0.2438,0
0.2412,0
0.1764,0
0.2597,0
0.2372,0
0.1711,0
0.1728,0
0.2591,0
0.2654,0
0.1763,0
0.1735,0
0.2302,0
0.2636,0
0.2519,1
0.2657,0
0.1773,0
0.2589,0
0.17,0
0.2626,0
0.2413,0
0.172,0
0.176,0
0.1764,1
0.2488,0
0.1755,0
0.2403,0
0.2397,1
0.1904,1
0.2504,0
0.2428,1
0.2434,0
0.2707,0
0.2453,0
0.1776,0
0.1713,0
0.2558,0
0.1776,0
0.1731,0
0.258,1
0.2494,0
0.2582,1
0.2479,0
0.2531,0
0.175,0
0.2532,0
0.2532,0
0.1785,0
0.2435,1
0.2538,0
0.1749,0
0.1852,1
0.229,0
0.179,0
0.2613,0
0.1784,0
0.2663,0
0.1742,0
0.2614,0
0.1734,0
0.2324,0
0.2518,1
0.1816,0
0.1755,0
0.1792,0
0.2616,0
0.2407,1
0.2381,0
0.1892,1
0.1801,0
0.1794,1
0.1681,0
0.2467,1
0.2485,0
0.2608,0
0.1905,1
0.2586,0
0.1785,0
0.1784,0
0.1692,0
0.1971,1
0.2656,0
0.1778,0
0.2504,1
0.2454,0
0.2453,1
0.1706,0
0.2637,0
0.1712,0
0.1748,0
0.1852,1
0.2543,0
0.2593,0
0.2463,1
0.1881,0
0.1742,0
0.1754,0
0.1743,0
0.1756,0
0.2622,1
0.2539,1
0.1728,0
0.1763,0
0.2371,0
0.2605,0
0.1764,0
0.1771,0
0.191,1
0.1648,0
0.2498,0
0.263,0
0.2537,0
0.242,0
0.1838,0
0.1894,1
0.2512,1
0.2559,0
0.1709,0
0.1789,1
0.2539,0
0.1733,0
0.2521,1
0.2608,0
0.2627,0
0.1776,0
0.2419,0
0.2591,0
0.1824,0
0.1802,0
0.1892,1
0.2624,0
0.1751,0
0.2499,1
0.2467,0
0.2648,1
0.2475,1
0.2504,0
0.1767,0
0.1737,0
0.1692,0
0.2669,0
0.1731,0
0.2458,1
0.1842,1
0.1821,0
0.1719,0
0.2543,0
0.2608,0
0.1701,0
0.1864,1
0.2587,0
0.1748,0
0.1746,0
0.2533,0
0.2546,1
0.1718,0
0.2343,0
0.1745,0
0.2521,1
0.1751,0
0.2531,0
0.2618,0
0.174,0
0.2487,0
0.1728,1
0.173,0
0.1761,0
0.169,0
0.2595,0
0.2538,1
0.2593,0
0.1777,0
0.2096,1
0.2374,0
0.2464,1
0.2657,1
0.2669,1
0.2517,0
0.256,1
0.2546,0
0.1778,0
0.1775,0
0.1773,0
0.1722,0
0.1678,0
0.2536,0
0.2577,0
0.2567,0
0.2426,0
0.1796,0
0.1758,0
0.1774,0
0.2474,0
0.2429,0
0.1763,0
0.248,0
0.1906,1
0.1775,0
0.1677,0
0.172,0
0.1711,0
0.2508,1
0.1751,0
0.1775,0
0.2405,1
0.2458,0
0.262,0
0.1766,0
0.2581,0
0.2633,0
0.2465,1
0.2533,0
0.1713,0
0.2468,1
0.1717,0
0.1905,1
0.1696,0
0.1696,0
0.2461,0
0.176,0
0.2084,1
0.1759,0
0.1735,0
0.2552,1
0.2502,0
0.2556,0
0.1726,0
0.1847,0
0.2498,1
0.2615,0
0.2655,0
0.1893,1
0.1797,0
0.2646,0
0.1924,1
0.2611,0
0.1751,0
0.2532,0
0.1734,0
0.1757,0
0.176,0
0.1763,0
0.1729,0
0.2817,1
0.1726,0
0.1862,1
0.278,1
0.2495,0
0.2409,0
0.1723,0
0.2649,0
0.17,0
0.2419,0
0.1715,0
0.1726,0
0.179,0
0.2532,0
0.2583,1
0.2556,0
0.1723,0
0.2503,0
0.179,0
0.1915,0
0.2511,0
0.1814,0
0.2341,0
0.259,0
0.2538,0
0.2636,0
