score,class
0.3223,0
0.2995,0
0.3358,0
0.2817,0
0.3195,0
0.2689,0
0.2534,0
0.3859,1
0.3283,0
0.2901,0
0.3672,0
0.2252,0
0.4422,1
0.3576,0
0.272,0
0.2969,0
0.3022,0
0.3177,0
0.298,0
0.2806,0
0.3213,0
0.3941,1
0.3364,0
0.2878,0
0.379,0
0.2843,0
0.3154,0
0.2594,0
0.3515,0
0.3267,0
0.2864,0
0.3842,1
0.3944,1
0.328,0
0.3909,1
0.3502,0
0.2793,0
0.3501,0
0.2962,0
0.3769,1
0.2662,0
0.4516,1
0.238,0
0.3921,1
0.3144,0
0.3878,1
0.2674,0
0.252,0
0.2153,0
0.3265,0
0.2989,0
0.3625,0
0.3103,0
0.295,0
0.3348,0
0.2242,0
0.301,0
0.3065,0
0.1949,0
0.3151,0
0.3558,0
0.3558,0
0.3027,0
0.2669,0
0.2721,0
0.2332,0
0.3262,0
0.3989,1
0.2361,0
0.4156,1
0.243,0
0.32,0
0.2851,0
0.2653,0
0.3262,0
0.2377,0
0.3254,0
0.3382,0
0.3122,0
0.3318,0
0.3303,0
0.2992,0
0.2493,0
0.3558,1
0.3704,1
0.345,0
0.244,0
0.4273,1
0.2352,0
0.4008,0
0.2717,0
0.2921,0
0.4024,1
0.3759,1
0.3307,0
0.2882,0
0.4251,1
0.3861,1
0.299,0
0.3151,0
0.321,0
0.2765,0
0.2224,0
0.2416,0
0.2971,0
0.1869,0
0.4212,1
0.2848,0
0.2837,0
0.3504,0
0.2878,0
0.3409,1
0.2624,0
0.3211,0
0.2962,0
0.24,0
0.2277,0
0.4082,1
0.2277,0
0.2745,0
0.3558,1
0.2598,0
0.3327,0
0.388,1
0.325,0
0.2498,0
0.304,0
0.2434,0
0.2924,0
0.2716,0
0.2377,0
0.2953,0
0.2913,0
0.3516,0
0.2703,0
0.3307,0
0.2512,0
0.3214,0
0.3093,0
0.3744,1
0.3321,0
0.3085,0
0.2753,0
0.3751,1
0.3486,0
0.2679,0
0.3458,0
0.3003,0
0.2968,0
0.252,0
0.305,0
0.2714,0
0.2289,0
0.2829,0
0.2762,0
0.3199,0
0.2808,0
0.4358,1
0.2474,0
0.2701,0
0.3,0
0.3317,0
0.2458,0
0.2541,0
0.3055,0
0.3454,0
0.2365,0
0.2181,0
0.2834,0
0.2599,0
0.329,1
0.3824,1
0.3298,0
0.408,1
0.3749,1
0.3241,0
0.2519,0
0.3305,0
0.3886,1
0.2298,0
0.3968,1
0.3097,0
0.434,1
0.4008,1
0.3218,0
0.2414,0
0.2328,0
0.3281,0
0.3126,0
0.2089,0
0.3543,0
0.253,0
0.4505,1
0.3362,0
0.3902,1
0.351,1
0.2689,0
0.2901,0
0.3881,1
0.3203,0
0.3251,0
0.3149,0
0.3029,0
0.3726,0
0.297,0
0.2463,0
0.3341,0
0.3836,1
0.3145,0
0.2866,0
0.4211,1
0.3332,0
0.3201,0
0.2203,0
0.3025,0
0.2839,0
0.3034,0
0.2324,0
0.3385,0
0.3458,0
0.3269,0
0.3106,0
0.3085,0
0.271,0
0.2634,0
0.4316,1
0.4082,1
0.3501,1
0.2819,0
0.3504,0
0.3841,0
0.2663,0
0.4405,1
0.4178,1
0.2089,0
0.2861,0
0.3998,1
0.3204,0
0.3962,0
0.2913,0
0.3236,0
0.2789,0
0.4232,1
0.3863,1
0.3445,0
0.3288,0
0.3539,1
0.2473,0
0.3106,0
0.2185,0
0.3063,0
0.2306,0
0.2773,0
0.3326,1
0.2753,1
0.4063,1
0.2896,0
0.2549,0
0.4012,1
0.4471,1
0.2196,0
0.2179,0
0.2907,0
0.4444,1
0.4749,1
0.2394,0
0.3025,0
0.2534,0
0.4423,1
0.2657,0
0.3253,0
0.235,0
0.2823,0
0.3984,1
0.2657,0
0.2802,0
0.4947,1
0.3177,0
0.2212,0
0.253,0
0.3056,0
0.2217,0
0.2284,0
0.2776,0
0.3394,0
0.4643,1
0.2866,0
0.4211,1
0.2914,0
0.4325,1
0.4501,1
0.2979,0
0.2637,0
0.491,1
0.4775,1
0.3167,0
0.1668,0
0.2549,0
0.4215,1
0.2604,0
0.2439,0
0.232,0
0.4648,1
0.4395,1
0.2149,0
0.1739,0
0.4203,1
0.3122,0
0.3029,0
0.2436,0
0.4616,1
0.4116,1
0.3313,0
0.4461,1
0.3175,0
0.2882,0
0.2585,0
0.3408,0
0.4471,1
0.3166,0
0.2363,0
0.4168,1
0.4666,1
0.2328,0
0.3284,0
0.4334,1
0.4555,1
0.1689,0
0.2852,0
0.2503,0
0.2523,0
0.2252,0
0.2643,0
0.4165,1
0.2247,0
0.3148,0
0.2808,0
0.4546,1
0.2488,0
0.4412,1
0.4605,1
0.3074,0
0.3464,0
0.2098,0
0.1815,0
0.5016,1
0.4618,1
0.3135,0
0.3535,0
0.3482,0
0.2959,0
0.2614,0
0.3179,0
0.2822,0
0.3099,0
0.3413,0
0.2302,0
0.205,0
0.2514,0
0.1997,0
0.2963,0
0.2917,0
0.2386,0
0.2385,0
0.3108,0
0.2401,0
0.4741,1
0.2265,0
0.2935,0
0.4564,1
0.3083,0
0.2698,0
0.4491,1
0.281,0
0.2223,0
0.287,0
0.2592,0
0.3036,0
0.2756,0
0.316,0
0.4771,1
0.3261,0
0.2503,0
0.4137,1
0.3199,0
0.2549,0
0.4352,1
0.2735,0
0.2271,0
0.2902,0
0.267,0
0.4323,1
0.2694,0
0.3358,0
0.4546,1
0.3377,0
0.2978,0
0.2715,0
0.2384,0
0.242,0
0.4288,1
0.3004,0
0.2744,0
0.2212,0
0.3183,0
0.319,0
0.2092,0
