score,class
0.0224,0
0.0326,0
0.1014,0
0.474,1
0.664,1
0.2304,0
0.3366,0
0.2924,0
0.2646,0
0.1192,0
0.204,0
0.0642,0
0.0435,0
0.0645,0
0.0401,0
0.0605,0
0.473,1
0.0237,0
0.0138,0
0.0864,0
0.0385,0
0.2316,0
0.6758,1
0.0594,0
0.2273,0
0.7014,1
0.0668,0
0.0173,0
0.1282,0
0.0501,0
0.0319,0
0.0873,0
0.1891,0
0.0522,0
0.5701,1
0.1088,0
0.1219,0
0.4538,1
0.3435,1
0.1947,0
0.1551,0
0.0554,0
0.524,1
0.0762,0
0.4839,0
0.4261,1
0.0982,0
0.0552,0
0.0266,0
0.067,0
0.0379,0
0.6057,1
0.2928,0
0.1889,0
0.106,0
0.0409,0
0.0425,0
0.5031,1
0.0215,0
0.0758,0
0.0516,0
0.3342,0
0.0247,0
0.0495,0
0.0154,0
0.0553,0
0.0922,0
0.5184,0
0.0912,0
0.0372,0
0.0399,0
0.7106,1
0.0511,0
0.086,0
0.5653,1
0.0324,0
0.0211,0
0.0484,0
0.0738,0
0.0447,0
0.5512,0
0.0346,0
0.234,1
0.0341,0
0.1397,0
0.0342,0
0.2674,0
0.0454,0
0.1221,0
0.1359,0
0.0751,0
0.0493,0
0.348,1
0.1041,0
0.3211,0
0.1721,1
0.0543,0
0.1639,0
0.5735,1
0.5307,1
0.0268,0
0.0338,0
0.0838,0
0.5421,1
0.0589,0
0.1565,0
0.4395,1
0.0653,0
0.196,0
0.0359,0
0.0675,0
0.7884,1
0.3884,1
0.4893,1
0.0282,0
0.1072,0
0.051,0
0.1734,0
0.022,0
0.0371,0
0.4978,1
0.1243,0
0.0236,0
0.0229,0
0.0618,0
0.7124,1
0.0568,0
0.0162,0
0.0443,0
0.5283,1
0.125,0
0.0547,0
0.1121,0
0.0801,0
0.4456,1
0.1232,0
0.0335,0
0.4375,1
0.3982,0
0.2267,0
0.0482,0
0.02,0
0.091,0
0.0792,0
0.5864,1
0.0329,0
0.1079,0
0.064,0
0.0837,0
0.0283,0
0.0564,0
0.6588,1
0.353,1
0.0408,0
0.2362,1
0.1413,0
0.5565,1
0.0275,0
0.0267,0
0.1126,0
0.7048,1
0.042,0
0.1799,0
0.1113,0
0.7039,1
0.0673,0
0.134,0
0.5695,1
0.6847,0
0.6062,1
0.0562,0
0.0698,0
0.0177,0
0.128,0
0.2027,0
0.0191,0
0.046,0
0.6607,1
0.0947,0
0.0558,0
0.0311,0
0.0331,0
0.0482,0
0.0718,0
0.209,0
0.0189,0
0.0147,0
0.6552,1
0.0213,0
0.0883,0
0.0291,0
0.0215,0
0.1127,0
0.6753,1
0.0209,0
0.034,0
0.2519,0
0.1562,0
0.0666,0
0.7443,1
0.0162,0
0.0494,0
0.0298,0
0.2975,1
0.0216,0
0.0514,0
0.0615,0
0.0966,0
0.0922,0
0.0206,0
0.3217,1
0.1376,0
0.3375,0
0.4004,1
0.101,0
0.1139,0
0.0895,0
0.0476,0
0.0967,0
0.1692,0
0.1458,0
0.0848,0
0.1055,0
0.0925,0
0.0685,0
0.1912,0
0.0508,0
0.0329,0
0.0356,0
0.0272,0
0.0393,0
0.4196,1
0.6771,1
0.1061,0
0.0861,0
0.0599,0
0.042,0
0.0591,0
0.1231,0
0.1371,0
0.0342,0
0.1243,0
0.0861,0
0.0394,0
0.04,0
0.0788,0
0.659,0
0.0195,0
0.3812,1
0.3641,0
0.0551,0
0.1296,0
0.5742,1
0.4591,1
0.0366,0
0.2587,1
0.0341,0
0.0342,0
0.8714,1
0.0115,0
0.0456,0
0.0766,0
0.1523,0
0.0314,0
0.0642,0
0.0319,0
0.0436,0
0.0178,0
0.0291,0
0.5799,1
0.024,0
0.0223,0
0.1787,0
0.0251,0
0.0257,0
0.0586,0
0.0705,0
0.1241,0
0.621,1
0.034,0
0.0459,0
0.0304,0
0.0211,0
0.0459,0
0.2623,0
0.0485,0
0.6164,1
0.052,0
0.0209,0
0.6662,1
0.0407,0
0.0276,0
0.6108,1
0.725,1
0.355,0
0.3698,0
0.024,0
0.0496,0
0.0535,0
0.627,1
0.115,0
0.0991,0
0.0394,0
0.7313,1
0.0703,0
0.0812,0
0.1466,0
0.5568,1
0.0385,0
0.1474,0
0.133,0
0.0168,0
0.1633,0
0.5132,1
0.066,0
0.2007,0
0.0547,0
0.0373,0
0.0974,0
0.182,0
0.1553,0
0.6343,1
0.0965,0
0.0666,0
0.0649,0
0.2853,0
0.7806,1
0.0505,0
0.0577,0
0.5048,1
0.015,0
0.0609,0
0.6489,1
0.0105,0
0.0672,0
0.3693,0
0.0691,0
0.0359,0
0.1765,0
0.0525,0
0.0255,0
0.7035,1
0.6193,1
0.1165,0
0.0551,0
0.0571,0
0.1633,0
0.6047,1
0.0221,0
0.2326,0
0.7601,1
0.0339,0
0.0344,0
0.0254,0
0.0435,0
0.1823,0
0.0955,0
0.0938,0
0.0324,0
0.7762,1
0.0996,0
0.0804,0
0.0209,0
0.679,1
0.0359,0
0.1783,0
0.0696,0
0.6918,1
0.658,1
0.0696,0
0.1141,0
0.0135,0
0.0205,0
0.7238,1
0.3311,0
0.6244,1
0.2475,0
0.1967,0
0.0466,0
0.0198,0
